1 audio audio 35 NOUN parataxis
2 estranho estranho 1 ADJ amod
3 vaza vaza 1 NOUN appos
4 em em 6 ADP case
5 o o 6 DET det
6 youtube youtube 1 PROPN nmod
7 a o 8 DET det
8 parte parte 35 NOUN nsubj
9 financeira financeiro 8 ADJ amod
10 ninguem ninguem 11 PRON nsubj
11 mexeu mexer 8 VERB acl:relcl
12 so so 13 ADV case
13 eu eu 11 PRON nmod
14 o o 15 DET det
15 lula lula 11 NOUN obj
16 e e 18 CCONJ cc
17 o o 18 DET det
18 emilio emilio 15 NOUN conj
19 odebrecht odebrecht 18 PROPN appos
20 uma um 21 DET det
21 entrevista entrevista 35 NOUN obj
22 de de 23 ADP case
23 2011 2011 21 NUM nmod
24 praticamente praticamente 25 ADV advmod
25 esquecida esquecer 21 VERB acl
26 em em 28 ADP case
27 o o 28 DET det
28 canal canal 25 NOUN nmod
29 youtube youtube 28 PROPN appos
30 de de 32 ADP case
31 a o 32 DET det
32 revista revista 28 NOUN nmod
33 epoca epoca 32 ADJ amod
34 pode pode 35 AUX aux
35 revelar revelar 0 VERB root
36 uma um 37 DET det
37 ligacao ligacao 35 NOUN obj
38 sinistra sinistro 37 ADJ amod
39 entre entre 40 ADP case
40 lula lula 37 NOUN nmod
41 o o 42 DET det
42 expresidente expresidente 40 NOUN appos
43 de de 45 ADP case
44 o o 45 DET det
45 corinthians corinthians 42 NOUN nmod
46 andres andres 42 NOUN appos
47 sanchez sanchez 46 NOUN flat
48 e e 50 CCONJ cc
49 a o 50 DET det
50 empreiteira empreiteiro 42 NOUN conj
51 odebrecht odebrecht 50 PROPN appos
52 o o 53 DET det
53 reporter reporter 57 NOUN nsubj
54 de de 56 ADP case
55 a o 56 DET det
56 revista revista 53 NOUN nmod
57 gravou gravar 35 VERB parataxis
58 um um 59 DET det
59 trecho trecho 57 NOUN obj
60 de de 62 ADP case
61 a o 62 DET det
62 conversa conversa 59 NOUN nmod
63 em em 64 ADP case
64 que que 67 PRON nmod
65 andres andres 67 NOUN nsubj
66 sanchez sanchez 65 ADJ flat
67 revelava revelar 62 VERB acl:relcl
68 o o 69 DET det
69 valor valor 67 NOUN obj
70 de de 72 ADP case
71 a o 72 DET det
72 construcao construcao 69 NOUN nmod
73 de de 75 ADP case
74 o o 75 DET det
75 itaquerao itaquerao 72 NOUN nmod
76 o o 77 DET det
77 expresidente expresidente 181 NOUN nsubj
78 de de 80 ADP case
79 o o 80 DET det
80 corinthians corinthians 77 NOUN nmod
81 disse dizer 170 VERB acl:relcl
82 em em 84 ADP case
83 a o 84 DET det
84 gravacao gravacao 81 NOUN nmod
85 que que 88 CCONJ mark
86 o o 87 DET det
87 estadio estadio 88 NOUN nsubj
88 custaria custar 81 VERB ccomp
89 mais mais 92 ADV advmod
90 de de 89 ADP case
91 1 1 92 NUM nummod
92 bilhao bilhao 94 NUM nummod
93 de de 94 ADP case
94 reais real 88 NOUN obj
95 apesar apesar 110 ADV mark
96 de de 95 ADP case
97 o o 95 DET det
98 preco preco 88 NOUN nmod
99 real real 98 ADJ amod
100 divulgado divulgar 98 VERB acl
101 ser ser 88 VERB advcl
102 de de 104 ADP case
103 780 780 104 NUM nummod
104 milhoes milhoes 106 NUM nummod
105 de de 106 ADP case
106 reai reai 101 NOUN nmod
107 s s 106 CCONJ flat
108 ele ele 110 PRON nsubj
109 ainda ainda 110 ADV advmod
110 confirma confirmar 81 VERB ccomp
111 a o 112 DET det
112 parte parte 110 NOUN obj
113 financeira financeiro 112 ADJ amod
114 ninguem ninguem 115 PRON nsubj
115 mexeu mexer 112 VERB acl:relcl
116 so so 117 ADV advmod
117 eu eu 115 PRON obj
118 o o 119 DET det
119 lula lula 115 NOUN obj
120 e e 122 CCONJ cc
121 o o 122 DET det
122 emilio emilio 119 NOUN conj
123 odebrecht odebrecht 122 PROPN appos
124 em em 126 ADP case
125 o o 126 DET det
126 final final 110 NOUN nmod
127 de de 129 ADP case
128 a o 129 DET det
129 gravacao gravacao 126 NOUN nmod
130 o o 131 DET det
131 reporter reporter 135 NOUN nsubj
132 de de 134 ADP case
133 a o 134 DET det
134 epoca epoca 131 NOUN nmod
135 questiona questionar 35 VERB parataxis
136 sanches sanche 135 NOUN obj
137 o o 138 DET det
138 dia dia 135 NOUN obj
139 em em 140 ADP case
140 que que 143 PRON nmod
141 a o 142 DET det
142 historia historia 143 NOUN nsubj
