1 morre morrer 0 VERB root
2 o o 4 DET det
3 famoso famoso 4 ADJ amod
4 dj dj 1 NOUN nsubj
5 que que 6 PRON nsubj
6 reclamou reclamar 4 VERB acl:relcl
7 de de 8 ADP case
8 abandono abandono 6 NOUN nmod
9 descaso descaso 8 ADJ amod
10 e e 11 CCONJ cc
11 desrespeito desrespeito 9 NOUN conj
12 dentro dentro 8 ADV advmod
13 de de 15 ADP case
14 a o 15 DET det
15 rede rede 12 NOUN nmod
16 globo globo 15 ADJ amod
17 em em 18 ADP case
18 2012 2012 6 NUM nmod
19 o o 21 DET det
20 famoso famoso 21 ADJ amod
21 dj dj 22 NOUN nsubj
22 escreveu escrever 1 VERB parataxis
23 uma um 24 DET det
24 carta carta 22 NOUN obj
25 para para 27 ADP case
26 a o 27 DET det
27 rede rede 24 NOUN nmod
28 globo globo 27 ADJ amod
29 com com 31 ADP case
30 o o 31 DET det
31 titulo titulo 22 NOUN nmod
32 nao nao 33 ADV advmod
33 suporto suportar 22 VERB advcl
34 mais mais 33 ADV advmod
35 o o 36 DET det
36 descaso descaso 33 NOUN obj
37 o o 38 DET det
38 desrespeito desrespeito 33 NOUN obj
39 e e 41 CCONJ cc
40 o o 41 DET det
41 abandono abandono 38 NOUN conj
42 patricia patricia 41 NOUN appos
43 carvalho carvalho 42 NOUN flat
44 exclusivo exclusivo 33 ADJ xcomp
45 para para 47 ADP case
46 o o 47 DET det
47 diario diario 33 NOUN nmod
48 de de 50 ADP case
49 o o 50 DET det
50 brasil brasil 47 NOUN nmod
51 dj dj 47 NOUN appos
52 myboy myboy 51 NOUN flat
53 moacil moacil 51 NOUN appos
54 figueira figueira 51 ADJ flat
55 pinto pinto 51 ADJ amod
56 como como 59 CCONJ mark
57 e e 59 CCONJ cc
58 popularmente popularmente 59 ADV advmod
59 conhecido conhecer 229 VERB advcl
60 ficou ficar 22 VERB advcl
61 famoso famoso 60 ADJ xcomp
62 por por 65 ADP mark
63 ser ser 65 AUX cop
64 o o 65 DET det
65 sonoplasta sonoplasta 291 NOUN nmod
66 de de 67 ADP case
67 xuxa xuxa 65 NOUN nmod
68 meneghel meneghel 67 ADJ amod
69 e e 71 CCONJ cc
70 de de 71 ADP case
71 chacrinha chacrinha 67 NOUN conj
72 moacil moacil 291 NOUN nsubj
73 tentou tentar 22 VERB advcl
74 cometer cometer 73 VERB xcomp
75 suicidio suicidio 74 NOUN obj
76 em em 78 ADP case
77 o o 78 DET det
78 inicio inicio 74 NOUN nmod
79 desta desta 80 ADP case
80 semana semana 78 NOUN nmod
81 e e 82 CCONJ cc
82 esta esta 73 VERB conj
83 ha ha 82 VERB advcl
84 dois dois 85 NUM nummod
85 dias dia 83 NOUN nmod
86 em em 87 ADP case
87 coma coma 217 NOUN nmod
88 induzido induzir 87 VERB acl
89 em em 91 ADP case
90 o o 91 DET det
91 hospital hospital 88 NOUN nmod
92 rio rio 91 NOUN appos
93 mar mar 92 NOUN flat
94 em em 96 ADP case
95 o o 96 DET det
96 rio rio 88 NOUN nmod
97 de de 98 ADP case
98 janeiro janeiro 96 PROPN nmod
99 moacil moacil 259 NOUN nsubj
100 ingeriu ingerir 1 VERB conj
101 chumbinho chumbinho 259 NOUN obj
102 dentro dentro 147 ADV advmod
103 de de 104 ADP case
104 casa casa 102 NOUN nmod
105 e e 106 CCONJ cc
106 deixou deixar 73 VERB conj
107 uma um 108 DET det
108 carta carta 106 NOUN obj
109 de de 110 ADP case
110 despedida despedida 108 NOUN nmod
111 em em 112 ADP case
112 que que 120 PRON nmod
113 acusa acusar 108 VERB acl:relcl
114 a o 115 DET det
115 rede rede 267 NOUN obj
116 globo globo 115 NOUN amod
117 em em 119 ADP case
118 a o 119 DET det
119 qual qual 120 PRON nmod
120 trabalhou trabalhar 108 VERB acl:relcl
121 por por 123 ADP case
122 31 31 123 NUM nummod
123 anos ano 120 NOUN nmod
124 de de 128 ADP mark
125 ter ter 128 AUX aux
126 sido ser 128 AUX cop
127 o o 128 DET det
128 motivo motivo 311 NOUN nmod
129 de de 131 ADP case
130 a o 131 DET det
131 depressao depressao 128 NOUN nmod
132 e e 133 CCONJ cc
133 loucura loucura 131 NOUN conj
134 o o 135 DET det
135 exsonoplasta exsonoplasta 136 NOUN nsubj
136 passa passar 184 VERB acl:relcl
137 por por 139 ADP case
138 uma um 139 DET det
139 crise crise 136 NOUN nmod
140 financeira financeiro 139 ADJ amod
141 em em 143 ADP case
142 a o 143 DET det
143 carta carta 136 NOUN nmod
144 deixada deixar 143 VERB acl
145 por por 146 ADP case
146 moacil moacil 144 NOUN nmod
147 estavam estar 1 VERB parataxis
148 copiados copiado 147 ADJ xcomp
149 os o 150 DET det
150 executivos executivo 147 NOUN nsubj
151 e e 152 CCONJ cc
152 diretores diretor 150 NOUN conj
153 de de 155 ADP case
154 a o 155 DET det
155 tv tv 150 NOUN nmod
156 entre entre 157 ADP case
157 eles eles 311 PRON nmod
158 manoel manoel 150 NOUN appos
159 martins martins 158 ADJ flat
160 diretor diretor 158 NOUN appos
161 geral geral 160 ADJ amod
162 de de 163 ADP case
163 entretenimento entretenimento 297 NOUN nmod
164 e e 165 CCONJ cc
165 eduardo eduardo 158 NOUN conj
166 figueira figueira 165 ADJ amod
167 diretor diretor 165 NOUN appos
168 de de 169 ADP case
169 producao producao 167 NOUN nmod
170 segundo segundo 172 ADP case
171 a o 172 DET det
172 emissora emissora 280 NOUN nmod
173 my my 290 DET det
174 boy boy 175 NOUN nsubj
175 estava estar 22 VERB conj
