1 pediram pedir 0 VERB root
2 para para 4 ADP mark
3 nao nao 4 ADV advmod
4 citar citar 1 VERB nmod
5 o o 6 DET det
6 nome nome 4 NOUN obj
7 de de 9 ADP case
8 o o 9 DET det
9 presidente presidente 6 NOUN nmod
10 em em 12 ADP case
11 o o 12 DET det
12 microfone microfone 4 NOUN nmod
13 a a 15 ADP case
14 que que 15 DET det
15 ponto ponto 16 NOUN nmod
16 chegou chegar 1 VERB advcl
17 o o 18 DET det
18 brasil brasil 16 NOUN nsubj
19 a a 22 ADP case
20 os o 22 DET det
21 76 76 22 NUM nummod
22 anos ano 16 NOUN nmod
23 de de 24 ADP case
24 idade idade 22 NOUN nmod
25 ele ele 26 PRON nsubj
26 ostenta ostentar 1 VERB parataxis
27 o o 28 DET det
28 cargo cargo 26 NOUN obj
29 maximo maximo 28 ADJ amod
30 de de 32 ADP case
31 a o 32 DET det
32 nacao nacao 28 NOUN nmod
33 brasileira brasileiro 32 ADJ amod
34 e e 38 CCONJ cc
35 tem ter 38 AUX aux
36 que que 38 CCONJ mark
37 se se 38 PRON obj
38 esconder esconder 26 VERB conj
39 por por 40 ADP case
40 domenico domenico 38 NOUN nmod
41 goncalves goncalves 40 NOUN flat
42 garcia garcia 40 NOUN flat
43 de de 44 ADP case
44 braganca/portugal braganca/portugal 42 NOUN nmod
45 nasci nascir 38 VERB conj
46 em em 47 ADP case
47 portugal portugal 45 NOUN nmod
48 e e 50 CCONJ cc
49 me me 50 PRON obj
50 naturalizei naturalizar 170 VERB conj
51 brazuca brazuco 50 ADJ xcomp
52 a a 54 ADP case
53 o o 54 DET det
54 casar casar 170 VERB advcl
55 com com 57 ADP case
56 o o 57 DET det
57 amor amor 54 NOUN nmod
58 de de 60 ADP case
59 minha minha 60 DET det:poss
60 vida vida 57 NOUN nmod
61 com com 62 ADP case
62 quem quem 63 PRON nmod
63 estou estar 57 VERB acl:relcl
64 ha ha 63 VERB advcl
65 28 28 66 NUM nummod
66 anos ano 64 NOUN nmod
67 hoje hoje 170 ADV advmod
68 presenciei presenciar 1 VERB conj
69 minha minha 70 DET det:poss
70 patria patria 170 NOUN obj
71 irma irmo 70 NOUN amod
72 sofrendo sofrer 170 VERB acl
73 com com 75 ADP case
74 o o 75 DET det
75 velorio velorio 72 NOUN nmod
76 de de 78 ADP case
77 as o 78 DET det
78 criancas crianca 75 NOUN nmod
79 de de 81 ADP case
80 a o 81 DET det
81 chapecoense chapecoense 78 NOUN nmod
82 durante durante 85 ADP case
83 meus meus 85 DET det:poss
84 68 68 85 NUM nummod
85 anos ano 72 NOUN nmod
86 de de 87 ADP case
87 vida vida 85 NOUN nmod
88 jamais jamais 89 ADV advmod
89 presenciei presenciar 1 VERB conj
90 um um 91 DET det
91 pais pais 89 NOUN obj
92 tao tao 93 ADV advmod
93 unido unido 91 ADJ amod
94 por por 96 ADP case
95 uma um 96 DET det
96 causa causa 93 NOUN nmod
97 unica unico 96 ADJ amod
98 foi foi 1 VERB parataxis
99 lindo lindo 98 ADJ xcomp
100 e e 102 CCONJ cc
101 uma um 102 DET det
102 pena pena 98 NOUN conj
103 que que 108 CCONJ mark
104 essa essa 105 DET det
105 uniao uniao 108 NOUN nsubj:pass
106 tenha ter 108 AUX aux
107 sido ser 108 AUX aux:pass
108 causada causar 102 VERB csubj
109 por por 111 ADP case
110 uma um 111 DET det
111 tragedia tragedia 108 NOUN nmod
112 acompanhei acompanhar 111 VERB appos
113 por por 115 ADP case
114 a o 115 DET det
115 tv tv 112 NOUN nmod
116 a a 117 ADP case
117 cabo cabo 112 NOUN nmod
118 todo todo 120 DET det
119 o o 120 DET det
120 sofrimento sofrimento 312 NOUN obj
121 de de 123 ADP case
122 um um 123 DET det
123 povo povo 120 NOUN nmod
124 por por 126 ADP case
125 varias varias 126 DET det
126 horas hora 130 NOUN nmod
127 eu eu 130 PRON nsubj
128 pude poder 130 AUX aux
129 me me 130 PRON iobj
130 sentir sentir 200 VERB conj
131 um um 133 DET det
132 verdadeiro verdadeiro 133 ADJ amod
133 brasileiro brasileiro 130 NOUN obj
134 nunca nunca 136 ADV advmod
135 tinha ter 136 AUX aux
136 ouvido ouvir 130 VERB ccomp
137 falar falar 136 VERB xcomp
138 de de 140 ADP case
139 a o 140 DET det
140 cidade cidade 137 NOUN nmod
141 de de 142 ADP case
142 chapeco chapeco 140 NOUN nmod
143 ate ate 144 ADP mark
144 acontecer acontecer 213 VERB advcl
145 uma um 146 DET det
146 tragedia tragedia 144 NOUN nsubj
147 de de 148 ADP case
148 proporcoes proporcoe 146 NOUN nmod
149 mundiais mundial 148 ADJ amod
150 a o 151 DET det
151 dor dor 156 NOUN nsubj
152 de de 154 ADP case
153 o o 154 DET det
154 brasil brasil 151 NOUN nmod
155 me me 156 PRON obj
156 doeu doar 40 VERB acl:relcl
157 em em 159 ADP case
158 a o 159 DET det
159 alma alma 156 NOUN nmod
