1 rumo rumo 8 NOUN advmod
2 a a 4 ADP case
3 o o 4 DET det
4 tetra tetra 1 NOUN nmod
5 governo governo 8 NOUN nsubj
6 temer temer 8 NOUN nsubj
7 podera podera 8 AUX aux
8 ter ter 0 VERB root
9 a o 11 DET det
10 quarta quarta 11 ADJ amod
11 baixa baixa 8 NOUN obj
12 geddel geddel 8 NOUN obj
13 tambem tambem 15 ADV advmod
14 foi foi 15 AUX aux:pass
15 citado citar 8 VERB parataxis
16 em em 17 ADP case
17 delacao delacao 15 NOUN nmod
18 geddel geddel 17 NOUN appos
19 vieira vieira 18 NOUN flat
20 lima lima 19 ADJ amod
21 ministro ministro 18 NOUN appos
22 de de 24 ADP case
23 a o 24 DET det
24 secretaria secretaria 21 NOUN nmod
25 de de 26 ADP case
26 governo governo 24 NOUN nmod
27 foi foi 28 AUX aux:pass
28 citado citar 8 VERB parataxis
29 em em 31 ADP case
30 a o 31 DET det
31 delacao delacao 28 NOUN nmod
32 de de 33 ADP case
33 fabio fabio 31 NOUN nmod
34 cleto cleto 33 NOUN flat
35 a o 36 DET det
36 delacao delacao 28 NOUN nsubj:pass
37 de de 39 ADP case
38 o o 39 DET det
39 exvicepresidente exvicepresidente 36 NOUN nmod
40 de de 42 ADP case
41 a o 42 DET det
42 caixa caixa 39 NOUN nmod
43 fabio fabio 36 NOUN appos
44 cleto cleto 43 NOUN flat
45 ja ja 47 ADV advmod
46 foi foi 47 AUX aux:pass
47 homologada homologar 28 VERB parataxis
48 por por 50 ADP case
49 o o 50 DET det
50 ministro ministro 47 NOUN nmod
51 de de 53 ADP case
52 o o 53 DET det
53 stf stf 50 NOUN nmod
54 teori teori 57 NOUN nsubj
55 zavascki zavascki 54 NOUN flat
56 temer temer 54 NOUN flat
57 corre correr 47 VERB conj
58 o o 59 DET det
59 risco risco 57 NOUN obj
60 de de 61 ADP mark
61 ter ter 59 VERB nmod
62 a o 64 DET det
63 quarta quarta 64 ADJ amod
64 baixa baixa 61 NOUN obj
65 com com 68 ADP case
66 apenas apenas 67 ADV advmod
67 40 40 68 NUM nummod
