1 quatro quatro 2 NUM nummod
2 expresidentes expresidente 22 NOUN nsubj
3 presos prender 2 VERB acl
4 ate ate 5 ADP case
5 2019 2019 3 NUM nmod
6 e e 7 CCONJ cc
7 o o 2 PRON conj
8 que que 13 PRON obj
9 a o 10 DET det
10 lava lava 13 NOUN nsubj
11 jato jato 10 NOUN flat
12 esta esta 13 AUX aux
13 preparando preparar 7 VERB acl:relcl
14 a o 16 DET det
15 forca forca 16 ADJ amod
16 tarefa tarefa 13 NOUN obj
17 de de 19 ADP case
18 a o 19 DET det
19 operacao operacao 16 NOUN nmod
20 lava lava 19 NOUN flat
21 jato jato 19 NOUN flat
22 esta esta 0 VERB root
23 com com 24 ADP case
24 farto farto 22 NOUN nmod
25 material material 24 NOUN flat
26 acusatorio acusatorio 25 ADJ amod
27 para para 28 ADP mark
28 levar levar 22 VERB advcl
29 para para 31 ADP case
30 a o 31 DET det
31 cadeia cadeia 28 NOUN nmod
32 simultaneamente simultaneamente 28 ADV advmod
33 4 4 34 NUM nummod
34 expresidentes expresidente 111 NOUN nsubj
35 de de 37 ADP case
36 o o 37 DET det
37 brasil brasil 34 NOUN nmod
38 lula lula 34 NOUN appos
39 dilma dilma 34 NOUN appos
40 temer temer 39 NOUN flat
41 e e 42 CCONJ cc
42 collor collor 39 NOUN conj
43 podem podem 44 AUX aux
44 terminar terminar 28 VERB conj
45 sua sua 46 DET det:poss
46 vida vida 44 NOUN obj
47 politica politico 46 ADJ amod
48 atras atras 44 ADV advmod
49 de de 51 ADP case
50 as o 51 DET det
51 grades grade 48 NOUN nmod
52 a o 53 DET det
53 condenacao condenacao 56 NOUN nsubj
54 de de 55 ADP case
55 lula lula 53 NOUN nmod
56 acendeu acender 149 VERB conj
57 o o 58 DET det
58 alerta alerta 56 NOUN obj
59 vermelho vermelho 58 ADJ amod
60 em em 61 ADP case
61 politicos politico 56 NOUN nmod
62 que que 64 PRON nsubj
63 se se 64 PRON expl:pv
64 achavam achar 61 VERB acl:relcl
65 intocaveis intocavel 64 ADJ xcomp
66 a o 67 DET det
67 operacao operacao 64 NOUN nsubj
68 lava lava 67 ADJ amod
69 jato jato 68 NOUN flat
70 a a 72 ADP case
71 o o 72 DET det
72 condenar condenar 418 VERB advcl
73 o o 75 DET det
74 maior maior 75 ADJ amod
75 lider lider 72 NOUN obj
76 politico politico 75 ADJ amod
77 de de 79 ADP case
78 a o 79 DET det
79 esquerda esquerda 75 NOUN nmod
80 em em 82 ADP case
81 o o 82 DET det
82 brasil brasil 79 NOUN nmod
83 demonstrou demonstrar 22 VERB parataxis
84 que que 87 CCONJ mark
85 nenhuma nenhuma 86 DET det
86 pessoa pessoa 87 NOUN nsubj
87 esta esta 83 VERB ccomp
88 acima acima 87 ADV advmod
89 de de 91 ADP case
90 a o 91 DET det
91 lei lei 88 NOUN nmod
92 a o 93 DET det
93 condenacao condenacao 418 NOUN nsubj
94 a a 96 ADP case
95 nove nove 96 NUM nummod
96 anos ano 93 NOUN nmod
97 e e 99 CCONJ cc
98 seis seis 99 NUM nummod
99 meses mês 96 NOUN conj
100 de de 101 ADP case
101 prisao prisao 99 NOUN nmod
102 por por 104 ADP case
103 o o 104 DET det
104 juiz juiz 93 NOUN nmod
105 federal federal 104 ADJ amod
106 sergio sergio 104 NOUN appos
107 moro moro 106 NOUN flat
108 nesta nesta 109 ADP case
109 quartafeira quartafeira 196 NOUN nmod
110 nao nao 111 ADV advmod
111 mandara mandar 22 VERB parataxis
112 o o 113 DET det
113 petista petista 111 NOUN obj
114 automaticamente automaticamente 111 ADV advmod
115 para para 117 ADP case
116 a o 117 DET det
117 cadeia cadeia 111 NOUN nmod
118 isso isso 111 PRON obj
119 porque porque 123 CCONJ mark
120 moro moro 123 NOUN nsubj
121 e e 123 AUX cop
122 um um 123 DET det
123 juiz juiz 111 NOUN advcl
124 de de 126 ADP case
125 primeira primeiro 126 ADJ amod
126 instancia instancia 123 NOUN nmod
127 e e 132 CCONJ cc
128 assim assim 132 ADV advmod
129 sua sua 130 DET det:poss
130 decisao decisao 44 NOUN nsubj
131 nao nao 132 ADV advmod
132 basta bastar 221 VERB conj
133 para para 138 ADP mark
134 que que 133 CCONJ fixed
135 a o 136 DET det
136 pena pena 138 NOUN nsubj:pass
137 seja ser 138 AUX aux:pass
138 cumprida cumprir 132 VERB advcl
139 imediatamente imediatamente 138 ADV advmod
140 toda toda 141 DET det
141 decisao decisao 138 NOUN nsubj:pass
142 que que 149 PRON obj
143 o o 144 DET det
144 juiz juiz 149 NOUN nsubj
145 de de 147 ADP case
146 a o 147 DET det
147 lava lava 144 NOUN nmod
148 jato jato 147 ADJ amod
149 toma tomar 141 VERB acl:relcl
150 em em 152 ADP case
151 primeira primeiro 152 ADJ amod
152 instancia instancia 149 NOUN nmod
153 e e 155 CCONJ cc
154 depois depois 155 ADV advmod
155 revisada revisar 149 VERB conj
156 em em 158 ADP case
157 segunda segundo 158 ADJ amod
158 instancia instancia 155 NOUN nmod
159 por por 161 ADP case
160 os o 161 DET det
161 desembargadores desembargador 155 NOUN nmod
162 de de 164 ADP case
163 o o 164 DET det
164 tribunal tribunal 161 NOUN nmod
165 regional regional 164 ADJ amod
166 de de 169 ADP case
167 a o 169 DET det
168 4 4 169 NUM nummod
169 regiao regiao 164 NOUN nmod
170 trf4 trf4 169 NOUN appos
171 joao joao 409 NOUN nsubj
172 pedro pedro 171 NOUN flat
173 gebran gebran 172 NOUN flat
174 neto neto 172 ADJ amod
175 relator relator 171 NOUN appos
176 de de 178 ADP case
177 a o 178 DET det
178 operacao operacao 175 NOUN nmod
179 leandro leandro 178 NOUN appos
180 paulsen paulsen 179 NOUN flat
181 e e 182 CCONJ cc
182 victor victor 179 NOUN conj
183 luiz luiz 182 NOUN flat
184 de de 186 ADP case
185 os o 186 DET det
186 santos santo 182 NOUN nmod
187 laus lau 186 ADJ amod
188 membros membro 418 NOUN obj
189 de de 192 ADP case
190 a o 192 DET det
191 8 8 192 NUM nummod
192 turma turma 188 NOUN nmod
193 de de 195 ADP case
194 a o 195 DET det
195 corte corte 192 NOUN nmod
196 sediada sediar 195 VERB acl
197 em em 198 ADP case
198 porto porto 196 PROPN nmod
199 alegre alegre 198 ADJ amod
200 o o 201 DET det
201 trio trio 111 NOUN obj
202 de de 205 ADP case
203 a o 205 DET det
204 segunda segundo 205 ADJ amod
205 instancia instancia 201 NOUN nmod
206 e e 221 CCONJ cc
207 muito muito 208 ADV advmod
208 mais mais 209 ADV advmod
209 duro duro 221 ADJ conj
210 que que 212 ADP case
211 o o 212 DET det
212 juiz juiz 93 NOUN nmod
213 sergio sergio 212 NOUN appos
214 moro moro 212 NOUN flat
215 a o 216 DET det
216 pena pena 221 NOUN nsubj:pass
217 de de 218 ADP case
218 lula lula 216 NOUN nmod
219 provavelmente provavelmente 221 ADV advmod
220 sera sera 221 AUX aux:pass
