1 justica justica 4 NOUN nsubj
2 acaba acabar 4 AUX aux
3 de de 4 ADP mark
4 determinar determinar 0 VERB root
5 o o 6 DET det
6 fim fim 4 NOUN obj
7 de de 9 ADP case
8 o o 9 DET det
9 instituto instituto 6 NOUN nmod
10 lula lula 9 ADJ amod
11 o o 12 DET det
12 juiz juiz 25 NOUN nsubj
13 ricardo ricardo 12 ADJ amod
14 augusto augusto 12 ADJ amod
15 soares soares 12 ADJ amod
16 leite leite 12 NOUN flat
17 de de 20 ADP case
18 a o 20 DET det
19 10 10 20 NUM nummod
20 vara vara 12 NOUN nmod
21 federal federal 20 ADJ amod
22 criminal criminal 20 ADJ amod
23 de de 24 ADP case
24 brasilia brasilia 20 NOUN nmod
25 determinou determinar 4 VERB conj
26 a a 27 ADP case
27 pedido pedido 25 NOUN nmod
28 de de 30 ADP case
29 o o 30 DET det
30 ministerio ministerio 27 NOUN nmod
31 publico publico 30 ADJ amod
32 federal federal 30 ADJ amod
33 a o 34 DET det
34 suspensao suspensao 25 NOUN obj
35 de de 37 ADP case
36 as o 37 DET det
37 atividades atividade 34 NOUN nmod
38 de de 40 ADP case
39 o o 40 DET det
40 instituto instituto 37 NOUN nmod
41 lula lula 40 NOUN flat
42 entidade entidade 34 NOUN appos
43 comandada comandar 42 VERB acl
44 por por 46 ADP case
45 o o 46 DET det
46 expresidente expresidente 43 NOUN nmod
47 luiz luiz 46 ADJ appos
48 inacio inacio 47 NOUN flat
49 lula lula 47 NOUN flat
50 de de 52 ADP case
51 a o 52 DET det
52 silva silva 47 NOUN nmod
53 em em 55 ADP case
54 o o 55 DET det
55 despacho despacho 25 NOUN nmod
56 assinado assinar 55 VERB acl
57 em em 60 ADP case
58 o o 60 DET det
59 ultimo ultimo 60 ADJ amod
60 dia dia 56 NOUN nmod
61 5 5 60 NUM nmod
62 e e 63 CCONJ cc
63 publicado publicar 56 VERB conj
64 nesta nesta 65 ADP case
65 terca terca 63 PROPN nmod
66 o o 67 DET det
67 magistrado magistrado 68 NOUN nsubj
68 justificou justificar 4 VERB conj
69 que que 80 CCONJ mark
70 mesmo mesmo 75 ADV mark
71 que que 287 CCONJ fixed
72 o o 73 DET det
73 instituto instituto 75 NOUN nsubj
74 lula lula 73 ADJ amod
75 desenvolva desenvolver 254 VERB advcl
76 projetos projeto 75 NOUN obj
77 de de 78 ADP case
78 cunho cunho 76 NOUN nmod
79 social social 78 ADJ amod
80 ha ha 68 VERB ccomp
81 indicios indicio 80 NOUN obj
82 veementes veemente 81 ADJ amod
83 de de 84 ADP case
84 delitos delito 298 NOUN nmod
85 criminais criminal 84 ADJ amod
86 que que 90 PRON nsubj:pass
87 podem podem 90 AUX aux
88 ter ter 90 AUX aux
89 sido ser 90 AUX aux:pass
90 iniciados iniciar 84 VERB acl:relcl
91 ou ou 92 CCONJ cc
92 instigados instigar 90 VERB conj
93 em em 95 ADP case
94 a o 95 DET det
95 sede sede 90 NOUN nmod
96 de de 98 ADP case
97 o o 98 DET det
98 instituto instituto 95 NOUN nmod
99 localizada localizar 95 VERB acl
100 em em 101 ADP case
101 sao sao 99 NOUN nmod
102 paulo paulo 101 NOUN flat
103 para para 104 ADP mark
104 assegurar assegurar 90 VERB advcl
105 o o 106 DET det
106 cumprimento cumprimento 104 NOUN obj
107 de de 109 ADP case
108 a o 109 DET det
109 decisao decisao 106 NOUN nmod
110 o o 111 DET det
111 magistrado magistrado 329 NOUN nsubj
112 determinou determinar 201 VERB parataxis
113 que que 228 CCONJ mark
114 a o 115 DET det
115 superintendencia superintendencia 337 NOUN nsubj
116 de de 118 ADP case
117 a o 118 DET det
118 policia policia 115 NOUN nmod
119 federal federal 118 ADJ amod
120 em em 121 ADP case
121 sao sao 118 NOUN nmod
122 paulo paulo 121 NOUN flat
123 a o 124 DET det
124 junta junta 337 NOUN nsubj
125 comercial comercial 124 ADJ amod
126 paulista paulista 124 ADJ amod
127 e e 129 CCONJ cc
128 o o 129 DET det
129 presidente presidente 124 NOUN conj
130 de de 132 ADP case
131 o o 132 DET det
