1 diretoria diretoria 5 NOUN nsubj
2 de de 4 ADP case
3 o o 4 DET det
4 corinthians corinthians 1 NOUN nmod
5 emite emitir 0 VERB root
6 nota nota 5 NOUN obj
7 rejeitando rejeitar 6 VERB acl
8 risco risco 7 NOUN obj
9 de de 10 ADP case
10 desabamento desabamento 8 NOUN nmod
11 de de 13 ADP case
12 o o 13 DET det
13 itaquerao itaquerao 10 NOUN nmod
14 o o 15 DET det
15 clube clube 16 NOUN nsubj
16 emitiu emitir 5 VERB parataxis
17 uma um 18 DET det
18 nota nota 16 NOUN obj
19 em em 21 ADP case
20 a o 21 DET det
21 tarde tarde 16 NOUN nmod
22 de de 23 ADP mark
23 hoje hoje 21 ADV nmod
24 explicando explicar 16 VERB acl
25 a o 26 DET det
26 situacao situacao 24 NOUN obj
27 de de 29 ADP case
28 a o 29 DET det
29 arena arena 26 NOUN nmod
30 corinthians corinthians 29 ADJ amod
31 em em 32 ADP case
32 nota nota 24 NOUN nmod
33 oficial oficial 32 ADJ amod
34 o o 35 DET det
35 corinthians corinthians 36 NOUN nsubj
36 afirmou afirmar 5 VERB parataxis
37 que que 38 CCONJ mark
38 esta esta 36 VERB ccomp
39 em em 41 ADP case
40 constantes constante 41 ADJ amod
41 dialogos dialogo 38 NOUN nmod
42 com com 44 ADP case
43 a o 44 DET det
44 odebrecht odebrecht 41 NOUN nmod
45 e e 51 CCONJ cc
46 que que 51 CCONJ mark
47 o o 48 DET det
48 risco risco 51 NOUN nsubj
49 de de 50 ADP case
50 deslizamento deslizamento 48 NOUN nmod
51 esta esta 38 VERB conj
52 descartado descartado 51 ADJ xcomp
53 mais mais 54 ADV advmod
54 cedo cedo 51 ADV advmod
55 o o 56 DET det
56 jornalista jornalista 202 NOUN nsubj
57 juca juca 56 NOUN appos
58 kfouri kfouri 57 NOUN flat
59 publicou publicar 36 VERB conj
60 que que 66 CCONJ mark
61 o o 62 DET det
62 estacionamento estacionamento 66 NOUN nsubj
63 de de 65 ADP case
64 o o 65 DET det
65 estadio estadio 62 NOUN nmod
66 corre correr 59 VERB ccomp
67 o o 68 DET det
68 risco risco 66 NOUN obj
69 de de 70 ADP mark
70 desabar desabar 68 VERB nmod
71 em em 73 ADP case
72 a o 73 DET det
73 radial radial 70 NOUN nmod
74 leste leste 73 ADJ amod
75 leia ler 202 VERB parataxis
76 aqui aqui 75 ADV advmod
77 veja ver 75 VERB parataxis
78 a o 79 DET det
79 nota nota 77 NOUN obj
80 oficial oficial 79 ADJ amod
81 de de 83 ADP case
82 o o 83 DET det
83 corinthians corinthians 79 NOUN nmod
84 desde desde 87 ADP case
85 as o 87 DET det
86 primeiras primeiro 87 ADJ amod
87 horas hora 215 NOUN nmod
88 de de 90 ADP case
89 o o 90 DET det
90 dia dia 87 NOUN nmod
91 a o 92 DET det
92 arena arena 100 NOUN nsubj
93 corinthians corinthians 92 ADJ amod
94 e e 96 CCONJ cc
95 o o 96 DET det
96 sport sport 92 NOUN conj
97 club club 96 NOUN flat
98 corinthians corinthians 96 NOUN flat
99 paulista paulista 96 ADJ amod
100 estao estao 5 VERB conj
101 em em 102 ADP case
102 contato contato 100 NOUN nmod
103 com com 105 ADP case
104 a o 105 DET det
105 odebrecht odebrecht 102 NOUN nmod
106 responsavel responsavel 105 ADJ amod
107 por por 109 ADP case
108 a o 109 DET det
109 obra obra 106 NOUN nmod
110 de de 112 ADP case
111 o o 112 DET det
112 estadio estadio 109 NOUN nmod
113 para para 114 ADP mark
114 verificar verificar 229 VERB advcl
115 as o 116 DET det
116 informacoes informacoe 114 NOUN obj
117 veiculadas veicular 116 VERB acl
118 em em 119 ADP case
119 materia materia 117 NOUN nmod
120 publicada publicar 119 VERB acl
121 nesta nesta 122 ADP case
122 tercafeira tercafeira 120 NOUN nmod
123 01/11 01/11 122 NUM nmod
124 em em 126 ADP case
125 a o 126 DET det
126 folha folha 120 NOUN nmod
127 de de 128 ADP case
128 s s 126 NOUN nmod
129 paulo paulo 126 NOUN nmod
130 uma um 131 DET det
131 equipe equipe 134 NOUN nsubj
132 de de 133 ADP case
133 manutencao manutencao 131 NOUN nmod
134 trabalha trabalhar 5 VERB parataxis
135 diariamente diariamente 134 ADV advmod
136 e e 137 CCONJ cc
137 verifica verificar 134 VERB conj
138 minuciosamente minuciosamente 137 ADV advmod
139 as o 140 DET det
140 condicoes condicoes 137 NOUN obj
141 para para 145 ADP mark
142 que que 145 CCONJ mark
143 os o 144 DET det
144 torcedores torcedor 145 NOUN nsubj
145 estejam estar 140 VERB nmod
146 em em 148 ADP case
147 completa completo 148 ADJ amod
148 seguranca seguranca 145 NOUN nmod
149 em em 151 ADP case
150 o o 151 DET det
151 estadio estadio 145 NOUN nmod
152 e e 157 CCONJ cc
153 ate ate 155 ADP case
154 o o 155 DET det
155 momento momento 157 NOUN nmod
156 nao nao 157 ADV advmod
157 ha ha 134 VERB conj
158 informacao informacao 157 NOUN obj
159 vinda vir 158 VERB acl
160 de de 162 ADP case
161 a o 162 DET det
162 odebrecht odebrecht 158 NOUN nmod
163 para para 165 ADP case
164 qualquer qualquer 165 DET det
165 risco risco 120 NOUN nmod
166 de de 167 ADP case
167 deslizamento deslizamento 165 NOUN nmod
168 a a 169 DET det
169 arena arena 165 NOUN nmod
170 e e 173 CCONJ cc
171 o o 173 DET det
172 clube clube 173 NOUN nsubj
173 reforcam reforcar 36 VERB conj
174 ainda ainda 173 ADV advmod
175 que que 38 CCONJ mark
176 toda toda 178 DET det
177 a o 178 DET det
178 construcao construcao 183 NOUN nsubj
179 de de 181 ADP case
180 o o 181 DET det
181 estadio estadio 178 NOUN nmod
182 esta esta 183 AUX aux
183 passando passar 173 VERB ccomp
184 por por 186 ADP case
185 uma um 186 DET det
186 auditoria auditoria 183 NOUN nmod
187 externa externo 186 ADJ amod
188 como como 51 CCONJ nmod
189 e e 188 CCONJ fixed
190 de de 191 ADP case
191 conhecimento conhecimento 165 NOUN nmod
192 publico publico 191 ADJ amod
193 a o 194 DET det
194 arena arena 202 NOUN nsubj
195 corinthians corinthians 194 ADJ amod
196 e e 198 CCONJ cc
197 o o 198 DET det
198 sport sport 194 NOUN conj
199 club club 198 NOUN flat
200 corinthians corinthians 198 NOUN flat
201 paulista paulista 198 ADJ amod
202 esclarecem esclarecer 36 VERB ccomp
203 tambem tambem 202 ADV advmod
204 que que 206 CCONJ mark
205 foram foram 206 AUX aux:pass
206 procurados procurar 202 VERB ccomp
207 por por 209 ADP case
208 a o 209 DET det
209 folha folha 206 NOUN nmod
210 de de 211 ADP case
211 s s 209 NOUN nmod
212 paulo paulo 211 NOUN flat
213 apenas apenas 215 ADV advmod
214 para para 215 ADP mark
215 responder responder 206 VERB advcl
216 sobre sobre 218 ADP case
217 o o 218 DET det
