1 80 80 3 NUM nummod
2 de de 3 ADP case
3 chances chance 9 NOUN nmod
4 sistema sistema 9 NOUN nsubj:pass
5 de de 6 ADP case
6 alerta alerta 4 NOUN nmod
7 nuclear nuclear 6 ADJ amod
8 foi foi 9 AUX aux:pass
9 aumentado aumentar 0 VERB root
10 para para 11 ADP case
11 nivel nivel 9 NOUN nmod
12 4 4 11 NUM appos
13 em em 15 ADP case
14 uma um 15 DET det
15 escala escala 9 NOUN nmod
16 que que 17 PRON nsubj
17 vai ir 15 VERB acl:relcl
18 ate ate 19 ADP case
19 5 5 17 NUM nmod
20 o o 21 DET det
21 sistema sistema 28 NOUN nsubj:pass
22 de de 23 ADP case
23 alerta alerta 21 NOUN nmod
24 nuclear nuclear 23 ADJ amod
25 norteamericano norteamericano 23 ADJ amod
26 defcon defcon 21 NOUN appos
27 foi foi 28 AUX aux:pass
28 atualizado atualizar 9 VERB parataxis
29 para para 31 ADP case
30 o o 31 DET det
31 nivel nivel 28 NOUN nmod
32 de de 33 ADP case
33 ameaca ameaca 31 NOUN nmod
34 quatro quatro 33 NUM appos
35 devido dever 37 VERB case
36 as as 35 ADP fixed
37 tensoes tensoe 28 NOUN nmod
38 entre entre 40 ADP case
39 a o 40 DET det
40 coreia coreia 37 NOUN nmod
41 de de 43 ADP case
42 o o 43 DET det
43 norte norte 40 NOUN nmod
44 e e 45 CCONJ cc
45 eua eua 40 NOUN conj
46 a o 47 DET det
47 coreia coreia 51 NOUN nsubj
48 de de 50 ADP case
49 o o 50 DET det
50 norte norte 47 NOUN nmod
51 confirmou confirmar 28 VERB parataxis
52 atraves atrave 51 ADV advmod
53 de de 55 ADP case
54 a o 55 DET det
55 agencia agencia 52 NOUN nmod
56 de de 57 ADP case
57 noticias noticia 55 NOUN nmod
58 kcna kcna 55 ADJ appos
59 que que 61 CCONJ mark
60 ira ira 61 AUX aux
61 testar testar 51 VERB ccomp
62 um um 64 DET det
63 novo novo 64 ADJ amod
64 missil missil 61 NOUN obj
65 nuclear nuclear 64 ADJ amod
66 mas mas 172 CCONJ cc
67 desta desta 68 ADP case
68 vez vez 73 NOUN nmod
69 uma um 70 DET det
70 ogiva ogiva 259 NOUN nsubj
71 nuclear nuclear 70 ADJ amod
72 sera sera 73 AUX aux:pass
73 acoplada acoplar 51 VERB conj
74 a a 76 ADP case
75 o o 76 DET det
76 equipamento equipamento 73 NOUN nmod
77 a o 78 DET det
78 china china 73 NOUN nsubj:pass
79 que que 81 PRON nsubj
80 ja ja 81 ADV advmod
81 impos impos 78 VERB acl:relcl
82 sancoes sancoe 81 NOUN obj
83 economicas economico 82 ADJ amod
84 a o 85 DET det
85 coreia coreia 73 NOUN nsubj:pass
86 preve prever 299 VERB ccomp
87 que que 311 CCONJ mark
88 um um 89 DET det
89 conflito conflito 182 NOUN nsubj
90 armado armado 89 ADJ amod
91 e e 299 VERB ccomp
92 cada cada 93 DET det
93 vez vez 94 NOUN nmod
94 mais mais 95 ADV advmod
95 iminente iminente 91 ADJ xcomp
96 visto visto 197 VERB mark
97 que que 96 CCONJ fixed
98 todas todas 100 DET det
99 as o 100 DET det
100 opcoes opcoe 103 NOUN nsubj:pass
101 diplomaticas diplomatico 100 ADJ amod
102 foram foram 103 AUX aux:pass
103 esgotadas esgotar 182 VERB advcl
104 o o 105 DET det
105 pais pais 103 NOUN nsubj:pass
106 de de 108 ADP case
107 o o 108 DET det
108 ditador ditador 346 NOUN nmod
109 kim kim 108 PROPN appos
110 jonun jonun 109 NOUN flat
111 foi foi 112 AUX aux:pass
112 advertido adverter 299 VERB advcl
113 inumeras inumeras 114 ADJ amod
114 vezes vez 217 NOUN nmod
115 para para 116 ADP mark
116 acabar acabar 197 VERB advcl
117 com com 119 ADP case
118 seus seus 119 DET det:poss
119 testes teste 116 NOUN nmod
120 de de 121 ADP case
121 misseis missil 119 NOUN nmod
122 porem porem 124 CCONJ mark
123 nao nao 124 ADV advmod
124 demonstrou demonstrar 197 VERB conj
125 sinais sinais 124 NOUN obj
126 de de 127 ADP case
127 mudanca mudanca 125 NOUN nmod
128 em em 130 ADP case
129 uma um 130 DET det
130 serie serie 262 NOUN nmod
131 de de 132 ADP case
132 ameacas ameaca 130 NOUN nmod
133 o o 134 DET det
134 despota despota 292 NOUN nsubj:pass
135 nortecoreano nortecoreano 134 ADJ amod
136 disse dizer 9 VERB parataxis
137 que que 139 CCONJ mark
138 ira ira 139 AUX aux
139 devastar devastar 136 VERB ccomp
140 as o 141 DET det
141 tropas tropa 139 NOUN obj
142 de de 144 ADP case
143 os o 144 DET det
144 eua eua 141 NOUN nmod
145 e e 147 CCONJ cc
146 nao nao 147 ADV advmod
147 recuara recuar 259 VERB conj
148 contra contra 149 ADP case
149 trump trump 147 NOUN nmod
150 um um 151 DET det
151 portavoz portavoz 172 NOUN nsubj
152 de de 154 ADP case
153 o o 154 DET det
154 instituto instituto 151 NOUN nmod
155 de de 156 ADP case
156 desarmamento desarmamento 154 NOUN nmod
157 e e 158 CCONJ cc
158 paz paz 156 NOUN conj
159 de de 161 ADP case
160 o o 161 DET det
161 ministerio ministerio 154 NOUN nmod
162 de de 164 ADP case
163 as o 164 DET det
164 relacoes relacoe 161 NOUN nmod
165 exteriores exterior 164 ADJ amod
166 de de 168 ADP case
167 a o 168 DET det
168 coreia coreia 287 NOUN nmod
169 de de 171 ADP case
170 o o 171 DET det
171 norte norte 168 NOUN nmod
172 emitiu emitir 9 VERB conj
173 uma um 174 DET det
174 declaracao declaracao 172 NOUN obj
175 condenando condenar 174 VERB acl
176 os o 177 DET det
177 estados estado 175 NOUN obj
178 unidos unido 177 ADJ amod
179 os o 180 DET det
180 estados estado 182 NOUN nsubj
181 unidos unido 180 ADJ amod
182 introduziram introduzir 299 VERB ccomp
183 em em 185 ADP case
184 a o 185 DET det
185 peninsula peninsula 182 NOUN nmod
186 coreana coreano 185 ADJ amod
187 o o 189 DET det
188 maior maior 189 ADJ amod
189 arsenal arsenal 182 NOUN obj
190 de de 192 ADP case
191 o o 192 DET det
192 mundo mundo 189 NOUN nmod
193 enormes enorme 194 ADJ amod
194 ativos ativo 182 NOUN obj
195 estrategicos estrategico 194 ADJ amod
196 nucleares nuclear 194 ADJ amod
197 ameacando ameacar 194 VERB acl
198 seriamente seriamente 197 ADV advmod
199 a o 200 DET det
200 paz paz 197 NOUN obj
201 e e 203 CCONJ cc
202 a o 203 DET det
203 seguranca seguranca 200 NOUN conj
204 de de 206 ADP case
205 a o 206 DET det
206 peninsula peninsula 200 NOUN nmod
207 empurrando empurrar 197 VERB acl
208 a o 209 DET det
209 situacao situacao 207 NOUN obj
210 para para 212 ADP case
211 o o 212 DET det
212 inicio inicio 207 NOUN nmod
213 de de 216 ADP case
214 uma um 216 DET det
215 uma um 216 DET det
216 guerra guerra 212 NOUN nmod
217 informou informar 299 VERB ccomp
218 a o 219 DET det
219 kcna kcna 217 NOUN obj
220 em em 223 ADP case
221 a o 223 DET det
222 ultima ultima 223 ADJ amod
223 sextafeira sextafeira 217 PROPN nmod
224 citando citar 197 VERB acl
225 a o 226 DET det
226 declaracao declaracao 224 NOUN obj
227 o o 228 DET det
228 documento documento 259 NOUN nsubj
229 citado citar 228 VERB acl
230 por por 232 ADP case
231 a o 232 DET det
232 emissora emissora 229 NOUN nmod
233 tambem tambem 234 ADV advmod
234 destaca destacar 299 VERB parataxis
235 a o 237 DET det
236 seguinte seguinte 237 ADJ amod
237 frase frase 234 NOUN obj
238 a o 239 DET det
239 america america 240 NOUN nsubj
240 criou criar 299 VERB ccomp
241 uma um 242 DET det
242 situacao situacao 240 NOUN obj
243 perigosa perigoso 242 ADJ amod
244 em em 246 ADP case
245 a o 246 DET det
246 qual qual 251 PRON nmod
247 uma um 248 DET det
248 guerra guerra 251 NOUN nsubj
249 termonuclear termonuclear 248 ADJ amod
250 pode pode 251 AUX aux
251 explodir explodir 242 VERB acl:relcl
252 a a 254 ADP case
253 qualquer qualquer 254 DET det
254 momento momento 251 NOUN nmod
255 em em 257 ADP case
256 a o 257 DET det
257 peninsula peninsula 251 NOUN nmod
258 eles eles 259 PRON nsubj
259 colocaram colocar 51 VERB ccomp
260 uma um 262 DET det
261 seria seria 262 ADJ amod
262 ameaca ameaca 259 NOUN obj
263 a a 264 ADP case
264 paz paz 262 NOUN nmod
265 e e 267 CCONJ cc
266 a o 267 DET det
267 seguranca seguranca 264 NOUN conj
268 mundial mundial 267 ADJ amod
269 para para 271 ADP mark
270 nao nao 271 ADV advmod
271 falar falar 259 VERB advcl
272 daqueles daqueles 271 X nmod
273 em em 275 ADP case
274 o o 275 DET det
275 nordeste nordeste 271 NOUN nmod
