1 video video 2 NOUN nsubj
2 mostra mostrar 0 VERB root
3 exercito exercito 2 NOUN obj
4 sendo ser 5 AUX aux:pass
5 recebido receber 3 VERB acl
6 a a 7 ADP case
7 tiros tiro 5 NOUN nmod
8 em em 9 ADP case
9 favela favela 5 NOUN nmod
10 de de 12 ADP case
11 o o 12 DET det
12 rio rio 9 NOUN nmod
13 apos apos 15 ADP case
14 o o 15 DET det
15 atentado atentado 5 NOUN nmod
16 em em 17 ADP case
17 nice nice 15 NOUN nmod
18 em em 20 ADP case
19 a o 20 DET det
20 franca franca 15 NOUN nmod
21 que que 22 PRON nsubj
22 deixou deixar 15 VERB acl:relcl
23 mais mais 25 ADV advmod
24 de de 23 ADP case
25 70 70 26 NUM nummod
26 mortos morto 22 NOUN obj
27 o o 28 DET det
28 prefeito prefeito 36 NOUN nsubj
29 de de 31 ADP case
30 o o 31 DET det
31 rio rio 28 PROPN nmod
32 de de 33 ADP case
33 janeiro janeiro 31 PROPN nmod
34 eduardo eduardo 28 PROPN appos
35 paes paes 34 PROPN flat
36 afirmou afirmar 2 VERB parataxis
37 que que 46 CCONJ mark
38 a o 39 DET det
39 sede sede 46 NOUN nsubj
40 de de 42 ADP case
41 os o 42 DET det
42 jogos jogo 39 NOUN nmod
43 olimpicos olimpico 42 ADJ amod
44 sera sera 46 AUX cop
45 a o 46 DET det
46 cidade cidade 36 NOUN ccomp
47 mais mais 48 ADV advmod
48 segura seguro 46 ADJ amod
49 de de 51 ADP case
50 o o 51 DET det
51 mundo mundo 46 NOUN nmod
52 as o 53 DET det
53 palavras palavra 62 NOUN nsubj
54 de de 56 ADP case
55 o o 56 DET det
56 prefeito prefeito 53 NOUN nmod
57 seguranca seguranca 53 NOUN appos
58 e e 59 CCONJ cc
59 mobilidade mobilidade 57 NOUN conj
60 sao sao 62 AUX cop
61 as o 62 DET det
62 questoes questoe 36 NOUN ccomp
63 mais mais 64 ADV advmod
64 importantes importante 62 ADJ amod
65 para para 74 ADP mark
66 em em 69 ADP case
67 os o 69 DET det
68 o o 69 DET det
69 rio rio 74 PROPN nmod
70 de de 71 ADP case
71 janeiro janeiro 69 PROPN nmod
72 sera sera 74 AUX cop
73 a o 74 DET det
74 cidade cidade 62 NOUN advcl
75 mais mais 76 ADV advmod
76 segura seguro 74 ADJ amod
77 de de 79 ADP case
78 o o 79 DET det
79 mundo mundo 74 NOUN nmod
80 declarou declarar 62 VERB acl:relcl
81 sera sera 83 AUX cop
82 mesmo mesmo 83 ADV advmod
83 prefeito prefeito 80 NOUN ccomp
84 abaixo abaixo 83 ADV advmod
85 a o 86 DET det
86 realidade realidade 83 NOUN nsubj
87 nua nuo 86 ADJ amod
88 e e 89 CCONJ cc
89 crua cruo 87 ADJ conj
90 exercito exercito 86 VERB appos
91 e e 92 CCONJ cc
92 recebido receber 90 VERB conj
93 a a 94 ADP case
94 tiros tiro 92 NOUN nmod
95 em em 97 ADP case
96 o o 97 DET det
97 rio rio 94 NOUN nmod
98 em em 100 ADP case
99 a o 100 DET det
100 favela favela 92 NOUN nmod
101 de de 103 ADP case
102 a o 103 DET det
103 mare mare 100 NOUN nmod
