1 exministro exministro 6 NOUN nsubj
2 de de 4 ADP case
3 a o 4 DET det
4 justica justica 1 NOUN nmod
5 foi foi 6 AUX aux
6 tirar tirar 0 VERB root
7 satisfacao satisfacao 6 NOUN obj
8 com com 9 ADP case
9 janot janot 6 NOUN nmod
10 e e 11 CCONJ cc
11 quebrou quebrar 6 VERB conj
12 a o 13 DET det
13 cara cara 11 NOUN obj
14 o o 15 DET det
15 lula lula 11 NOUN obj
16 e e 17 CCONJ cc
17 bandido bandido 15 NOUN conj
18 como como 22 ADP case
19 todos todos 22 DET det
20 os o 22 DET det
21 outros outros 22 PRON nmod
22 eugenio eugenio 11 NOUN nmod
23 aragao aragao 22 NOUN flat
24 e e 25 CCONJ cc
25 subprocuradorgeral subprocuradorgeral 22 NOUN conj
26 de de 28 ADP case
27 a o 28 DET det
28 republica republica 25 NOUN nmod
29 e e 31 CCONJ cc
30 foi foi 31 AUX cop
31 ministro ministro 42 NOUN conj
32 de de 34 ADP case
33 a o 34 DET det
34 justica justica 31 NOUN nmod
35 em em 37 ADP case
36 o o 37 DET det
37 governo governo 31 NOUN nmod
38 de de 39 ADP case
39 dilma dilma 37 NOUN nmod
40 o o 41 DET det
41 estado estado 42 NOUN nsubj
42 revelou revelar 6 VERB conj
43 trecho trecho 42 NOUN obj
44 de de 46 ADP case
45 uma um 46 DET det
46 conversa conversa 43 NOUN nmod
47 de de 48 ADP case
48 aragao aragao 46 NOUN nmod
49 com com 50 ADP case
50 rodrigo rodrigo 46 NOUN nmod
51 janot janot 50 NOUN flat
52 procurador procurador 50 NOUN appos
53 geral geral 52 ADJ amod
54 de de 56 ADP case
55 a o 56 DET det
56 republica republica 52 NOUN nmod
57 foi foi 60 AUX cop
58 o o 60 DET det
59 proprio proprio 60 ADJ amod
60 aragao aragao 6 NOUN parataxis
61 que que 62 PRON nsubj
62 revelou revelar 60 VERB acl:relcl
63 o o 64 DET det
64 teor teor 62 NOUN obj
65 de de 67 ADP case
66 o o 67 DET det
67 dialogo dialogo 64 NOUN nmod
68 confira conferir 64 VERB acl:relcl
69 eugenio eugenio 68 NOUN obj
70 aragao aragao 69 NOUN flat
71 rodrigo rodrigo 68 NOUN nsubj
72 em em 74 ADP case
73 os o 74 DET det
74 somos ser 71 NOUN nmod
75 diferentes diferentes 74 ADJ amod
76 para para 77 ADP case
77 mim mim 75 PRON nmod
78 voce voce 81 PRON nsubj
79 foi foi 81 AUX cop
80 uma um 81 DET det
81 decepcao decepcao 6 NOUN parataxis
82 rodrigo rodrigo 81 X appos
83 janot janot 81 NOUN appos
84 o o 81 PRON appos
85 que que 87 PRON obj
86 voce voce 87 PRON nsubj
87 quer querer 84 VERB acl:relcl
88 dizer dizer 87 VERB xcomp
89 vai ir 91 AUX aux
90 me me 91 PRON obj
91 chamar chamar 172 VERB csubj
92 de de 93 ADP case
93 traira traira 91 NOUN nmod
94 eugenio eugenio 93 NOUN appos
95 aragao aragao 94 NOUN flat
96 nao nao 97 ADV advmod
97 traira trairar 6 VERB conj
98 nao nao 99 ADV advmod
99 desleal desleal 97 ADJ xcomp
100 mas mas 101 CCONJ cc
101 traira trairar 159 VERB conj
102 nao nao 194 ADV advmod
103 voce voce 104 PRON nsubj
104 foi foi 181 VERB conj
105 extremamente extremamente 106 ADV advmod
106 seletivo seletivo 104 ADJ xcomp
107 aragao aragao 104 ADV nsubj
108 se se 109 PRON expl:pv
109 refere referir 159 VERB parataxis
110 a a 111 ADP case
111 operacao operacao 109 NOUN nmod
112 lavajato lavajato 111 NOUN flat
113 rodrigo rodrigo 111 NOUN appos
114 janot janot 113 NOUN flat
115 voce voce 116 PRON nsubj
116 vem vir 211 VERB ccomp
117 aqui aqui 116 ADV advmod
118 em em 121 ADP case
119 o o 121 DET det
120 meu meu 121 DET det:poss
121 gabinete gabinete 213 NOUN nmod
122 para para 123 ADP mark
123 dizer dizer 62 VERB advcl
124 que que 126 CCONJ mark
125 estou estar 126 AUX aux
126 sendo ser 123 VERB ccomp
127 seletivo seletivo 126 ADJ xcomp
128 eugenio eugenio 126 NOUN nsubj
129 aragao aragao 128 ADJ flat
130 e e 136 CCONJ cc
131 isso isso 228 PRON nsubj
132 mesmo mesmo 131 ADJ amod
133 rodrigo rodrigo 234 X appos
134 janot janot 133 NOUN flat
135 voce voce 136 PRON nsubj
136 vai ir 169 VERB conj
137 para para 139 ADP case
138 a o 139 DET det
139 pqp pqp 136 NOUN nmod
140 voce voce 141 PRON nsubj
141 acha achar 169 VERB ccomp
142 que que 147 CCONJ mark
143 esse esse 144 DET det
144 lula lula 147 NOUN nsubj
145 e e 147 CCONJ cop
146 um um 147 DET det
147 santo santo 84 NOUN acl:relcl
148 ele ele 147 PRON nsubj
149 e e 150 CCONJ cc
150 bandido bandido 148 NOUN conj
151 igual igual 150 ADJ amod
152 a a 155 ADP case
153 todos todos 189 DET det
154 os o 189 DET det
155 outros outros 151 PRON nmod
156 eugenio eugenio 181 NOUN nmod
157 aragao aragao 156 NOUN flat
158 voce voce 159 PRON nsubj
159 foi foi 42 VERB ccomp
160 mesquinho mesquinho 159 ADJ xcomp
161 em em 162 ADP case
162 relacao relacao 160 NOUN nmod
163 a a 165 ADP case
164 o o 165 DET det
165 lula lula 162 NOUN nmod
166 so so 169 ADV advmod
167 porque porque 169 CCONJ mark
168 ele ele 169 PRON nsubj
169 disse dizer 159 VERB advcl
170 que que 172 CCONJ mark
171 voce voce 172 PRON nsubj
172 foi foi 169 VERB ccomp
173 ingrato ingrato 172 ADJ xcomp
174 rodrigo rodrigo 172 X nmod
175 janot janot 174 PROPN flat
176 isso isso 174 PRON appos
177 e e 181 CCONJ cc
178 o o 179 DET det
179 que que 181 PRON obj
180 voce voce 181 PRON nsubj
181 acha achar 159 VERB conj
182 o o 183 DET det
183 lula lula 181 NOUN obj
