1 novas novo 2 ADJ amod
2 gravacoes gravaco 6 NOUN nsubj
3 de de 4 ADP case
4 sergio sergio 2 NOUN nmod
5 machado machado 4 PROPN flat
6 citam citar 0 VERB root
7 temer temer 6 NOUN obj
8 sarney sarney 7 NOUN flat
9 e e 12 CCONJ cc
10 ate ate 12 ADV advmod
11 o o 12 DET det
12 ministroteori ministroteori 7 NOUN conj
13 eu eu 14 PRON nsubj
14 contribui contribuir 6 VERB ccomp
15 pro pro 16 ADP case
16 michel michel 14 NOUN nmod
17 em em 18 ADP case
18 gravacoes gravacoes 14 NOUN nmod
19 divulgadas divulgar 18 VERB acl
20 por por 22 ADP case
21 o o 22 DET det
22 jornal jornal 19 NOUN nmod
23 nacional nacional 22 ADJ amod
24 de de 26 ADP case
25 a o 26 DET det
26 rede rede 22 NOUN nmod
27 globo globo 26 ADJ amod
28 sergio sergio 26 ADJ appos
29 machado machado 26 ADJ appos
30 expresidente expresidente 34 NOUN nsubj
31 de de 33 ADP case
32 a o 33 DET det
33 transpetro transpetro 30 NOUN nmod
34 disse dizer 6 VERB parataxis
35 para para 36 ADP case
36 jose jose 34 NOUN nmod
37 sarney sarney 36 PROPN flat
38 que que 39 CCONJ mark
39 contribuiu contribuir 34 VERB ccomp
40 para para 42 ADP case
41 a o 42 DET det
42 campanha campanha 39 NOUN nmod
43 de de 45 ADP case
44 o o 45 DET det
45 deputado deputado 42 NOUN nmod
46 federal federal 45 ADJ amod
47 gabriel gabriel 45 NOUN appos
48 chalita chalita 47 NOUN flat
49 em em 50 ADP case
50 2012 2012 39 NUM nmod
51 a o 52 DET det
52 reportagem reportagem 34 NOUN nsubj
53 de de 55 ADP case
54 a o 55 DET det
55 globo globo 52 NOUN nmod
56 informou informar 6 VERB parataxis
57 que que 60 CCONJ mark
58 a o 59 DET det
59 contribuicao contribuicao 60 NOUN nsubj
60 ocorreu ocorrer 56 VERB ccomp
61 a a 62 ADP case
62 pedido pedido 60 NOUN nmod
63 de de 65 ADP case
64 o o 65 DET det
65 presidente presidente 62 NOUN nmod
66 interino interino 65 ADJ amod
67 de de 69 ADP case
68 a o 69 DET det
69 republica republica 65 NOUN nmod
70 michel michel 65 ADJ appos
71 temer temer 70 NOUN flat
72 em em 74 ADP case
73 o o 74 DET det
74 dialogo dialogo 150 NOUN nmod
75 revelado revelar 74 VERB acl
76 sergio sergio 219 PROPN nsubj
77 machado machado 76 PROPN flat
78 questiona questionar 56 VERB ccomp
79 o o 80 DET det
80 expresidente expresidente 78 NOUN obj
81 jose jose 80 ADJ appos
82 sarney sarney 81 NOUN flat
83 se se 87 CCONJ mark
84 michel michel 85 DET det
85 temer temer 87 NOUN nsubj
86 poderia poder 87 AUX aux
87 participar participar 150 VERB ccomp
88 de de 90 ADP case
89 uma um 90 DET det
90 articulacao articulacao 87 NOUN nmod
91 para para 92 ADP mark
92 evitar evitar 87 VERB advcl
93 que que 96 CCONJ mark
94 sua sua 95 DET det:poss
95 investigacao investigacao 96 NOUN nsubj
96 caia caia 92 VERB ccomp
97 em em 99 ADP case
98 as o 99 DET det
99 maos mao 96 NOUN nmod
100 de de 101 ADP case
101 sergio sergio 99 NOUN nmod
102 moro moro 101 NOUN flat
103 machado machado 101 NOUN flat
104 voce voce 105 PRON nsubj
105 acha achar 34 VERB ccomp
106 que que 109 CCONJ mark
107 a o 108 DET det
108 gente gente 109 NOUN nsubj
109 consegue conseguir 105 VERB ccomp
110 emplacar emplacar 109 VERB xcomp
111 o o 112 DET det
112 michel michel 110 NOUN obj
113 sem sem 115 ADP case
114 uma um 115 DET det
115 articulacao articulacao 110 NOUN nmod
116 de de 118 ADP case
117 o o 118 DET det
118 jeito jeito 22 NOUN nmod
119 que que 202 CCONJ mark
120 esta esta 186 PRON nsubj
121 sarney sarney 45 ADJ appos
122 nao nao 127 ADV advmod
123 sem sem 124 ADP case
124 articulacao articulacao 121 NOUN nmod
125 nao nao 127 ADV advmod
126 vou ir 127 AUX aux
127 ver ver 196 VERB ccomp
128 o o 127 PRON obj
129 que que 130 PRON obj
130 acontecendo acontecer 128 VERB acl:relcl
131 vou ir 196 VERB ccomp
132 em em 134 ADP case
133 o o 134 DET det
134 michel michel 131 NOUN nmod
135 hoje hoje 127 ADV advmod
136 machado machado 200 ADJ nmod
137 o o 139 DET det
138 michel michel 139 ADJ amod
139 presidente presidente 202 NOUN nsubj
140 lhe lhe 141 PRON iobj
141 dizer dizer 127 VERB ccomp
142 eu eu 143 PRON nsubj
143 contribui contribuir 202 VERB ccomp
144 pro pro 145 ADP case
145 michel michel 143 PROPN nmod
146 sarney sarney 145 PROPN flat
147 hum hum 221 X appos
148 machado machado 145 NOUN flat
149 eu eu 150 PRON nsubj
150 contribui contribuir 56 VERB ccomp
151 pro pro 152 ADP case
152 michel michel 150 NOUN nmod
153 nao nao 154 ADV advmod
154 quero querer 150 VERB conj
