1 ha ha 4 VERB advcl
2 49 49 3 NUM nummod
3 anos ano 1 NOUN nmod
4 morria morrer 0 VERB root
5 o o 6 DET det
6 soldado soldado 4 NOUN nsubj
7 mario mario 6 NOUN appos
8 kozel kozel 7 NOUN flat
9 a a 12 ADP case
10 os o 12 DET det
11 19 19 12 NUM nummod
12 anos ano 4 NOUN nmod
13 de de 14 ADP case
14 idade idade 12 NOUN nmod
15 ele ele 18 PRON nsubj:pass
16 foi foi 18 AUX aux:pass
17 brutalmente brutalmente 18 ADV advmod
18 assassinado assassinar 4 VERB parataxis
19 atentado atentado 18 NOUN nsubj:pass
20 a a 22 ADP case
21 o o 22 DET det
22 qg qg 19 NOUN nmod
23 de de 26 ADP case
24 o o 26 DET det
25 ii ii 26 ADJ amod
26 exercito exercito 22 NOUN nmod
27 26/06/1968 26/06/1968 26 NUM nmod
28 mario mario 31 NOUN nsubj
29 kosel kosel 28 NOUN flat
30 filho filho 28 NOUN flat
31 nasceu nascer 4 VERB parataxis
32 em em 33 ADP case
33 6 6 31 NUM nmod
34 de de 35 ADP case
35 julho julho 33 PROPN nmod
36 de de 37 ADP case
37 1949 1949 35 NUM nmod
38 em em 40 ADP case
39 sao sao 40 ADJ amod
40 paulo paulo 31 NOUN nmod
41 era era 42 AUX cop
42 filho filho 4 NOUN parataxis
43 de de 44 ADP case
44 mario mario 42 NOUN nmod
45 kosel kosel 44 NOUN flat
46 e e 47 CCONJ cc
47 therezinha therezinha 44 NOUN conj
48 vera vera 47 NOUN appos
49 kosel kosel 48 NOUN flat
50 tinha ter 4 VERB parataxis
51 uma um 52 DET det
52 irma irma 50 NOUN obj
53 suzana suzano 52 ADJ amod
54 kozel kozel 52 NOUN appos
55 varela varela 52 NOUN flat
56 e e 58 CCONJ cc
57 um um 58 DET det
58 irmao irmao 52 NOUN conj
59 sidney sidney 58 NOUN appos
60 kozel kozel 59 NOUN flat
61 com com 63 ADP case
62 14 14 63 NUM nummod
63 anos ano 69 NOUN nmod
64 de de 65 ADP case
65 idade idade 63 NOUN nmod
66 seu seu 67 DET det:poss
67 pai pai 69 NOUN nsubj
68 era era 69 AUX cop
69 gerente gerente 18 NOUN parataxis
70 em em 72 ADP case
71 a o 72 DET det
72 fiacao fiacao 69 NOUN nmod
73 campo campo 72 NOUN appos
74 belo belo 73 ADJ amod
75 onde onde 78 ADV advmod
76 ele ele 78 PRON nsubj
77 tambem tambem 78 ADV advmod
78 trabalhava trabalhar 72 VERB acl:relcl
79 antes antes 81 ADV mark
80 de de 79 ADP fixed
81 ingressar ingressar 78 VERB advcl
82 em em 84 ADP case
83 o o 84 DET det
84 exercito exercito 81 NOUN nmod
85 a o 86 DET det
86 noite noite 87 NOUN nsubj
87 frequentava frequentar 218 VERB advcl
88 as o 89 DET det
89 aulas aula 319 NOUN obj
90 em em 92 ADP case
91 o o 92 DET det
92 instituto instituto 87 NOUN nmod
93 de de 94 ADP case
94 educacao educacao 92 NOUN nmod
95 enio enio 508 NOUN appos
96 voss voss 95 PROPN flat
97 em em 99 ADP case
98 o o 99 DET det
99 brooklin brooklin 508 NOUN nmod
100 cursava cursar 255 VERB parataxis
101 o o 103 DET det
102 antigo antigo 103 ADJ amod
103 colegial colegial 520 NOUN nsubj:pass
104 era era 520 VERB parataxis
105 muito muito 106 ADV advmod
106 prestativo prestativo 104 ADJ xcomp
107 gostava gostar 255 VERB acl:relcl
108 de de 109 ADP mark
109 ajudar ajudar 107 VERB nmod
110 a a 111 ADP case
111 todos todos 109 PRON nmod
112 principalmente principalmente 115 ADV advmod
113 os o 115 DET det
114 mais mais 115 DET det
115 necessitados necessitado 308 NOUN nsubj
116 tomava tomar 255 VERB acl:relcl
117 parte parte 520 NOUN obj
118 de de 120 ADP case
119 o o 120 DET det
120 grupo grupo 117 NOUN nmod
121 juventude juventude 120 NOUN appos
122 amor amor 120 NOUN appos
123 fraternidade fraternidade 121 NOUN flat
124 fundado fundar 120 VERB acl
125 por por 127 ADP case
126 o o 127 DET det
127 padre padre 124 NOUN nmod
128 silveira silveiro 127 ADJ amod
129 de de 131 ADP case
130 a o 131 DET det
131 paroquia paroquia 127 NOUN nmod
132 nossa nossa 133 DET det:poss
133 senhora senhor 131 NOUN appos
134 de de 136 ADP case
135 a o 136 DET det
136 aparecida aparecida 133 NOUN nmod
137 em em 139 ADP case
138 o o 139 DET det
139 bairro bairro 180 NOUN nmod
140 de de 141 ADP case
141 indianopolis indianopolis 139 NOUN nmod
142 de de 144 ADP case
143 o o 144 DET det
144 qual qual 145 PRON nmod
145 faziam fazer 120 VERB acl:relcl
146 parte parte 145 NOUN obj
147 mais mais 149 ADV advmod
148 de de 147 ADP case
149 30 30 150 NUM nummod
150 jovens jovem 145 NOUN nsubj
151 o o 152 DET det
152 simbolo simbolo 520 NOUN nsubj:pass
153 de de 155 ADP case
154 o o 155 DET det
155 grupo grupo 152 NOUN nmod
156 uma uma 157 DET det
157 rosa rosa 308 NOUN nsubj
158 e e 160 CCONJ cc
159 um um 160 DET det
160 violao violao 157 NOUN conj
161 foi foi 520 AUX aux:pass
162 idealizado idealizar 69 VERB acl:relcl
163 por por 164 ADP case
164 mario mario 218 NOUN nmod
165 kozel kozel 164 PROPN flat
166 que que 169 PRON nsubj:pass
167 era era 169 AUX aux:pass
168 carinhosamente carinhosamente 169 ADV advmod
169 chamado chamar 344 VERB acl:relcl
170 de de 171 ADP case
171 kuka kuka 169 NOUN nmod
172 antes antes 174 ADV mark
173 de de 172 ADP fixed
174 continuar continuar 360 VERB advcl
175 a o 176 DET det
176 materia materia 174 NOUN obj
177 leia ler 541 VERB ccomp
178 um um 179 DET det
179 post post 177 NOUN obj
180 publicado publicar 179 VERB acl
181 em em 183 ADP case
182 o o 183 DET det
183 site site 180 NOUN nmod
184 antagonista antagonista 183 ADJ amod
185 em em 187 ADP case
186 o o 187 DET det
187 dia dia 180 NOUN nmod
188 13052017 13052017 187 NUM nmod
189 historia historia 206 NOUN nsubj
190 completa completo 189 ADJ amod
191 a a 194 ADP case
192 os o 194 DET det
193 18 18 194 NUM nummod
194 anos ano 218 NOUN nmod
195 teve ter 199 AUX aux
196 que que 199 CCONJ mark
197 deixar deixar 199 AUX aux
198 de de 199 ADP mark
199 frequentar frequentar 4 VERB parataxis
200 as o 201 DET det
201 aulas aula 199 NOUN obj
202 e e 204 CCONJ cc
203 de de 204 ADP mark
204 trabalhar trabalhar 222 VERB conj
205 para para 206 ADP mark
206 iniciar iniciar 204 VERB advcl
207 em em 209 ADP case
208 as o 209 DET det
209 fileiras fileira 206 NOUN nmod
210 de de 212 ADP case
211 o o 212 DET det
212 exercito exercito 209 NOUN nmod
213 o o 214 DET det
214 servico servico 218 NOUN nsubj:pass
215 militar militar 214 ADJ amod
216 obrigatorio obrigatorio 214 ADJ amod
217 foi foi 218 AUX aux:pass
218 designado designar 255 VERB parataxis
219 para para 222 ADP case
220 a o 222 DET det
221 5 5 222 NUM nummod
222 companhia companhia 218 NOUN nmod
223 de de 224 ADP case
224 fuzileiros fuzileiro 222 NOUN nmod
225 de de 228 ADP case
226 o o 228 DET det
227 segundo segundo 228 ADJ amod
228 batalhao batalhao 222 NOUN nmod
229 em em 232 ADP case
230 o o 232 DET det
231 4 4 232 NUM nummod
232 regimento regimento 131 NOUN nmod
233 de de 234 ADP case
234 infantaria infantaria 232 NOUN nmod
235 regimento regimento 232 NOUN appos
236 raposo raposo 235 ADJ amod
237 tavares tavare 235 NOUN amod
238 em em 239 ADP case
239 quitauna quitauna 218 NOUN nmod
240 em em 242 ADP case
241 o o 242 DET det
