1 policia policia 2 NOUN nsubj
2 investiga investigar 0 VERB root
3 video video 2 NOUN obj
4 em em 5 ADP case
5 que que 17 PRON nmod
6 padre padre 7 NOUN nsubj
7 aparece aparecer 3 VERB acl:relcl
8 beijando beijar 7 VERB acl
9 uma um 10 DET det
10 jovem jovem 8 NOUN obj
11 de de 13 ADP case
12 14 14 13 NUM nummod
13 anos ano 10 NOUN nmod
14 registro registro 17 NOUN nsubj:pass
15 teria ter 17 AUX aux
16 sido ser 17 AUX aux:pass
17 feito feito 3 VERB acl:relcl
18 por por 21 ADP case
19 a o 21 DET det
20 propria proprio 21 ADJ amod
21 vitima vitima 17 NOUN nmod
22 de de 24 ADP case
23 os o 24 DET det
24 abusos abuso 21 NOUN nmod
25 um um 26 DET det
26 padre padre 33 NOUN nsubj:pass
27 de de 30 ADP case
28 aproximadamente aproximadamente 29 ADV advmod
29 60 60 30 NUM nummod
30 anos ano 26 NOUN nmod
31 esta esta 33 AUX aux
32 sendo ser 33 AUX aux:pass
33 acusado acusar 3 VERB acl:relcl
34 de de 35 ADP mark
35 abusar abusar 33 VERB nmod
36 de de 38 ADP case
37 uma um 38 DET det
38 jovem jovem 35 NOUN nmod
39 de de 40 ADP case
40 14 14 38 NUM nmod
41 o o 42 DET det
42 caso caso 43 NOUN nsubj
43 aconteceu acontecer 3 VERB acl:relcl
44 em em 46 ADP case
45 a o 46 DET det
46 cidade cidade 43 NOUN nmod
47 de de 48 ADP case
48 arceburgo arceburgo 46 NOUN nmod
49 sul sul 48 ADJ amod
50 de de 51 ADP case
51 minas mina 48 NOUN nmod
52 gerais geral 51 ADJ amod
53 em em 55 ADP case
54 uma um 55 DET det
55 denuncia denuncia 43 NOUN nmod
56 anonima anonimo 55 ADJ amod
57 recebida receber 55 VERB acl
58 por por 60 ADP case
59 a o 60 DET det
60 pm pm 57 NOUN nmod
61 o o 62 DET det
62 interlocutor interlocutor 63 NOUN nsubj
63 alegou alegar 2 VERB parataxis
64 que que 68 CCONJ mark
65 um um 66 DET det
66 video video 68 NOUN nsubj
67 estaria estar 68 AUX aux
68 circulando circular 63 VERB ccomp
69 em em 71 ADP case
70 as o 71 DET det
71 redes rede 68 NOUN nmod
72 sociais social 71 ADJ amod
73 e e 76 CCONJ cc
74 as o 75 DET det
75 imagens imagem 76 NOUN nsubj
76 mostravam mostrar 68 VERB conj
77 um um 78 DET det
78 religioso religioso 76 NOUN obj
79 beijando beijar 78 VERB acl
80 uma um 81 DET det
81 menina menino 79 NOUN obj
82 de de 84 ADP case
83 14 14 84 NUM nummod
84 anos ano 81 NOUN nmod
