1 hartung hartung 2 NOUN nsubj
2 demite demitir 0 VERB root
3 autoras autor 2 NOUN obj
4 de de 6 ADP case
5 a o 6 DET det
6 piada piada 3 NOUN nmod
7 sobre sobre 9 ADP case
8 o o 9 DET det
9 dia dia 6 NOUN nmod
10 de de 12 ADP case
11 o o 12 DET det
12 jornalista jornalista 9 NOUN nmod
13 duas duas 14 NUM nummod
14 jornalistas jornalista 16 NOUN nsubj
15 engracadinhas engracadinha 14 ADJ amod
16 humilharam humilhar 2 VERB parataxis
17 os o 18 DET det
18 jornalistas jornalista 16 NOUN obj
19 capixabas capixabo 18 ADJ amod
20 em em 22 ADP case
21 o o 22 DET det
22 dia dia 16 NOUN nmod
23 de de 25 ADP case
24 o o 25 DET det
25 jornalista jornalista 22 NOUN nmod
26 com com 27 ADP case
27 postagem postagem 16 NOUN nmod
28 pretensamente pretensamente 29 ADV advmod
29 engracada engracado 27 ADJ amod
30 e e 31 CCONJ cc
31 ganharam ganhar 16 VERB conj
32 como como 33 ADP case
33 premio premio 31 NOUN nmod
34 a o 35 DET det
35 demissao demissao 31 NOUN obj
36 por por 38 ADP case
37 justa justo 38 ADJ amod
38 causa causa 31 NOUN nmod
39 em em 42 ADP case
40 o o 42 DET det
41 mesmo mesmo 42 ADJ amod
42 dia dia 31 NOUN nmod
43 de de 45 ADP case
44 a o 45 DET det
45 publicacao publicacao 42 NOUN nmod
46 o o 47 DET det
47 governo governo 52 NOUN nsubj
48 de de 50 ADP case
49 o o 50 DET det
50 espirito espirito 47 NOUN nmod
51 santo santo 50 ADJ amod
52 demitiu demitir 2 VERB conj
53 as o 55 DET det
54 duas duas 55 NUM nummod
55 jornalistas jornalista 52 NOUN obj
56 responsaveis responsavel 55 ADJ amod
57 por por 59 ADP case
58 a o 59 DET det
59 publicacao publicacao 56 NOUN nmod
60 de de 62 ADP case
61 uma um 62 DET det
62 homenagem homenagem 59 NOUN nmod
63 a a 65 ADP case
64 o o 65 DET det
65 dia dia 62 NOUN nmod
66 de de 68 ADP case
67 o o 68 DET det
68 jornalista jornalista 65 NOUN nmod
69 a o 70 DET det
70 postagem postagem 78 NOUN nsubj
71 em em 73 ADP case
72 as o 73 DET det
73 redes rede 70 NOUN nmod
74 sociais social 73 ADJ amod
75 de de 77 ADP case
76 o o 77 DET det
77 governo governo 73 NOUN nmod
78 colocava colocar 197 VERB ccomp
79 jornalistas jornalista 78 NOUN obj
80 sendo ser 81 AUX aux:pass
81 representados representar 79 VERB acl
82 por por 84 ADP case
83 um um 84 DET det
84 macaco macaco 81 NOUN nmod
85 perturbado perturbado 84 ADJ amod
86 em em 88 ADP case
87 a o 88 DET det
88 frente frente 81 NOUN nmod
89 de de 91 ADP case
90 um um 91 DET det
91 notebook notebook 88 NOUN nmod
92 a o 93 DET det
93 mensagem mensagem 206 NOUN nsubj
94 hoje hoje 93 ADV advmod
95 e e 97 CCONJ cc
96 o o 97 DET det
97 dia dia 94 NOUN conj
98 de de 100 ADP case
99 o o 100 DET det
100 batedor batedor 97 NOUN nmod
101 de de 102 ADP case
102 release release 100 NOUN nmod
103 parabens parabem 261 ADJ appos
104 amigos amigo 261 NOUN appos
105 jornalistas jornalista 261 NOUN flat
106 rendeu render 2 VERB parataxis
107 criticas criticas 106 NOUN obj
108 e e 138 CCONJ cc
109 por por 110 ADP case
110 volta volta 78 NOUN nmod
111 de de 113 ADP case
112 as o 113 DET det
113 11h40 11h40 110 NUM nmod
114 foi foi 115 AUX aux:pass
115 apagada apagar 2 VERB conj
116 o o 117 DET det
117 sindicato sindicato 52 NOUN nsubj
118 de de 120 ADP case
119 os o 120 DET det
120 jornalistas jornalista 117 NOUN nmod
121 profissionais profissional 120 ADJ amod
122 em em 124 ADP case
123 o o 124 DET det
124 estado estado 421 NOUN nmod
125 de de 127 ADP case
126 o o 127 DET det
127 espirito espirito 124 NOUN nmod
128 santo santo 127 ADJ amod
129 sindijornalistases sindijornalistases 206 NOUN nsubj
130 e e 132 CCONJ cc
131 a o 132 DET det
132 federacao federacao 129 NOUN conj
