1 reviravolta reviravolta 8 NOUN nsubj
2 em em 4 ADP case
3 o o 4 DET det
4 caso caso 1 NOUN nmod
5 victor victor 4 NOUN appos
6 policia policia 8 NOUN nsubj
7 civil civil 6 ADJ amod
8 indicia indiciar 0 VERB root
9 o o 10 DET det
10 cantor cantor 8 NOUN obj
11 sertanejo sertanejo 10 ADJ amod
12 por por 14 ADP case
13 o o 14 DET det
14 crime crime 8 NOUN nmod
15 de de 16 ADP case
16 vias via 14 NOUN nmod
17 de de 18 ADP case
18 fato fato 8 NOUN nmod
19 o o 20 DET det
20 caso caso 8 NOUN nsubj
21 de de 23 ADP case
22 o o 23 DET det
23 sertanejo sertanejo 20 NOUN nmod
24 victor victor 23 NOUN appos
25 tomou tomar 8 VERB parataxis
26 um um 28 DET det
27 novo novo 28 ADJ amod
28 rumo rumo 25 NOUN obj
29 o o 30 DET det
30 cantor cantor 32 NOUN nsubj:pass
31 foi foi 32 AUX aux:pass
32 indiciado indiciar 8 VERB conj
33 por por 35 ADP case
34 a o 35 DET det
35 policia policia 32 NOUN nmod
36 civil civil 35 ADJ amod
37 por por 39 ADP case
38 a o 39 DET det
39 contravencao contravencao 32 NOUN nmod
40 penal penal 39 ADJ amod
41 prevista prever 39 VERB acl
42 em em 44 ADP case
43 o o 44 DET det
44 artigo artigo 41 NOUN nmod
45 21 21 44 NUM appos
46 de de 48 ADP case
47 o o 48 DET det
48 decreto decreto 44 NOUN nmod
49 lei lei 48 NOUN flat
50 3688/41 3688/41 48 NUM appos
51 ha ha 32 VERB advcl
52 cerca cerca 54 ADV advmod
53 de de 52 ADP case
54 dois dois 55 NUM nummod
55 meses mês 51 NOUN nmod
56 poliana poliano 57 NOUN nsubj
57 procurou procurar 8 VERB conj
58 a o 59 DET det
59 policia policia 57 NOUN obj
60 e e 61 CCONJ cc
61 denunciou denunciar 57 VERB conj
62 o o 63 DET det
63 artista artista 61 NOUN obj
64 por por 65 ADP case
65 lesao lesao 61 NOUN nmod
66 corporal corporal 65 ADJ amod
67 ela ela 68 PRON nsubj
68 afirmou afirmar 57 VERB conj
69 em em 70 ADP case
70 24 24 68 NUM nmod
71 de de 72 ADP case
72 fevereiro fevereiro 70 PROPN nmod
73 que que 76 CCONJ mark
74 havia haver 76 AUX aux
75 sido ser 76 AUX aux:pass
76 derrubada derrubar 68 VERB ccomp
77 em em 79 ADP case
78 o o 79 DET det
79 chao chao 76 NOUN nmod
80 e e 81 CCONJ cc
81 chutada chutar 76 VERB conj
82 em em 84 ADP case
83 a o 84 DET det
84 epoca epoca 81 NOUN nmod
85 o o 86 DET det
86 exame exame 92 NOUN nsubj
87 de de 88 ADP case
88 corpo corpo 86 NOUN nmod
89 de de 90 ADP case
90 delito delito 88 NOUN nmod
91 teria ter 92 AUX aux
92 dado dar 76 VERB conj
93 negativo negativo 92 NOUN obj
94 para para 95 ADP case
95 agressao agressao 92 NOUN nmod
96 e e 98 CCONJ cc
97 poliana poliana 98 NOUN nsubj
98 retirou retirar 92 VERB conj
99 a o 100 DET det
100 queixa queixa 98 NOUN obj
101 nesta nesta 102 ADP case
102 semana semana 92 NOUN nmod
103 a o 104 DET det
104 policia policia 108 NOUN nsubj
105 de de 106 ADP case
106 minas mina 104 NOUN nmod
107 gerais geral 106 ADJ amod
108 analisou analisar 8 VERB conj
109 varias varias 110 DET det
110 imagens imagem 108 NOUN obj
111 de de 113 ADP case
112 o o 113 DET det
113 circuito circuito 110 NOUN nmod
114 interno interno 113 ADJ amod
115 de de 117 ADP case
116 o o 117 DET det
117 predio predio 113 NOUN nmod
118 onde onde 121 ADV advmod
119 o o 120 DET det
120 casal casal 121 NOUN nsubj
121 mora morar 117 VERB acl:relcl
122 e e 123 CCONJ cc
123 determinou determinar 108 VERB conj
124 o o 125 DET det
