1 dilma dilma 2 NOUN nsubj
2 grampeou grampear 0 VERB root
3 sergio sergio 4 ADJ amod
4 moro moro 2 NOUN obj
5 michel michel 6 ADJ amod
6 temer temer 3 NOUN appos
7 e e 8 CCONJ cc
8 ministros ministro 6 NOUN conj
9 de de 11 ADP case
10 o o 11 DET det
11 stf stf 8 NOUN nmod
12 foi foi 14 AUX cop
13 a o 14 DET det
14 abin abin 2 NOUN parataxis
15 que que 16 PRON nsubj
16 grampeou grampear 14 VERB acl:relcl
17 o o 18 DET det
18 gabinete gabinete 16 NOUN obj
19 de de 21 ADP case
20 o o 21 DET det
21 ministro ministro 18 NOUN nmod
22 barroso barroso 21 ADJ amod
23 revelou revelar 14 VERB acl:relcl
24 um um 25 DET det
25 exagente exagente 23 NOUN obj
26 de de 28 ADP case
27 a o 28 DET det
28 abin abin 25 NOUN nmod
29 ainda ainda 30 ADV advmod
30 lotado lotar 25 VERB acl
31 em em 33 ADP case
32 a o 33 DET det
33 presidencia presidencia 30 NOUN nmod
34 de de 36 ADP case
35 a o 36 DET det
36 republica republica 33 NOUN nmod
37 a a 38 ADP case
38 abin abin 30 NOUN nmod
39 a o 40 DET det
40 agencia agencia 44 NOUN nsubj
41 brasileira brasileiro 40 ADJ amod
42 de de 43 ADP case
43 inteligencia inteligencia 40 NOUN nmod
44 grampeou grampear 14 VERB acl:relcl
45 e e 46 CCONJ cc
46 espionou espionar 44 VERB conj
47 o o 48 DET det
48 presidente presidente 46 NOUN obj
49 michel michel 48 ADJ amod
50 temer temer 48 NOUN flat
51 lideres lider 44 NOUN obj
52 de de 54 ADP case
53 o o 54 DET det
54 pmdb pmdb 51 NOUN nmod
55 sergio sergio 54 NOUN appos
56 moro moro 55 NOUN flat
57 e e 59 CCONJ cc
58 ate ate 59 ADV advmod
59 ministros ministro 51 NOUN conj
60 de de 62 ADP case
61 o o 62 DET det
62 stf stf 59 NOUN nmod
63 a o 64 DET det
64 informacao informacao 66 NOUN nsubj:pass
65 foi foi 66 AUX aux:pass
66 divulgada divulgar 44 VERB conj
67 por por 69 ADP case
68 a o 69 DET det
69 revista revista 66 NOUN nmod
70 isto isto 69 PRON appos
71 e e 90 CCONJ cc
72 a o 73 DET det
73 descoberta descoberta 90 NOUN nsubj
74 de de 76 ADP case
75 um um 76 DET det
76 grampo grampo 73 NOUN nmod
77 instalado instalar 76 VERB acl
78 sob sob 80 ADP case
79 a o 80 DET det
80 mesa mesa 77 NOUN nmod
81 de de 83 ADP case
82 o o 83 DET det
83 gabinete gabinete 80 NOUN nmod
84 de de 86 ADP case
85 o o 86 DET det
86 ministro ministro 83 NOUN nmod
87 luis luis 86 NOUN appos
88 roberto roberto 87 NOUN flat
89 barroso barroso 87 ADJ amod
90 confirmou confirmar 2 VERB conj
91 as o 92 DET det
92 suspeitas suspeitas 90 NOUN obj
93 de de 95 ADP case
94 a o 95 DET det
95 equipe equipe 92 NOUN nmod
96 de de 98 ADP case
97 o o 98 DET det
98 presidente presidente 95 NOUN nmod
99 michel michel 98 ADJ amod
100 temer temer 98 NOUN appos
101 e e 102 CCONJ cc
102 membros membro 95 NOUN conj
103 de de 105 ADP case
104 a o 105 DET det
105 forca forca 102 NOUN nmod
106 tarefa tarefa 102 NOUN nmod
107 de de 109 ADP case
108 a o 109 DET det
109 operacao operacao 106 NOUN nmod
110 lava lava 109 NOUN appos
111 jato jato 110 NOUN flat
112 de de 114 ADP case
113 o o 114 DET det
114 ponto ponto 109 NOUN nmod
115 de de 116 ADP case
116 vista vista 114 NOUN nmod
117 institucional institucional 116 ADJ amod
118 e e 119 CCONJ cc
119 gravissimo gravissimo 117 ADJ conj
120 alguem alguem 90 VERB nsubj
121 ter ter 120 VERB xcomp
122 a o 123 DET det
123 ousadia ousadia 121 NOUN obj
124 de de 125 ADP mark
125 colocar colocar 123 VERB nmod
126 um um 127 DET det
127 grampo grampo 125 NOUN obj
128 em em 130 ADP case
129 um um 130 DET det
130 gabinete gabinete 125 NOUN nmod
131 de de 133 ADP case
132 o o 133 DET det
133 supremo supremo 130 NOUN nmod
134 e e 136 CCONJ cc
135 uma um 136 DET det
136 desfacatez desfacatez 130 NOUN conj
137 absoluta absoluto 136 ADJ amod
138 afirmou afirmar 90 VERB conj
139 barroso barroso 138 NOUN obj
