# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = aos 29 anos sisy arias fazia seu primeiro voo como copiloto civil uma entrevista que esta circulando nos maiores jornais do mundo mostra a bela e jovem copiloto do voo da lamia horas antes do acidente sisy arias de apenas 29 anos participava de seu primeiro voo como copiloto civil sentada na cabine do aviao a jovem que tambem e conhecida por ser modelo na colombia disse estava orgulhosa por transportar a equipe de futebol brasileira para a final da copa sulamericana de 2016 algumas horas mais tarde o aviao iria se chocar contra uma montanha matando 71 pessoas que estavam a bordo e deixando apenas seis sobreviventes arias diz ao entrevistador uma das coisas importantes e saber que a equipe esta usando uma linha aerea boliviana para levalos ate medellin a familia de sisy esta devastada e relatou que suas vidas nunca mais serao as mesmas o irmao dela declarou perdi minha irma para o resto da minha vida nao tenho palavras para expressar toda a dor e o vazio que sinto voce era minha alma gemea e me deixou deixou tambem todas as pessoas que voce amou voce foi a pessoa mais nobre que eu ja conheci e tenho a esperanca de vela novamente quando deus me chamar eu te amo querida irma de alma o video mostra como todos da equipe estavam animados rindo e brincando juntos o jogo mais importante de suas vidas foi interrompido devastadoramente apenas tres jogadores sobreviveram ao acidente durante a entrevista o treinador caio junior revelou a alegria que sentia com sua equipe era quase um conto de fadas estamos muito orgulhosos de representar o brasil e chegar a final do torneio principalmente porque estamos representando as equipes pequenas do brasil isso nos da forca e orgulho passar pela bolivia vai nos dar sorte disse
1-2	aos	_	_	_	_	_	_	_	TokenRange=0:3
1	a	a	ADP	ADP	_	4	case	_	_
2	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	4	det	_	_
3	29	_	NUM	NUM	NumType=Card	4	nummod	_	TokenRange=4:6
4	anos	ano	NOUN	NOUN	_	7	nmod	_	TokenRange=7:11
5	sisy	_	NOUN	NOUN	_	7	nsubj	_	TokenRange=12:16
6	arias	_	NOUN	NOUN	_	5	flat	_	TokenRange=17:22
7	fazia	fazer	VERB	VERB	_	0	root	_	TokenRange=23:28
8	seu	_	DET	DET	_	10	det:poss	_	TokenRange=29:32
9	primeiro	primeiro	ADJ	ADJ	_	10	amod	_	TokenRange=33:41
10	voo	voo	NOUN	NOUN	_	7	obj	_	TokenRange=42:45
11	como	como	ADP	ADP	_	12	case	_	TokenRange=46:50
12	copiloto	copiloto	NOUN	NOUN	_	10	nmod	_	TokenRange=51:59
13	civil	civil	ADJ	ADJ	_	12	amod	_	TokenRange=60:65
14	uma	um	DET	DET	_	15	det	_	TokenRange=66:69
15	entrevista	entrevista	NOUN	NOUN	_	7	nsubj	_	TokenRange=70:80
16	que	_	PRON	PRON	_	18	nsubj	_	TokenRange=81:84
17	esta	_	AUX	AUX	_	18	aux	_	TokenRange=85:89
18	circulando	circular	VERB	VERB	_	15	acl:relcl	_	TokenRange=90:100
19-20	nos	_	_	_	_	_	_	_	TokenRange=101:104
19	em	em	ADP	ADP	_	22	case	_	_
20	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	22	det	_	_
21	maiores	maior	ADJ	ADJ	_	22	amod	_	TokenRange=105:112
