# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba o que marcela e alexandre de moraes fizeram e pode destruir a reputacao do presidente marcela temer e o ministro alexandre de moraes possuem um recente passado em comum este fato que pode vir a tona nos proximos dias podera por fim aos planos de alexandre de moraes de chegar ao stf e de michel temer continuar presidente o juiz hilmar castelo branco raposo filho da 21 vara civel do tribunal de justica do distrito federal proibiu o jornal folha de spaulo e outros veiculos da imprensa de reproduzir informacoes sobre o caso do hacker que chantageou o casal temer apos clonar o celular da primeiradama marcela a ordem foi dada atendendo a pedido de advogados de marcela depois que a folha publicou nesta sextafeira 10 a mensagem enviada pelo hacker pedindo r 300 mil para nao divulgar um audio que segundo ele colocaria o nome de michel temer na lama claudio julio tognolli e jornalista ha 35 anos e ja passou por veja jornal da tarde caros amigos joyce pascowitch rolling stone galileu consultor juridico radios cbn eldorado e jovem pan e folha de s paulo em sua decisao publicada as 18h56 desta sexta o juiz argumenta que a inviolabilidade da intimidade de marcela tem resguardo legal claro a medida foi concedida em carater de urgencia o caso aconteceu em abril de 2016 no audio segundo relatorio da policia federal sobre a investigacao marcela falava com o irmao karlo augusto araujo sobre um marqueteiro que faz a parte baixo nivel do marido quem cuidou do caso na epoca foi o entao secretario de seguranca
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
2	o	_	PRON	PRON	_	1	obj	_	TokenRange=6:7
3	que	_	PRON	PRON	_	9	obj	_	TokenRange=8:11
4	marcela	marcela	NOUN	NOUN	_	9	nsubj	_	TokenRange=12:19
5	e	e	CCONJ	CONJ	_	6	cc	_	TokenRange=20:21
6	alexandre	alexandre	NOUN	NOUN	_	4	conj	_	TokenRange=22:31
7	de	de	ADP	ADP	_	8	case	_	TokenRange=32:34
8	moraes	morae	NOUN	NOUN	_	6	nmod	_	TokenRange=35:41
9	fizeram	fazer	VERB	VERB	_	2	acl:relcl	_	TokenRange=42:49
10	e	e	CCONJ	CONJ	_	12	cc	_	TokenRange=50:51
11	pode	_	AUX	AUX	_	12	aux	_	TokenRange=52:56
12	destruir	destruir	VERB	VERB	_	9	conj	_	TokenRange=57:65
13	a	o	DET	DET	_	14	det	_	TokenRange=66:67
14	reputacao	reputacao	NOUN	NOUN	_	12	obj	_	TokenRange=68:77
15-16	do	_	_	_	_	_	_	_	TokenRange=78:80
15	de	de	ADP	ADP	_	17	case	_	_
16	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	17	det	_	_
17	presidente	presidente	NOUN	NOUN	_	14	nmod	_	TokenRange=81:91
18	marcela	marcela	NOUN	NOUN	_	17	appos	_	TokenRange=92:99
19	temer	temer	NOUN	NOUN	_	18	flat	_	TokenRange=100:105
20	e	e	CCONJ	CONJ	_	22	cc	_	TokenRange=106:107
21	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	22	det	_	TokenRange=108:109
22	ministro	ministro	NOUN	NOUN	_	26	nsubj	_	TokenRange=110:118
23	alexandre	alexandre	NOUN	NOUN	_	22	appos	_	TokenRange=119:128
24	de	de	ADP	ADP	_	25	case	_	TokenRange=129:131
25	moraes	morae	NOUN	NOUN	_	23	nmod	_	TokenRange=132:138
26	possuem	possuir	VERB	VERB	_	1	conj	_	TokenRange=139:146
27	um	um	DET	DET	_	29	det	_	TokenRange=147:149
28	recente	recente	ADJ	ADJ	_	29	amod	_	TokenRange=150:157
29	passado	passado	NOUN	NOUN	_	26	obj	_	TokenRange=158:165
30	em	em	ADP	ADP	_	31	case	_	TokenRange=166:168
31	comum	comum	NOUN	NOUN	_	29	nmod	_	TokenRange=169:174
32	este	_	DET	DET	_	33	det	_	TokenRange=175:179
33	fato	fato	NOUN	NOUN	_	26	nsubj	_	TokenRange=180:184
34	que	_	PRON	PRON	_	36	nsubj	_	TokenRange=185:188
35	pode	_	AUX	AUX	_	36	aux	_	TokenRange=189:193
36	vir	_	VERB	VERB	_	33	acl:relcl	_	TokenRange=194:197
37	a	_	ADP	ADP	_	38	case	_	TokenRange=198:199
38	tona	tona	NOUN	NOUN	_	36	nmod	_	TokenRange=200:204
39-40	nos	_	_	_	_	_	_	_	TokenRange=205:208
39	em	em	ADP	ADP	_	42	case	_	_
40	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	42	det	_	_
41	proximos	proximo	ADJ	ADJ	_	42	amod	_	TokenRange=209:217
42	dias	dia	NOUN	NOUN	_	36	nmod	_	TokenRange=218:222
43	podera	_	VERB	VERB	_	212	ccomp	_	TokenRange=223:229
44	por	por	ADP	ADP	_	45	case	_	TokenRange=230:233
45	fim	fim	NOUN	NOUN	_	43	nmod	_	TokenRange=234:237
46-47	aos	_	_	_	_	_	_	_	TokenRange=238:241
46	a	a	ADP	ADP	_	48	case	_	_
47	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	48	det	_	_
48	planos	plano	NOUN	NOUN	_	43	nmod	_	TokenRange=242:248
49	de	de	ADP	ADP	_	50	case	_	TokenRange=249:251
50	alexandre	alexandre	NOUN	NOUN	_	48	nmod	_	TokenRange=252:261
51	de	de	ADP	ADP	_	52	case	_	TokenRange=262:264
52	moraes	morae	NOUN	NOUN	_	50	nmod	_	TokenRange=265:271
53	de	_	ADP	ADP	_	54	mark	_	TokenRange=272:274
54	chegar	chegar	VERB	VERB	_	48	nmod	_	TokenRange=275:281
55-56	ao	_	_	_	_	_	_	_	TokenRange=282:284
55	a	a	ADP	ADP	_	57	case	_	_
56	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	57	det	_	_
57	stf	_	NOUN	NOUN	_	54	nmod	_	TokenRange=285:288
58	e	e	CCONJ	CONJ	_	62	cc	_	TokenRange=289:290
59	de	_	ADP	ADP	_	62	mark	_	TokenRange=291:293
60	michel	_	DET	DET	_	61	amod	_	TokenRange=294:300
61	temer	temer	NOUN	NOUN	_	62	nsubj	_	TokenRange=301:306
62	continuar	continuar	VERB	VERB	_	221	conj	_	TokenRange=307:316
63	presidente	presidente	NOUN	NOUN	_	62	obj	_	TokenRange=317:327
64	o	o	DET	DET	_	65	det	_	TokenRange=328:329
65	juiz	juiz	NOUN	NOUN	_	235	nsubj	_	TokenRange=330:334
66	hilmar	hilmar	NOUN	NOUN	_	65	appos	_	TokenRange=335:341
67	castelo	castelo	NOUN	NOUN	_	66	flat	_	TokenRange=342:349
68	branco	branco	ADJ	ADJ	_	66	amod	_	TokenRange=350:356
69	raposo	raposo	ADJ	NOUN	_	65	appos	_	TokenRange=357:363
70	filho	filho	NOUN	NOUN	_	69	flat	_	TokenRange=364:369
71-72	da	_	_	_	_	_	_	_	TokenRange=370:372
71	de	de	ADP	ADP	_	74	case	_	_
72	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	74	det	_	_
73	21	_	NUM	NUM	NumType=Card	74	nummod	_	TokenRange=373:375
74	vara	vara	NOUN	NOUN	_	253	nmod	_	TokenRange=376:380
75	civel	civel	ADJ	ADJ	_	74	amod	_	TokenRange=381:386
76-77	do	_	_	_	_	_	_	_	TokenRange=387:389
76	de	de	ADP	ADP	_	78	case	_	_
77	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	78	det	_	_
78	tribunal	tribunal	NOUN	NOUN	_	74	nmod	_	TokenRange=390:398
79	de	de	ADP	ADP	_	80	case	_	TokenRange=399:401
80	justica	_	NOUN	NOUN	_	78	nmod	_	TokenRange=402:409
81-82	do	_	_	_	_	_	_	_	TokenRange=410:412
81	de	de	ADP	ADP	_	83	case	_	_
82	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	83	det	_	_
83	distrito	distrito	NOUN	NOUN	_	78	nmod	_	TokenRange=413:421
84	federal	federal	ADJ	ADJ	_	83	amod	_	TokenRange=422:429
85	proibiu	proibir	VERB	VERB	_	1	conj	_	TokenRange=430:437
86	o	o	DET	DET	_	87	det	_	TokenRange=438:439
87	jornal	jornal	NOUN	NOUN	_	85	obj	_	TokenRange=440:446
88	folha	folha	NOUN	NOUN	_	87	appos	_	TokenRange=447:452
89	de	de	ADP	ADP	_	90	case	_	TokenRange=453:455
90	spaulo	spaulo	NOUN	NOUN	_	87	nmod	_	TokenRange=456:462
91	e	e	CCONJ	CONJ	_	93	cc	_	TokenRange=463:464
92	outros	_	DET	DET	_	93	det	_	TokenRange=465:471
93	veiculos	veiculo	NOUN	NOUN	_	87	conj	_	TokenRange=472:480
94-95	da	_	_	_	_	_	_	_	TokenRange=481:483
94	de	de	ADP	ADP	_	96	case	_	_
95	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	96	det	_	_
96	imprensa	imprensa	NOUN	NOUN	_	93	nmod	_	TokenRange=484:492
97	de	_	ADP	ADP	_	98	mark	_	TokenRange=493:495
98	reproduzir	reproduzir	VERB	VERB	_	85	nmod	_	TokenRange=496:506
99	informacoes	informacoe	NOUN	NOUN	_	98	obj	_	TokenRange=507:518
100	sobre	_	ADP	ADP	_	102	case	_	TokenRange=519:524
101	o	o	DET	DET	_	102	det	_	TokenRange=525:526
102	caso	caso	NOUN	NOUN	_	99	nmod	_	TokenRange=527:531
103-104	do	_	_	_	_	_	_	_	TokenRange=532:534
103	de	de	ADP	ADP	_	105	case	_	_
104	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	105	det	_	_
105	hacker	hacker	NOUN	NOUN	_	102	nmod	_	TokenRange=535:541
106	que	_	PRON	PRON	_	107	nsubj	_	TokenRange=542:545
107	chantageou	chantagear	VERB	VERB	_	105	acl:relcl	_	TokenRange=546:556
108	o	o	DET	DET	_	109	det	_	TokenRange=557:558
109	casal	casal	NOUN	NOUN	_	107	obj	_	TokenRange=559:564
110	temer	temer	NOUN	NOUN	_	109	flat	_	TokenRange=565:570
111	apos	_	ADP	ADP	_	112	mark	_	TokenRange=571:575
112	clonar	clonar	VERB	VERB	_	107	advcl	_	TokenRange=576:582
113	o	o	DET	DET	_	114	det	_	TokenRange=583:584
114	celular	_	NOUN	NOUN	_	112	obj	_	TokenRange=585:592
115-116	da	_	_	_	_	_	_	_	TokenRange=593:595
115	de	de	ADP	ADP	_	117	case	_	_
116	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	117	det	_	_
117	primeiradama	primeiradamo	ADJ	ADJ	_	114	nmod	_	TokenRange=596:608
118	marcela	marcela	NOUN	NOUN	_	114	nmod	_	TokenRange=609:616
119	a	o	DET	DET	_	120	det	_	TokenRange=617:618
120	ordem	ordem	NOUN	NOUN	_	122	nsubj:pass	_	TokenRange=619:624
121	foi	_	AUX	AUX	_	122	aux:pass	_	TokenRange=625:628
122	dada	dar	VERB	VERB	_	1	parataxis	_	TokenRange=629:633
123	atendendo	atender	VERB	VERB	_	122	acl	_	TokenRange=634:643
124	a	_	ADP	ADP	_	125	case	_	TokenRange=644:645
125	pedido	pedido	NOUN	NOUN	_	123	nmod	_	TokenRange=646:652
126	de	de	ADP	ADP	_	127	case	_	TokenRange=653:655
127	advogados	advogado	NOUN	NOUN	_	125	nmod	_	TokenRange=656:665
128	de	de	ADP	ADP	_	129	case	_	TokenRange=666:668
129	marcela	marcela	NOUN	NOUN	_	127	nmod	_	TokenRange=669:676
130	depois	depois	ADV	ADV	_	134	mark	_	TokenRange=677:683
131	que	_	CCONJ	CONJ	_	130	fixed	_	TokenRange=684:687
132	a	o	DET	DET	_	133	det	_	TokenRange=688:689
133	folha	folha	NOUN	NOUN	_	134	nsubj	_	TokenRange=690:695
134	publicou	publicar	VERB	VERB	_	122	advcl	_	TokenRange=696:704
135	nesta	_	ADP	ADP	_	136	case	_	TokenRange=705:710
136	sextafeira	_	PROPN	PNOUN	_	134	nmod	_	TokenRange=711:721
137	10	_	NUM	NUM	NumType=Card	136	nmod	_	TokenRange=722:724
138	a	o	DET	DET	_	139	det	_	TokenRange=725:726
139	mensagem	mensagem	NOUN	NOUN	_	26	obj	_	TokenRange=727:735
140	enviada	enviar	VERB	VERB	_	139	acl	_	TokenRange=736:743
141-142	pelo	_	_	_	_	_	_	_	TokenRange=744:748
141	por	por	ADP	ADP	_	143	case	_	_
142	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	143	det	_	_
143	hacker	hacker	NOUN	NOUN	_	140	nmod	_	TokenRange=749:755
144	pedindo	pedir	VERB	VERB	_	36	acl	_	TokenRange=756:763
145	r	r	NOUN	NOUN	_	144	obj	_	TokenRange=764:765
146	300	_	NUM	NUM	NumType=Card	147	nummod	_	TokenRange=766:769
147	mil	_	NUM	NUM	NumType=Card	145	nummod	_	TokenRange=770:773
148	para	_	ADP	ADP	_	150	mark	_	TokenRange=774:778
149	nao	nao	ADV	ADV	Polarity=Neg	150	advmod	_	TokenRange=779:782
150	divulgar	divulgar	VERB	VERB	_	36	advcl	_	TokenRange=783:791
151	um	um	DET	DET	_	152	det	_	TokenRange=792:794
152	audio	audio	NOUN	NOUN	_	150	obj	_	TokenRange=795:800
153	que	_	PRON	PRON	_	156	nsubj	_	TokenRange=801:804
154	segundo	_	ADP	ADP	_	155	case	_	TokenRange=805:812
155	ele	_	PRON	PRON	_	156	nmod	_	TokenRange=813:816
156	colocaria	colocar	VERB	VERB	_	152	acl:relcl	_	TokenRange=817:826
157	o	o	DET	DET	_	158	det	_	TokenRange=827:828
158	nome	nome	NOUN	NOUN	_	156	obj	_	TokenRange=829:833
159	de	de	ADP	ADP	_	161	case	_	TokenRange=834:836
160	michel	_	DET	DET	_	161	det	_	TokenRange=837:843
161	temer	temer	NOUN	NOUN	_	158	nmod	_	TokenRange=844:849
162-163	na	_	_	_	_	_	_	_	TokenRange=850:852
162	em	em	ADP	ADP	_	164	case	_	_
163	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	164	det	_	_
164	lama	lama	NOUN	NOUN	_	158	nmod	_	TokenRange=853:857
165	claudio	claudio	NOUN	NOUN	_	48	appos	_	TokenRange=858:865
166	julio	_	PROPN	PNOUN	_	165	appos	_	TokenRange=866:871
167	tognolli	_	NOUN	PNOUN	_	166	flat	_	TokenRange=872:880
168	e	e	CCONJ	CONJ	_	169	cc	_	TokenRange=881:882
169	jornalista	jornalista	NOUN	NOUN	_	166	conj	_	TokenRange=883:893
170	ha	_	VERB	VERB	_	85	advcl	_	TokenRange=894:896
171	35	_	NUM	NUM	NumType=Card	172	nummod	_	TokenRange=897:899
172	anos	ano	NOUN	NOUN	_	170	nmod	_	TokenRange=900:904
173	e	e	CCONJ	CONJ	_	175	cc	_	TokenRange=905:906
174	ja	ja	ADV	ADV	_	175	advmod	_	TokenRange=907:909
175	passou	passar	VERB	VERB	_	134	conj	_	TokenRange=910:916
176	por	por	ADP	ADP	_	177	case	_	TokenRange=917:920
177	veja	veja	NOUN	NOUN	_	175	nmod	_	TokenRange=921:925
178	jornal	jornal	NOUN	NOUN	_	98	obj	_	TokenRange=926:932
179-180	da	_	_	_	_	_	_	_	TokenRange=933:935
179	de	de	ADP	ADP	_	181	case	_	_
180	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	181	det	_	_
181	tarde	tarde	NOUN	NOUN	_	178	nmod	_	TokenRange=936:941
182	caros	caro	ADJ	ADJ	_	183	amod	_	TokenRange=942:947
