# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = relatorio da pf aponta que lula recebeu vantagens em obras feitas em cuba republica dominicana e angola a pf esta investigando a relacao entre o expresidente lula e emprestimos do bndes feitos com a intervencao do ministerio de desenvolvimento industria e comercio durante a gestao do petista a informacao e do portal jota noticias investigadores da pf indicam que lula incorreu em conduta tipificada no codigo penal pois teria usado do seu prestigio politico e da sua condicao de expresidente para influenciar governos estrangeiros e interferir nos procedimentos de financiamento do bndes tudo em prol da odebrecht as obras do porto mariel em cuba aparecem entre as investigacoes o jota informou que os investigadores apontam que lula atuava como verdadeiro lobista da construtora odebrecht nos paises visitados defendendo os interesses da empresa e promovendoa junto aos governos estrangeiros e ao bndes ha indicios de que ao longo dos anos de 2011 e 2014 o expresidente teria recebido vantagens economicas indevidas direta e indiretamente do conglomerado odebrecht a pretexto de influir em atos praticados por agentes publicos estrangeiros notadamente na republica dominicana cuba e angola alem de facilitar e/ou agilizar o tramite de procedimentos de financiamentos de interesse do conglomerado referido no ambito do bndes nota dos investigadores sobre o bndes sao fartos os elementos que apontam no sentido de que lula tambem influenciava a atuacao do bndes facilitando a concessao de financiamentos aos paises que contratariam a odebrecht o documento diz ainda esta interferencia explicita do governo e de luiz inacio lula da silva e pessoas ligadas a ele nas decisoes do bndes transparece em trechos da delacao premiada do senador delcidio do amaral republica dominicana investigadores apontam que os emprestimos do bndes a republica dominicana aumentaram consideravelmente nos anos de 2013 2014 e 2015 conclui o documento houve portanto substancial aumento da atuacao do bndes na republica dominicana apos a visita de lula ao pais a comitiva de lula ao pais entre 31/5 a 2/6/2011 foi recepcionada por jose dirceu e marcelo odebreht nota instituto lula lula sempre atuou dentro da lei em defesa do brasil como fazem expresidentes em todo o mundo por isso mesmo lula nao e parte da operacao policial desta manha nem poderia ser
1	relatorio	relatorio	NOUN	NOUN	_	5	nsubj	_	TokenRange=0:9
2-3	da	_	_	_	_	_	_	_	TokenRange=10:12
2	de	de	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	pf	_	NOUN	NOUN	_	1	nmod	_	TokenRange=13:15
5	aponta	apontar	VERB	VERB	_	0	root	_	TokenRange=16:22
6	que	que	CCONJ	CONJ	_	8	mark	_	TokenRange=23:26
7	lula	_	NOUN	NOUN	_	8	nsubj	_	TokenRange=27:31
8	recebeu	receber	VERB	VERB	_	5	ccomp	_	TokenRange=32:39
9	vantagens	vantagem	NOUN	NOUN	_	8	obj	_	TokenRange=40:49
10	em	em	ADP	ADP	_	11	case	_	TokenRange=50:52
11	obras	obra	NOUN	NOUN	_	24	nmod	_	TokenRange=53:58
12	feitas	_	VERB	VERB	_	11	acl	_	TokenRange=59:65
13	em	em	ADP	ADP	_	14	case	_	TokenRange=66:68
14	cuba	_	NOUN	NOUN	_	12	nmod	_	TokenRange=69:73
15	republica	_	NOUN	NOUN	_	14	appos	_	TokenRange=74:83
16	dominicana	dominicano	ADJ	ADJ	_	15	amod	_	TokenRange=84:94
17	e	e	CCONJ	CONJ	_	18	cc	_	TokenRange=95:96
18	angola	angola	NOUN	NOUN	_	15	conj	_	TokenRange=97:103
19	a	o	DET	DET	_	20	det	_	TokenRange=104:105
20	pf	pf	NOUN	NOUN	_	22	nsubj	_	TokenRange=106:108
21	esta	_	AUX	AUX	_	22	aux	_	TokenRange=109:113
22	investigando	investigar	VERB	VERB	_	5	ccomp	_	TokenRange=114:126
23	a	o	DET	DET	_	24	det	_	TokenRange=127:128
24	relacao	relacao	NOUN	NOUN	_	22	obj	_	TokenRange=129:136
25	entre	_	ADP	ADP	_	27	case	_	TokenRange=137:142
26	o	o	DET	DET	_	27	det	_	TokenRange=143:144
27	expresidente	expresidente	NOUN	NOUN	_	24	nmod	_	TokenRange=145:157
28	lula	lula	NOUN	NOUN	_	27	appos	_	TokenRange=158:162
29	e	e	CCONJ	CONJ	_	30	cc	_	TokenRange=163:164
30	emprestimos	emprestimo	NOUN	NOUN	_	27	conj	_	TokenRange=165:176
31-32	do	_	_	_	_	_	_	_	TokenRange=177:179
31	de	de	ADP	ADP	_	33	case	_	_
32	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	33	det	_	_
33	bndes	bndes	NOUN	NOUN	_	30	nmod	_	TokenRange=180:185
34	feitos	fazer	VERB	VERB	_	30	acl	_	TokenRange=186:192
35	com	com	ADP	ADP	_	37	case	_	TokenRange=193:196
36	a	o	DET	DET	_	37	det	_	TokenRange=197:198
37	intervencao	intervencao	NOUN	NOUN	_	34	nmod	_	TokenRange=199:210
