# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = urgente renan abre votacao para o pl 280 abuso de autoridade assista ao vivo ele quer votar de qualquer jeito assista ao vivo
1	urgente	urgente	ADJ	ADJ	_	2	amod	_	TokenRange=0:7
2	renan	_	NOUN	NOUN	_	3	nsubj	_	TokenRange=8:13
3	abre	abrir	VERB	VERB	_	0	root	_	TokenRange=14:18
4	votacao	votacao	NOUN	NOUN	_	3	obj	_	TokenRange=19:26
5	para	para	ADP	ADP	_	7	case	_	TokenRange=27:31
6	o	o	DET	DET	_	7	det	_	TokenRange=32:33
7	pl	_	NOUN	NOUN	_	3	nmod	_	TokenRange=34:36
8	280	_	NUM	NUM	NumType=Card	7	appos	_	TokenRange=37:40
9	abuso	abuso	NOUN	NOUN	_	3	nsubj	_	TokenRange=41:46
10	de	de	ADP	ADP	_	11	case	_	TokenRange=47:49
11	autoridade	autoridade	NOUN	NOUN	_	9	nmod	_	TokenRange=50:60
12	assista	assistir	VERB	VERB	_	3	parataxis	_	TokenRange=61:68
13-14	ao	_	_	_	_	_	_	_	TokenRange=69:71
13	a	a	ADP	ADP	_	15	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	15	det	_	_
15	vivo	vivo	NOUN	NOUN	_	12	nmod	_	TokenRange=72:76
16	ele	_	PRON	PRON	_	17	nsubj	_	TokenRange=77:80
17	quer	querer	VERB	VERB	_	3	conj	_	TokenRange=81:85
18	votar	votar	VERB	VERB	_	17	xcomp	_	TokenRange=86:91
19	de	de	ADP	ADP	_	21	case	_	TokenRange=92:94
20	qualquer	_	DET	DET	_	21	det	_	TokenRange=95:103
21	jeito	jeito	NOUN	NOUN	_	18	nmod	_	TokenRange=104:109
22	assista	assistir	VERB	VERB	_	17	parataxis	_	TokenRange=110:117
23-24	ao	_	_	_	_	_	_	_	TokenRange=118:120
23	a	a	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	vivo	vivo	NOUN	NOUN	_	22	nmod	_	TokenRange=121:125

