# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quebrapau na posse do prefeito em catanduva/sp vereadores saem no tapa vereadores trocaram socos durante a posse do prefeito e dos vereadores em catanduva no interior de sao paulo o prefeito afonso machione eleito pela 2 vez foi empossado em clube da cidade as imagens sao de uma afiliada da rede globo
1	quebrapau	quebrapar	VERB	VERB	_	0	root	_	TokenRange=0:9
2-3	na	_	_	_	_	_	_	_	TokenRange=10:12
2	em	em	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	posse	posse	NOUN	NOUN	_	1	nmod	_	TokenRange=13:18
5-6	do	_	_	_	_	_	_	_	TokenRange=19:21
5	de	de	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	prefeito	prefeito	NOUN	NOUN	_	4	nmod	_	TokenRange=22:30
8	em	em	ADP	ADP	_	9	case	_	TokenRange=31:33
9	catanduva/sp	_	NOUN	NOUN	_	11	nmod	_	TokenRange=34:46
10	vereadores	vereador	NOUN	NOUN	_	11	nsubj	_	TokenRange=47:57
11	saem	sair	VERB	VERB	_	1	conj	_	TokenRange=58:62
12-13	no	_	_	_	_	_	_	_	TokenRange=63:65
12	em	em	ADP	ADP	_	14	case	_	_
13	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	14	det	_	_
14	tapa	tapa	NOUN	NOUN	_	11	nmod	_	TokenRange=66:70
15	vereadores	vereador	NOUN	NOUN	_	16	nsubj	_	TokenRange=71:81
16	trocaram	trocar	VERB	VERB	_	1	conj	_	TokenRange=82:90
17	socos	soco	NOUN	NOUN	_	16	obj	_	TokenRange=91:96
18	durante	_	ADP	ADP	_	20	case	_	TokenRange=97:104
19	a	o	DET	DET	_	20	det	_	TokenRange=105:106
20	posse	posse	NOUN	NOUN	_	16	nmod	_	TokenRange=107:112
21-22	do	_	_	_	_	_	_	_	TokenRange=113:115
21	de	de	ADP	ADP	_	23	case	_	_
22	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	23	det	_	_
23	prefeito	prefeito	NOUN	NOUN	_	20	nmod	_	TokenRange=116:124
24	e	e	CCONJ	CONJ	_	27	cc	_	TokenRange=125:126
25-26	dos	_	_	_	_	_	_	_	TokenRange=127:130
25	de	de	ADP	ADP	_	27	case	_	_
26	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	27	det	_	_
27	vereadores	vereador	NOUN	NOUN	_	23	conj	_	TokenRange=131:141
28	em	em	ADP	ADP	_	29	case	_	TokenRange=142:144
29	catanduva	catanduva	NOUN	NOUN	_	16	nmod	_	TokenRange=145:154
30-31	no	_	_	_	_	_	_	_	TokenRange=155:157
30	em	em	ADP	ADP	_	32	case	_	_
31	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	32	det	_	_
32	interior	interior	NOUN	NOUN	_	20	nmod	_	TokenRange=158:166
33	de	de	ADP	ADP	_	34	case	_	TokenRange=167:169
34	sao	sao	NOUN	NOUN	_	32	nmod	_	TokenRange=170:173
35	paulo	paulo	NOUN	NOUN	_	34	flat	_	TokenRange=174:179
36	o	o	DET	DET	_	37	det	_	TokenRange=180:181
37	prefeito	prefeito	NOUN	NOUN	_	46	nsubj:pass	_	TokenRange=182:190
38	afonso	afonso	NOUN	NOUN	_	37	appos	_	TokenRange=191:197
39	machione	machione	NOUN	NOUN	_	38	flat	_	TokenRange=198:206
40	eleito	eleger	VERB	VERB	_	37	acl	_	TokenRange=207:213
41-42	pela	_	_	_	_	_	_	_	TokenRange=214:218
41	por	por	ADP	ADP	_	44	case	_	_
42	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	44	det	_	_
43	2	_	NUM	NUM	NumType=Card	44	nummod	_	TokenRange=219:220
44	vez	vez	NOUN	NOUN	_	40	nmod	_	TokenRange=221:224
45	foi	_	AUX	AUX	_	46	aux:pass	_	TokenRange=225:228
46	empossado	empossar	VERB	VERB	_	1	conj	_	TokenRange=229:238
47	em	em	ADP	ADP	_	48	case	_	TokenRange=239:241
48	clube	clube	NOUN	NOUN	_	46	nmod	_	TokenRange=242:247
49-50	da	_	_	_	_	_	_	_	TokenRange=248:250
49	de	de	ADP	ADP	_	51	case	_	_
50	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	51	det	_	_
51	cidade	cidade	NOUN	NOUN	_	48	nmod	_	TokenRange=251:257
52	as	o	DET	DET	_	53	det	_	TokenRange=258:260
53	imagens	imagem	NOUN	NOUN	_	54	nsubj	_	TokenRange=261:268
54	sao	_	VERB	VERB	_	46	parataxis	_	TokenRange=269:272
55	de	de	ADP	ADP	_	57	case	_	TokenRange=273:275
56	uma	um	DET	DET	_	57	det	_	TokenRange=276:279
57	afiliada	_	NOUN	NOUN	_	54	nmod	_	TokenRange=280:288
58-59	da	_	_	_	_	_	_	_	TokenRange=289:291
58	de	de	ADP	ADP	_	60	case	_	_
59	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	60	det	_	_
60	rede	rede	NOUN	NOUN	_	57	nmod	_	TokenRange=292:296
61	globo	globo	ADJ	ADJ	_	60	amod	_	TokenRange=297:302

