# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = viralizou fisiculturista percebe que esta sendo filmado e tira a maior onda dentro de supermercado diante de um mundo tao negativo e conflituoso eis que um fisiculturista norteamericano decidiu se divertir diante de uma situacao digamos um pouco constrangedora percebendo que uma das cameras do circuito interno de um supermercado estava se movendo e acompanhando seus movimentos o homem decidiu se vingar da perseguicao eletronica e trollou toda a equipe de seguranca do estabelecimento ele poderia ter feito o maior escandalo acusar o supermercado de racismo dizer que o espionavam pelo fato dele ser negro enfim aquele mimimi que a nova geracao costuma fazer mas nao ele simplesmente surpreendeu a todos o video foi postado na ultima quintafeira 10 e ainda nao sabemos o nome do fisiculturista bemhumorado precisamos de mais pessoas assim que saibam lidar com as chateacoes do dia a dia como dizia charles darwin nao e o mais forte que sobrevive nem o mais inteligente mas o que melhor se adapta as mudancas
1	viralizou	viralizar	VERB	VERB	_	0	root	_	TokenRange=0:9
2	fisiculturista	fisiculturista	NOUN	NOUN	_	1	nsubj	_	TokenRange=10:24
3	percebe	perceber	VERB	VERB	_	1	ccomp	_	TokenRange=25:32
4	que	que	CCONJ	CONJ	_	7	mark	_	TokenRange=33:36
5	esta	_	AUX	AUX	_	7	aux	_	TokenRange=37:41
6	sendo	ser	AUX	AUX	_	7	aux:pass	_	TokenRange=42:47
7	filmado	filmar	VERB	VERB	_	3	ccomp	_	TokenRange=48:55
8	e	e	CCONJ	CONJ	_	9	cc	_	TokenRange=56:57
9	tira	tirar	VERB	VERB	_	7	conj	_	TokenRange=58:62
10	a	o	DET	DET	_	12	det	_	TokenRange=63:64
11	maior	maior	ADJ	ADJ	_	12	amod	_	TokenRange=65:70
12	onda	onda	NOUN	NOUN	_	9	obj	_	TokenRange=71:75
13	dentro	dentro	ADV	ADV	_	9	advmod	_	TokenRange=76:82
14	de	de	ADP	ADP	_	15	case	_	TokenRange=83:85
15	supermercado	supermercado	NOUN	NOUN	_	13	nmod	_	TokenRange=86:98
16	diante	diante	ADV	ADV	_	9	advmod	_	TokenRange=99:105
17	de	de	ADP	ADP	_	19	case	_	TokenRange=106:108
18	um	um	DET	DET	_	19	det	_	TokenRange=109:111
19	mundo	mundo	NOUN	NOUN	_	16	nmod	_	TokenRange=112:117
20	tao	tao	ADV	ADV	_	21	advmod	_	TokenRange=118:121
21	negativo	negativo	ADJ	ADJ	_	19	amod	_	TokenRange=122:130
22	e	e	CCONJ	CONJ	_	23	cc	_	TokenRange=131:132
23	conflituoso	conflituoso	ADJ	ADJ	_	21	conj	_	TokenRange=133:144
24	eis	eis	ADV	ADV	_	29	mark	_	TokenRange=145:148
25	que	que	CCONJ	CONJ	_	24	fixed	_	TokenRange=149:152
26	um	um	DET	DET	_	27	det	_	TokenRange=153:155
27	fisiculturista	fisiculturista	NOUN	NOUN	_	29	nsubj	_	TokenRange=156:170
28	norteamericano	norteamericano	ADJ	ADJ	_	27	amod	_	TokenRange=171:185
29	decidiu	decidir	VERB	VERB	_	3	advcl	_	TokenRange=186:193
30	se	_	PRON	PRON	_	31	obj	_	TokenRange=194:196
31	divertir	divertir	VERB	VERB	_	29	xcomp	_	TokenRange=197:205
32	diante	diante	ADV	ADV	_	31	advmod	_	TokenRange=206:212
33	de	de	ADP	ADP	_	35	case	_	TokenRange=213:215
34	uma	um	DET	DET	_	35	det	_	TokenRange=216:219
35	situacao	situacao	NOUN	NOUN	_	32	nmod	_	TokenRange=220:228
36	digamos	dizer	VERB	VERB	_	19	acl:relcl	_	TokenRange=229:236
37	um	um	DET	DET	_	38	det	_	TokenRange=237:239
38	pouco	pouco	NOUN	NOUN	_	39	nmod	_	TokenRange=240:245
39	constrangedora	constrangedor	ADJ	ADJ	_	36	xcomp	_	TokenRange=246:260
40	percebendo	perceber	VERB	VERB	_	36	acl	_	TokenRange=261:271
41	que	que	CCONJ	CONJ	_	55	mark	_	TokenRange=272:275
42	uma	_	PRON	PRON	_	55	nsubj	_	TokenRange=276:279
43-44	das	_	_	_	_	_	_	_	TokenRange=280:283
43	de	de	ADP	ADP	_	45	case	_	_
44	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	45	det	_	_
45	cameras	camera	NOUN	NOUN	_	42	nmod	_	TokenRange=284:291
46-47	do	_	_	_	_	_	_	_	TokenRange=292:294
46	de	de	ADP	ADP	_	48	case	_	_
47	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	48	det	_	_
48	circuito	circuito	NOUN	NOUN	_	45	nmod	_	TokenRange=295:303
49	interno	interno	ADJ	ADJ	_	48	amod	_	TokenRange=304:311
50	de	de	ADP	ADP	_	52	case	_	TokenRange=312:314
51	um	um	DET	DET	_	52	det	_	TokenRange=315:317
52	supermercado	supermercado	NOUN	NOUN	_	48	nmod	_	TokenRange=318:330
53	estava	estar	AUX	AUX	_	55	aux	_	TokenRange=331:337
54	se	_	PRON	PRON	_	55	obj	_	TokenRange=338:340
55	movendo	mover	VERB	VERB	_	40	ccomp	_	TokenRange=341:348
56	e	e	CCONJ	CONJ	_	57	cc	_	TokenRange=349:350
57	acompanhando	acompanhar	VERB	VERB	_	55	conj	_	TokenRange=351:363
58	seus	_	DET	DET	_	59	det:poss	_	TokenRange=364:368
59	movimentos	movimento	NOUN	NOUN	_	57	obj	_	TokenRange=369:379
60	o	o	DET	DET	_	61	det	_	TokenRange=380:381
61	homem	homem	NOUN	NOUN	_	62	nsubj	_	TokenRange=382:387
62	decidiu	decidir	VERB	VERB	_	55	conj	_	TokenRange=388:395
63	se	_	PRON	PRON	_	64	obj	_	TokenRange=396:398
64	vingar	vingar	VERB	VERB	_	62	xcomp	_	TokenRange=399:405
65-66	da	_	_	_	_	_	_	_	TokenRange=406:408
65	de	de	ADP	ADP	_	67	case	_	_
66	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	67	det	_	_
67	perseguicao	perseguicao	NOUN	NOUN	_	64	nmod	_	TokenRange=409:420
68	eletronica	eletronico	ADJ	ADJ	_	67	amod	_	TokenRange=421:431
69	e	e	CCONJ	CONJ	_	70	cc	_	TokenRange=432:433
70	trollou	trollar	VERB	VERB	_	62	conj	_	TokenRange=434:441
71	toda	_	DET	DET	_	73	det	_	TokenRange=442:446
72	a	o	DET	DET	_	73	det	_	TokenRange=447:448
73	equipe	equipe	NOUN	NOUN	_	70	obj	_	TokenRange=449:455
74	de	de	ADP	ADP	_	75	case	_	TokenRange=456:458
75	seguranca	_	NOUN	NOUN	_	73	nmod	_	TokenRange=459:468
76-77	do	_	_	_	_	_	_	_	TokenRange=469:471
76	de	de	ADP	ADP	_	78	case	_	_
77	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	78	det	_	_
78	estabelecimento	estabelecimento	NOUN	NOUN	_	73	nmod	_	TokenRange=472:487
79	ele	_	PRON	PRON	_	82	nsubj	_	TokenRange=488:491
