# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acharam o lula ele ficou com dor de barriga apos a chegada da pf no senado a policia federal chegou no senado para reforcar a seguranca e lula desapareceu mas calma encontraram o petista ele estava no wc alguem foi ate o banheiro e avisou o expresidente que ele poderia sair e permanecer no recinto sem ter medo tentando disfarcar o petista comecou a esfregar as maos na barriga para demonstrar que ele estava um pouco indisposto que dor de barriga hein lula que susto
1	acharam	achar	VERB	VERB	_	0	root	_	TokenRange=0:7
2	o	o	DET	DET	_	3	det	_	TokenRange=8:9
3	lula	lula	NOUN	NOUN	_	1	obj	_	TokenRange=10:14
4	ele	_	PRON	PRON	_	5	nsubj	_	TokenRange=15:18
5	ficou	ficar	VERB	VERB	_	1	ccomp	_	TokenRange=19:24
6	com	com	ADP	ADP	_	7	case	_	TokenRange=25:28
7	dor	dor	NOUN	NOUN	_	5	nmod	_	TokenRange=29:32
8	de	de	ADP	ADP	_	9	case	_	TokenRange=33:35
9	barriga	barriga	NOUN	NOUN	_	7	nmod	_	TokenRange=36:43
10	apos	_	ADP	ADP	_	12	case	_	TokenRange=44:48
11	a	o	DET	DET	_	12	det	_	TokenRange=49:50
12	chegada	chegada	NOUN	NOUN	_	5	nmod	_	TokenRange=51:58
13-14	da	_	_	_	_	_	_	_	TokenRange=59:61
13	de	de	ADP	ADP	_	15	case	_	_
14	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	15	det	_	_
15	pf	_	NOUN	NOUN	_	12	nmod	_	TokenRange=62:64
16-17	no	_	_	_	_	_	_	_	TokenRange=65:67
16	em	em	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	senado	senado	NOUN	NOUN	_	12	nmod	_	TokenRange=68:74
19	a	o	DET	DET	_	20	det	_	TokenRange=75:76
20	policia	policia	NOUN	NOUN	_	22	nsubj	_	TokenRange=77:84
21	federal	federal	ADJ	ADJ	_	20	amod	_	TokenRange=85:92
22	chegou	chegar	VERB	VERB	_	1	parataxis	_	TokenRange=93:99
23-24	no	_	_	_	_	_	_	_	TokenRange=100:102
23	em	em	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	senado	senado	NOUN	NOUN	_	22	nmod	_	TokenRange=103:109
26	para	_	ADP	ADP	_	27	mark	_	TokenRange=110:114
27	reforcar	reforcar	VERB	VERB	_	22	advcl	_	TokenRange=115:123
28	a	o	DET	DET	_	29	det	_	TokenRange=124:125
29	seguranca	_	NOUN	NOUN	_	27	obj	_	TokenRange=126:135
30	e	e	CCONJ	CONJ	_	32	cc	_	TokenRange=136:137
31	lula	lula	NOUN	NOUN	_	32	nsubj	_	TokenRange=138:142
32	desapareceu	desaparecer	VERB	VERB	_	22	conj	_	TokenRange=143:154
33	mas	mas	CCONJ	CONJ	_	35	cc	_	TokenRange=155:158
34	calma	_	NOUN	NOUN	_	35	nsubj	_	TokenRange=159:164
35	encontraram	encontrar	VERB	VERB	_	32	conj	_	TokenRange=165:176
