# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = assista o processo de fabricacao das salsichas voce nunca mais vai comer esse lixo a salsicha usada em cachorrosquentes e varias receitas populares e feita em linhas de producao automatizadas a coisa mais importante que voce precisa saber e que as salsichas sao feitas com restos de carnes diversas que sao descartadas na producao de outros alimentos a industria chama esses restos de aparas na verdade e uma nomeacao educada para se referir as cartilagens a gordura e as outras miudezas que sobram das carcacas de vacas porcos e aves como carne de cabeca pescoco patas de animais peles sangue figado e demais produtos comestiveis do abate as fabricas entao usam essas aparas precozidas em temperaturas entre 65c e 90c dependendo do tamanho da carcaca ou do tipo da carne em questao essa especie de fervura tambem serve para ajudar a eliminar os diferentes tipos de bacterias que proliferam nesses pedacos descartados a proxima etapa da fabricacao das salsichas para cachorroquente e ainda pior consiste em fazer uma especie de massa de carne a partir da mistura de alguns produtos com a carne que foi moida sal temperos amido alem de agua e xarope de milho sao alguns desses produtos acrescentados a receita o excesso de liquidos da massa e sugado e a carne comeca a tomar a forma que conhecemos em embalagens de celulose na maioria das vezes na etapa final o produto esta praticamente pronto e precisa apenas passar pela defumacao video 1 video 2 leia tambem
1	assista	assistir	VERB	VERB	_	0	root	_	TokenRange=0:7
2	o	o	DET	DET	_	3	det	_	TokenRange=8:9
3	processo	processo	NOUN	NOUN	_	1	nsubj	_	TokenRange=10:18
4	de	de	ADP	ADP	_	5	case	_	TokenRange=19:21
5	fabricacao	fabricacao	NOUN	NOUN	_	3	nmod	_	TokenRange=22:32
6-7	das	_	_	_	_	_	_	_	TokenRange=33:36
6	de	de	ADP	ADP	_	8	case	_	_
7	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	8	det	_	_
8	salsichas	salsicha	NOUN	NOUN	_	5	nmod	_	TokenRange=37:46
9	voce	_	PRON	PRON	_	13	nsubj	_	TokenRange=47:51
10	nunca	nunca	ADV	ADV	_	11	advmod	_	TokenRange=52:57
11	mais	mais	ADV	ADV	_	13	advmod	_	TokenRange=58:62
12	vai	ir	AUX	AUX	_	13	aux	_	TokenRange=63:66
13	comer	comer	VERB	VERB	_	1	ccomp	_	TokenRange=67:72
14	esse	_	DET	DET	_	15	det	_	TokenRange=73:77
15	lixo	lixo	NOUN	NOUN	_	13	obj	_	TokenRange=78:82
16	a	o	DET	DET	_	17	det	_	TokenRange=83:84
17	salsicha	salsicha	NOUN	NOUN	_	13	obj	_	TokenRange=85:93
18	usada	usar	VERB	VERB	_	17	acl	_	TokenRange=94:99
19	em	em	ADP	ADP	_	20	case	_	TokenRange=100:102
20	cachorrosquentes	cachorrosquente	NOUN	NOUN	_	18	nmod	_	TokenRange=103:119
21	e	e	CCONJ	CONJ	_	23	cc	_	TokenRange=120:121
22	varias	_	DET	DET	_	23	det	_	TokenRange=122:128
23	receitas	receita	NOUN	NOUN	_	20	conj	_	TokenRange=129:137
24	populares	popular	ADJ	ADJ	_	23	amod	_	TokenRange=138:147
25	e	e	CCONJ	CONJ	_	26	cc	_	TokenRange=148:149
26	feita	_	VERB	VERB	_	13	conj	_	TokenRange=150:155
27	em	em	ADP	ADP	_	28	case	_	TokenRange=156:158
28	linhas	_	NOUN	NOUN	_	26	nmod	_	TokenRange=159:165
29	de	de	ADP	ADP	_	30	case	_	TokenRange=166:168
30	producao	producao	NOUN	NOUN	_	28	nmod	_	TokenRange=169:177
31	automatizadas	automatizado	ADJ	ADJ	_	28	amod	_	TokenRange=178:191
32	a	o	DET	DET	_	33	det	_	TokenRange=192:193
33	coisa	coisa	NOUN	NOUN	_	26	nsubj:pass	_	TokenRange=194:199
34	mais	mais	ADV	ADV	_	35	advmod	_	TokenRange=200:204
35	importante	importante	ADJ	ADJ	_	33	amod	_	TokenRange=205:215
36	que	_	PRON	PRON	_	38	obj	_	TokenRange=216:219
37	voce	_	PRON	PRON	_	38	nsubj	_	TokenRange=220:224
38	precisa	precisar	VERB	VERB	_	33	acl:relcl	_	TokenRange=225:232
39	saber	saber	VERB	VERB	_	38	xcomp	_	TokenRange=233:238
40	e	e	CCONJ	CONJ	_	45	cc	_	TokenRange=239:240
41	que	que	CCONJ	CONJ	_	45	mark	_	TokenRange=241:244
42	as	o	DET	DET	_	43	det	_	TokenRange=245:247
43	salsichas	salsicha	NOUN	NOUN	_	45	nsubj:pass	_	TokenRange=248:257
44	sao	_	AUX	AUX	_	45	aux:pass	_	TokenRange=258:261
45	feitas	_	VERB	VERB	_	38	conj	_	TokenRange=262:268
46	com	com	ADP	ADP	_	47	case	_	TokenRange=269:272
47	restos	resto	NOUN	NOUN	_	45	nmod	_	TokenRange=273:279
48	de	de	ADP	ADP	_	49	case	_	TokenRange=280:282
49	carnes	carne	NOUN	NOUN	_	47	nmod	_	TokenRange=283:289
50	diversas	diverso	ADJ	ADJ	_	49	amod	_	TokenRange=290:298
51	que	_	PRON	PRON	_	53	nsubj:pass	_	TokenRange=299:302
52	sao	_	AUX	AUX	_	53	aux:pass	_	TokenRange=303:306
53	descartadas	descartar	VERB	VERB	_	49	acl:relcl	_	TokenRange=307:318
54-55	na	_	_	_	_	_	_	_	TokenRange=319:321
54	em	em	ADP	ADP	_	56	case	_	_
55	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	56	det	_	_
56	producao	producao	NOUN	NOUN	_	53	nmod	_	TokenRange=322:330
57	de	de	ADP	ADP	_	59	case	_	TokenRange=331:333
58	outros	_	DET	DET	_	59	det	_	TokenRange=334:340
59	alimentos	alimento	NOUN	NOUN	_	56	nmod	_	TokenRange=341:350
60	a	o	DET	DET	_	61	det	_	TokenRange=351:352
61	industria	industria	NOUN	NOUN	_	62	nsubj	_	TokenRange=353:362
62	chama	chamar	VERB	VERB	_	33	acl:relcl	_	TokenRange=363:368
63	esses	_	DET	DET	_	64	det	_	TokenRange=369:374
64	restos	resto	NOUN	NOUN	_	62	obj	_	TokenRange=375:381
65	de	de	ADP	ADP	_	66	case	_	TokenRange=382:384
66	aparas	apara	NOUN	NOUN	_	64	nmod	_	TokenRange=385:391
67-68	na	_	_	_	_	_	_	_	TokenRange=392:394
67	em	em	ADP	ADP	_	69	case	_	_
68	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	69	det	_	_
69	verdade	verdade	NOUN	NOUN	_	62	nmod	_	TokenRange=395:402
70	e	e	CCONJ	CONJ	_	72	cc	_	TokenRange=403:404
71	uma	um	DET	DET	_	72	det	_	TokenRange=405:408
72	nomeacao	nomeacao	NOUN	NOUN	_	210	conj	_	TokenRange=409:417
73	educada	educar	VERB	VERB	_	72	acl	_	TokenRange=418:425
74	para	_	ADP	ADP	_	76	mark	_	TokenRange=426:430
75	se	_	PART	PRT	_	76	expl:pv	_	TokenRange=431:433
76	referir	referir	VERB	VERB	_	73	advcl	_	TokenRange=434:441
77	as	o	DET	DET	_	78	det	_	TokenRange=442:444
78	cartilagens	cartilagem	NOUN	NOUN	_	76	obj	_	TokenRange=445:456
79	a	_	ADP	ADP	_	80	case	_	TokenRange=457:458
80	gordura	gordura	NOUN	NOUN	_	78	nmod	_	TokenRange=459:466
81	e	e	CCONJ	CONJ	_	84	cc	_	TokenRange=467:468
82	as	o	DET	DET	_	84	det	_	TokenRange=469:471
83	outras	_	DET	DET	_	84	det	_	TokenRange=472:478
84	miudezas	miudeza	NOUN	NOUN	_	78	conj	_	TokenRange=479:487
85	que	_	PRON	PRON	_	86	nsubj	_	TokenRange=488:491
86	sobram	sobrar	VERB	VERB	_	84	acl:relcl	_	TokenRange=492:498
87-88	das	_	_	_	_	_	_	_	TokenRange=499:502
87	de	de	ADP	ADP	_	89	case	_	_
88	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	89	det	_	_
89	carcacas	carcaca	NOUN	NOUN	_	86	nmod	_	TokenRange=503:511
90	de	de	ADP	ADP	_	91	case	_	TokenRange=512:514
91	vacas	vaca	NOUN	NOUN	_	89	nmod	_	TokenRange=515:520
92	porcos	porco	NOUN	NOUN	_	78	amod	_	TokenRange=521:527
93	e	e	CCONJ	CONJ	_	94	cc	_	TokenRange=528:529
94	aves	ave	NOUN	NOUN	_	92	conj	_	TokenRange=530:534
95	como	como	ADP	ADP	_	96	case	_	TokenRange=535:539
