# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = no gabinete dilma perde o controle emocional e xinga delcidio mentiroso fdp dilma rousseff convocou quatro de seus principais assessores para uma reuniao de emergencia em seu gabinete e estava com os nervos a flor da pele dilma andou de um lado para o outro bateu sobre a mesa xingou delcidio do amaral ptms e ordenou a divulgacao de uma nota diante dos ministros jaques wagner casa civil e jose eduardo cardozo advocaciageral da uniao a presidente educada chegou a soltar um filho da p em referencia ao senador ela afirmou que as declaracoes do senador eram mentirosas e que o vazamento da delacao deveria ser tratado como crime as informacoes sao de marina dias/ gustavo uribe/ valdo cruz da folha de sp
1-2	no	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	3	det	_	_
3	gabinete	gabinete	NOUN	NOUN	_	5	nmod	_	TokenRange=3:11
4	dilma	_	NOUN	NOUN	_	5	nsubj	_	TokenRange=12:17
5	perde	perder	VERB	VERB	_	0	root	_	TokenRange=18:23
6	o	o	DET	DET	_	7	det	_	TokenRange=24:25
7	controle	_	NOUN	NOUN	_	5	obj	_	TokenRange=26:34
8	emocional	emocional	ADJ	ADJ	_	7	amod	_	TokenRange=35:44
9	e	e	CCONJ	CONJ	_	10	cc	_	TokenRange=45:46
10	xinga	xingar	VERB	VERB	_	5	conj	_	TokenRange=47:52
11	delcidio	delcidio	NOUN	NOUN	_	10	obj	_	TokenRange=53:61
12	mentiroso	mentiroso	ADJ	ADJ	_	11	amod	_	TokenRange=62:71
13	fdp	_	NOUN	NOUN	_	16	nsubj	_	TokenRange=72:75
14	dilma	dilma	NOUN	NOUN	_	16	nsubj	_	TokenRange=76:81
15	rousseff	rousseff	NOUN	NOUN	_	14	flat	_	TokenRange=82:90
16	convocou	convocar	VERB	VERB	_	5	conj	_	TokenRange=91:99
