# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = forca tarefa da lavajato ira investigar doacao de terreno de r 20 milhoes para instituto lula o ministerio publico federal de curitiba ira participar da apuracao do processo da doacao de um terreno da prefeitura de sao paulo para a construcao da nova sede do instituto lula o ingresso na acao foi autorizado pelo juiz adriano marcos laroca da 12a vara da fazenda publica de sao paulo a area do instituto possui quatro mil metros quadrados e esta avaliada em r 20 milhoes a iniciativa da doacao doala que foi feita sob regime de concessao por 99 anos foi do exprefeito da sao paulo gilberto kassab hoje ministro das cidades no governo dilma a doacao foi questionada pelo ministerio publico por ferir a lei organica do municipio resumindo e um caso que se arrastava na justica nao se sabe porque mas a partir de agora tera o reforco da forcatarefa da lava jato antagonista folha/sp
1	forca	forca	NOUN	NOUN	_	7	nsubj	_	TokenRange=0:5
2	tarefa	tarefa	NOUN	NOUN	_	7	nsubj	_	TokenRange=6:12
3-4	da	_	_	_	_	_	_	_	TokenRange=13:15
3	de	de	ADP	ADP	_	5	case	_	_
4	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	5	det	_	_
5	lavajato	lavajato	NOUN	NOUN	_	2	nmod	_	TokenRange=16:24
6	ira	_	AUX	AUX	_	7	aux	_	TokenRange=25:28
7	investigar	investigar	VERB	VERB	_	0	root	_	TokenRange=29:39
8	doacao	doacao	NOUN	NOUN	_	7	obj	_	TokenRange=40:46
9	de	de	ADP	ADP	_	10	case	_	TokenRange=47:49
10	terreno	terreno	NOUN	NOUN	_	8	nmod	_	TokenRange=50:57
11	de	de	ADP	ADP	_	12	case	_	TokenRange=58:60
12	r	r	NOUN	NOUN	_	10	nmod	_	TokenRange=61:62
13	20	_	NUM	NUM	NumType=Card	14	nummod	_	TokenRange=63:65
14	milhoes	_	NUM	NUM	NumType=Card	12	nummod	_	TokenRange=66:73
15	para	para	ADP	ADP	_	16	case	_	TokenRange=74:78
16	instituto	instituto	NOUN	NOUN	_	7	nmod	_	TokenRange=79:88
17	lula	lulo	ADJ	ADJ	_	16	amod	_	TokenRange=89:93
18	o	o	DET	DET	_	19	det	_	TokenRange=94:95
19	ministerio	ministerio	NOUN	NOUN	_	25	nsubj	_	TokenRange=96:106
20	publico	publico	ADJ	ADJ	_	19	amod	_	TokenRange=107:114
21	federal	federal	ADJ	ADJ	_	19	amod	_	TokenRange=115:122
22	de	de	ADP	ADP	_	23	case	_	TokenRange=123:125
23	curitiba	curitiba	NOUN	NOUN	_	19	nmod	_	TokenRange=126:134
24	ira	_	AUX	AUX	_	25	aux	_	TokenRange=135:138
25	participar	participar	VERB	VERB	_	7	parataxis	_	TokenRange=139:149
26-27	da	_	_	_	_	_	_	_	TokenRange=150:152
26	de	de	ADP	ADP	_	28	case	_	_
27	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	28	det	_	_
28	apuracao	apuracao	NOUN	NOUN	_	25	nmod	_	TokenRange=153:161
29-30	do	_	_	_	_	_	_	_	TokenRange=162:164
29	de	de	ADP	ADP	_	31	case	_	_
30	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
31	processo	processo	NOUN	NOUN	_	28	nmod	_	TokenRange=165:173
32-33	da	_	_	_	_	_	_	_	TokenRange=174:176
32	de	de	ADP	ADP	_	34	case	_	_
33	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	34	det	_	_
34	doacao	doacao	NOUN	NOUN	_	31	nmod	_	TokenRange=177:183
35	de	de	ADP	ADP	_	37	case	_	TokenRange=184:186
36	um	um	DET	DET	_	37	det	_	TokenRange=187:189
37	terreno	terreno	NOUN	NOUN	_	34	nmod	_	TokenRange=190:197
38-39	da	_	_	_	_	_	_	_	TokenRange=198:200
38	de	de	ADP	ADP	_	40	case	_	_
39	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	40	det	_	_
40	prefeitura	prefeitura	NOUN	NOUN	_	37	nmod	_	TokenRange=201:211
41	de	de	ADP	ADP	_	42	case	_	TokenRange=212:214
42	sao	sao	NOUN	NOUN	_	40	nmod	_	TokenRange=215:218
43	paulo	paulo	ADJ	ADJ	_	42	amod	_	TokenRange=219:224
44	para	para	ADP	ADP	_	46	case	_	TokenRange=225:229
45	a	o	DET	DET	_	46	det	_	TokenRange=230:231
46	construcao	construcao	NOUN	NOUN	_	34	nmod	_	TokenRange=232:242
47-48	da	_	_	_	_	_	_	_	TokenRange=243:245
47	de	de	ADP	ADP	_	50	case	_	_
48	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	50	det	_	_
