# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = arregou apos pressao da populacao romero juca retira pec da sangria da tramitacao no senado caju nao aguentou a pressao das redes sociais o senador romero juca aquele do pacto para estancar a sangria da lava jato desistiu do projeto para blindar os presidentes da camara do senado e do stf a proposta de emenda constitucional foi protocolada as 1800h de hoje agora pouco a assessoria de juca emitiu uma nota a pedido do presidente do senado eunicio oliveira o senador romero juca solicitou a retirada da tramitacao da pec 3 de 2017 que altera o artigo 86 ferraco esta colhendo assinaturas para uma pec que proibe que reus em processos penais ocupem os cargos de chefia alem dos cargos de poder no senado a camara a regra valeria tambem os presidentes de assembleias camara de vereadores prefeitos e governadores ou seja se tem processo nao pode ocupar cargo publico de chefia ai sim
1	arregou	arregar	VERB	VERB	_	0	root	_	TokenRange=0:7
2	apos	_	ADP	ADP	_	3	case	_	TokenRange=8:12
3	pressao	pressao	NOUN	NOUN	_	1	nmod	_	TokenRange=13:20
4-5	da	_	_	_	_	_	_	_	TokenRange=21:23
4	de	de	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	populacao	populacao	NOUN	NOUN	_	3	nmod	_	TokenRange=24:33
7	romero	romero	NOUN	NOUN	_	9	nsubj	_	TokenRange=34:40
8	juca	juca	NOUN	NOUN	_	7	flat	_	TokenRange=41:45
9	retira	retirar	VERB	VERB	_	1	ccomp	_	TokenRange=46:52
10	pec	pec	NOUN	NOUN	_	9	obj	_	TokenRange=53:56
11-12	da	_	_	_	_	_	_	_	TokenRange=57:59
11	de	de	ADP	ADP	_	13	case	_	_
12	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	13	det	_	_
13	sangria	sangria	NOUN	NOUN	_	10	nmod	_	TokenRange=60:67
14-15	da	_	_	_	_	_	_	_	TokenRange=68:70
14	de	de	ADP	ADP	_	16	case	_	_
15	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
16	tramitacao	tramitacao	NOUN	NOUN	_	13	nmod	_	TokenRange=71:81
17-18	no	_	_	_	_	_	_	_	TokenRange=82:84
17	em	em	ADP	ADP	_	19	case	_	_
18	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	19	det	_	_
19	senado	senado	NOUN	NOUN	_	16	nmod	_	TokenRange=85:91
20	caju	caju	NOUN	NOUN	_	22	nsubj	_	TokenRange=92:96
21	nao	nao	ADV	ADV	Polarity=Neg	22	advmod	_	TokenRange=97:100
22	aguentou	aguentar	VERB	VERB	_	1	conj	_	TokenRange=101:109
23	a	o	DET	DET	_	24	det	_	TokenRange=110:111
