# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quebraloei apos declarar que o pais pode falir ate 2024 presidente gasta r 600 mil em roda de samba temer declarou na folha de sp que o brasil pode quebrar literalmente ate 2024 caso nao controle rapidamente os gastos publicos e depois resolveu ostentar dinheiro do povo em uma festa luxuosa onde gastou praticamente 600 mil reais do erario publico para celebrar o centenario do samba uma das grandes prioridades anunciadas pelo michel foi reduzir o deficit do estado brasileiro eliminando os custos elevados que estavam sendo praticados por lula e dilma se a retorica de temer e poupar ao maximo o dinheiro publico porque e que o dignissimo presidente nao se incomoda em gastar pequenas fortunas em uma festa comemorativa para poucos convidados sei nao michel e pt
1	quebraloei	quebraloar	VERB	VERB	_	0	root	_	TokenRange=0:10
2	apos	_	ADP	ADP	_	3	mark	_	TokenRange=11:15
3	declarar	declarar	VERB	VERB	_	1	advcl	_	TokenRange=16:24
4	que	que	CCONJ	CONJ	_	8	mark	_	TokenRange=25:28
5	o	o	DET	DET	_	6	det	_	TokenRange=29:30
6	pais	_	NOUN	NOUN	_	8	nsubj	_	TokenRange=31:35
7	pode	_	AUX	AUX	_	8	aux	_	TokenRange=36:40
8	falir	falir	VERB	VERB	_	3	ccomp	_	TokenRange=41:46
9	ate	_	ADP	ADP	_	10	case	_	TokenRange=47:50
10	2024	_	NUM	NUM	NumType=Card	8	nmod	_	TokenRange=51:55
11	presidente	presidente	NOUN	NOUN	_	12	nsubj	_	TokenRange=56:66
12	gasta	gastar	VERB	VERB	_	3	ccomp	_	TokenRange=67:72
13	r	r	NOUN	NOUN	_	12	obj	_	TokenRange=73:74
14	600	_	NUM	NUM	NumType=Card	15	nummod	_	TokenRange=75:78
15	mil	_	NUM	NUM	NumType=Card	13	nummod	_	TokenRange=79:82
16	em	em	ADP	ADP	_	17	case	_	TokenRange=83:85
17	roda	roda	NOUN	NOUN	_	12	nmod	_	TokenRange=86:90
18	de	de	ADP	ADP	_	19	case	_	TokenRange=91:93
19	samba	samba	NOUN	NOUN	_	17	nmod	_	TokenRange=94:99
20	temer	temer	NOUN	NOUN	_	12	nsubj	_	TokenRange=100:105
21	declarou	declarar	VERB	VERB	_	1	parataxis	_	TokenRange=106:114
22-23	na	_	_	_	_	_	_	_	TokenRange=115:117
22	em	em	ADP	ADP	_	24	case	_	_
23	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	24	det	_	_
24	folha	folha	NOUN	NOUN	_	21	nmod	_	TokenRange=118:123
25	de	de	ADP	ADP	_	26	mark	_	TokenRange=124:126
26	sp	sp	PROPN	ADV	_	24	nmod	_	TokenRange=127:129
27	que	que	CCONJ	CONJ	_	31	mark	_	TokenRange=130:133
28	o	o	DET	DET	_	29	det	_	TokenRange=134:135
29	brasil	brasil	NOUN	NOUN	_	31	nsubj	_	TokenRange=136:142
30	pode	_	AUX	AUX	_	31	aux	_	TokenRange=143:147
31	quebrar	quebrar	VERB	VERB	_	21	ccomp	_	TokenRange=148:155
32	literalmente	literalmente	ADV	ADV	_	31	advmod	_	TokenRange=156:168
33	ate	_	ADP	ADP	_	34	case	_	TokenRange=169:172
34	2024	_	NUM	NUM	NumType=Card	31	nmod	_	TokenRange=173:177
35	caso	_	CCONJ	CONJ	_	37	mark	_	TokenRange=178:182
36	nao	nao	ADV	ADV	Polarity=Neg	37	advmod	_	TokenRange=183:186
37	controle	_	VERB	VERB	_	31	advcl	_	TokenRange=187:195
38	rapidamente	rapidamente	ADV	ADV	_	37	advmod	_	TokenRange=196:207
39	os	o	DET	DET	_	40	det	_	TokenRange=208:210
40	gastos	gasto	NOUN	NOUN	_	37	obj	_	TokenRange=211:217
41	publicos	publico	ADJ	ADJ	_	40	amod	_	TokenRange=218:226
42	e	e	CCONJ	CONJ	_	44	cc	_	TokenRange=227:228
43	depois	depois	ADV	ADV	_	44	advmod	_	TokenRange=229:235
44	resolveu	resolver	VERB	VERB	_	31	conj	_	TokenRange=236:244
45	ostentar	ostentar	VERB	VERB	_	44	xcomp	_	TokenRange=245:253
46	dinheiro	dinheiro	NOUN	NOUN	_	45	obj	_	TokenRange=254:262
47-48	do	_	_	_	_	_	_	_	TokenRange=263:265
47	de	de	ADP	ADP	_	49	case	_	_
48	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	49	det	_	_
49	povo	povo	NOUN	NOUN	_	46	nmod	_	TokenRange=266:270
50	em	em	ADP	ADP	_	52	case	_	TokenRange=271:273
51	uma	um	DET	DET	_	52	det	_	TokenRange=274:277
52	festa	festa	NOUN	NOUN	_	45	nmod	_	TokenRange=278:283
53	luxuosa	luxuoso	ADJ	ADJ	_	52	amod	_	TokenRange=284:291
54	onde	onde	ADV	ADV	_	55	advmod	_	TokenRange=292:296
55	gastou	gastar	VERB	VERB	_	52	acl:relcl	_	TokenRange=297:303
56	praticamente	praticamente	ADV	ADV	_	58	advmod	_	TokenRange=304:316
57	600	_	NUM	NUM	NumType=Card	58	nummod	_	TokenRange=317:320
58	mil	_	NUM	NUM	NumType=Card	59	nummod	_	TokenRange=321:324
59	reais	real	NOUN	NOUN	_	55	obj	_	TokenRange=325:330
60-61	do	_	_	_	_	_	_	_	TokenRange=331:333
60	de	de	ADP	ADP	_	62	case	_	_
61	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	62	det	_	_
62	erario	erario	NOUN	NOUN	_	59	nmod	_	TokenRange=334:340
63	publico	publico	ADJ	ADJ	_	62	amod	_	TokenRange=341:348
64	para	_	ADP	ADP	_	65	mark	_	TokenRange=349:353
65	celebrar	celebrar	VERB	VERB	_	55	advcl	_	TokenRange=354:362
66	o	o	DET	DET	_	67	det	_	TokenRange=363:364
67	centenario	centenario	NOUN	NOUN	_	65	obj	_	TokenRange=365:375
68-69	do	_	_	_	_	_	_	_	TokenRange=376:378
68	de	de	ADP	ADP	_	70	case	_	_
69	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	70	det	_	_
