# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na camara e no senado ja se fala que as forcas armadas poderao assumir o poder estou saindo da camara federal nesse momento o clima em brasilia esta quente buzinaco quebraquebra nas ruas uma crise ha um grande temor de que a democra cia conquistada com muitas lagrimas se perca pela incompetencia desse governo ja se fala nos bastidores da camara e do senado de as forcas armadas assumirem o poder deste pais e necessario que as pessoas vao as ruas para que dilma renuncie e se mantenha a democracia confira o video do deputado
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	camara	camara	NOUN	NOUN	_	10	nmod	_	TokenRange=3:9
4	e	e	CCONJ	CONJ	_	7	cc	_	TokenRange=10:11
5-6	no	_	_	_	_	_	_	_	TokenRange=12:14
5	em	em	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	senado	senado	NOUN	NOUN	_	3	conj	_	TokenRange=15:21
8	ja	ja	ADV	ADV	_	10	advmod	_	TokenRange=22:24
9	se	_	PART	PRT	_	10	expl:pv	_	TokenRange=25:27
10	fala	_	VERB	VERB	_	0	root	_	TokenRange=28:32
11	que	que	CCONJ	CONJ	_	20	mark	_	TokenRange=33:36
12	as	o	DET	DET	_	13	det	_	TokenRange=37:39
13	forcas	forca	NOUN	NOUN	_	16	nsubj	_	TokenRange=40:46
14	armadas	armado	ADJ	ADJ	_	13	amod	_	TokenRange=47:54
15	poderao	poder	AUX	AUX	_	16	aux	_	TokenRange=55:62
16	assumir	assumir	VERB	VERB	_	10	csubj	_	TokenRange=63:70
17	o	o	DET	DET	_	18	det	_	TokenRange=71:72
18	poder	poder	NOUN	NOUN	_	16	obj	_	TokenRange=73:78
19	estou	estar	AUX	AUX	_	20	aux	_	TokenRange=79:84
20	saindo	sair	VERB	VERB	_	10	ccomp	_	TokenRange=85:91
21-22	da	_	_	_	_	_	_	_	TokenRange=92:94
21	de	de	ADP	ADP	_	23	case	_	_
22	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	23	det	_	_
23	camara	camara	NOUN	NOUN	_	20	nmod	_	TokenRange=95:101
24	federal	federal	ADJ	ADJ	_	23	amod	_	TokenRange=102:109
25	nesse	_	ADP	ADP	_	26	case	_	TokenRange=110:115
26	momento	momento	NOUN	NOUN	_	20	nmod	_	TokenRange=116:123
27	o	o	DET	DET	_	28	det	_	TokenRange=124:125
28	clima	clima	NOUN	NOUN	_	20	nsubj	_	TokenRange=126:131
29	em	em	ADP	ADP	_	30	case	_	TokenRange=132:134
30	brasilia	brasilia	NOUN	NOUN	_	28	nmod	_	TokenRange=135:143
31	esta	_	DET	DET	_	33	det	_	TokenRange=144:148
32	quente	quente	ADJ	ADJ	_	33	amod	_	TokenRange=149:155
33	buzinaco	buzinaco	NOUN	NOUN	_	40	nsubj	_	TokenRange=156:164
34	quebraquebra	quebraquebra	ADJ	NOUN	_	33	amod	_	TokenRange=165:177
35-36	nas	_	_	_	_	_	_	_	TokenRange=178:181
