# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = 5 tweets que mostram que a principal defensora de dilma no senado nao e tao fiel como voce pensa apos o depoimento de dilma no senado a senadora katia abreu foi a primeira a discursar katia ficou revoltada com o impeachment da expresidenta e defendeu dilma com unhas e dentes ha alguns anos a mesma katia abreu nao era tao fa do pt e de seus lideres o site implicante foi muito feliz em uma materia e resolveu resgatar algumas postagens antigas da senadora confira
1	5	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:1
2	tweets	_	NOUN	NOUN	_	35	nsubj	_	TokenRange=2:8
3	que	_	PRON	PRON	_	4	nsubj	_	TokenRange=9:12
4	mostram	mostrar	VERB	VERB	_	2	acl:relcl	_	TokenRange=13:20
5	que	que	CCONJ	CONJ	_	15	mark	_	TokenRange=21:24
6	a	o	DET	DET	_	8	det	_	TokenRange=25:26
7	principal	principal	ADJ	ADJ	_	8	amod	_	TokenRange=27:36
8	defensora	defensor	NOUN	NOUN	_	15	nsubj	_	TokenRange=37:46
9	de	de	ADP	ADP	_	10	case	_	TokenRange=47:49
10	dilma	dilma	NOUN	NOUN	_	8	nmod	_	TokenRange=50:55
11-12	no	_	_	_	_	_	_	_	TokenRange=56:58
11	em	em	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	senado	senado	NOUN	NOUN	_	8	nmod	_	TokenRange=59:65
14	nao	nao	ADV	ADV	Polarity=Neg	15	advmod	_	TokenRange=66:69
15	e	er	VERB	VERB	_	4	ccomp	_	TokenRange=70:71
16	tao	tao	ADV	ADV	_	17	advmod	_	TokenRange=72:75
17	fiel	fiel	ADJ	ADJ	_	15	xcomp	_	TokenRange=76:80
18	como	_	CCONJ	CONJ	_	20	mark	_	TokenRange=81:85
19	voce	_	PRON	PRON	_	20	nsubj	_	TokenRange=86:90
20	pensa	pensar	VERB	VERB	_	15	advcl	_	TokenRange=91:96
21	apos	_	ADP	ADP	_	23	case	_	TokenRange=97:101
22	o	o	DET	DET	_	23	det	_	TokenRange=102:103
23	depoimento	depoimento	NOUN	NOUN	_	20	nmod	_	TokenRange=104:114
24	de	de	ADP	ADP	_	25	case	_	TokenRange=115:117
25	dilma	dilma	NOUN	NOUN	_	23	nmod	_	TokenRange=118:123
26-27	no	_	_	_	_	_	_	_	TokenRange=124:126
26	em	em	ADP	ADP	_	28	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	senado	senado	NOUN	NOUN	_	23	nmod	_	TokenRange=127:133
29	a	o	DET	DET	_	30	det	_	TokenRange=134:135
30	senadora	senador	NOUN	NOUN	_	35	nsubj	_	TokenRange=136:144
31	katia	_	NOUN	NOUN	_	30	appos	_	TokenRange=145:150
32	abreu	_	ADJ	ADJ	_	31	flat	_	TokenRange=151:156
33	foi	_	AUX	AUX	_	35	cop	_	TokenRange=157:160
34	a	o	DET	DET	_	35	det	_	TokenRange=161:162
35	primeira	primeiro	NOUN	NOUN	_	0	root	_	TokenRange=163:171
36	a	_	ADP	ADP	_	37	mark	_	TokenRange=172:173
37	discursar	discursar	VERB	VERB	_	35	nmod	_	TokenRange=174:183
38	katia	katia	NOUN	NOUN	_	37	obj	_	TokenRange=184:189
39	ficou	ficar	VERB	VERB	_	35	acl:relcl	_	TokenRange=190:195
40	revoltada	revoltado	ADJ	ADJ	_	39	xcomp	_	TokenRange=196:205
41	com	com	ADP	ADP	_	43	case	_	TokenRange=206:209
42	o	o	DET	DET	_	43	det	_	TokenRange=210:211
43	impeachment	impeachment	NOUN	NOUN	_	40	nmod	_	TokenRange=212:223
44-45	da	_	_	_	_	_	_	_	TokenRange=224:226
44	de	de	ADP	ADP	_	46	case	_	_
45	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	46	det	_	_
46	expresidenta	expresidenta	NOUN	NOUN	_	43	nmod	_	TokenRange=227:239
47	e	e	CCONJ	CONJ	_	48	cc	_	TokenRange=240:241
48	defendeu	defender	VERB	VERB	_	39	conj	_	TokenRange=242:250
49	dilma	dilma	NOUN	NOUN	_	48	obj	_	TokenRange=251:256
50	com	com	ADP	ADP	_	51	case	_	TokenRange=257:260
51	unhas	unha	NOUN	NOUN	_	48	nmod	_	TokenRange=261:266
52	e	e	CCONJ	CONJ	_	53	cc	_	TokenRange=267:268
53	dentes	dente	NOUN	NOUN	_	51	conj	_	TokenRange=269:275
54	ha	_	VERB	VERB	_	62	advcl	_	TokenRange=276:278
55	alguns	_	DET	DET	_	56	det	_	TokenRange=279:285
56	anos	ano	NOUN	NOUN	_	54	nmod	_	TokenRange=286:290
57	a	o	DET	DET	_	59	det	_	TokenRange=291:292
58	mesma	mesmo	ADJ	ADJ	_	59	amod	_	TokenRange=293:298
59	katia	_	NOUN	NOUN	_	62	nsubj	_	TokenRange=299:304
60	abreu	_	ADJ	ADJ	_	59	amod	_	TokenRange=305:310
61	nao	nao	ADV	ADV	Polarity=Neg	62	advmod	_	TokenRange=311:314
62	era	_	VERB	VERB	_	39	conj	_	TokenRange=315:318
63	tao	tao	ADV	ADV	_	64	advmod	_	TokenRange=319:322
64	fa	fa	ADJ	ADJ	_	62	xcomp	_	TokenRange=323:325
65-66	do	_	_	_	_	_	_	_	TokenRange=326:328
65	de	de	ADP	ADP	_	67	case	_	_
66	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	67	det	_	_
67	pt	_	NOUN	NOUN	_	64	nmod	_	TokenRange=329:331
68	e	e	CCONJ	CONJ	_	71	cc	_	TokenRange=332:333
69	de	de	ADP	ADP	_	71	case	_	TokenRange=334:336
70	seus	_	DET	DET	_	71	det:poss	_	TokenRange=337:341
71	lideres	lider	NOUN	NOUN	_	67	conj	_	TokenRange=342:349
72	o	o	DET	DET	_	73	det	_	TokenRange=350:351
73	site	site	NOUN	NOUN	_	75	nsubj	_	TokenRange=352:356
74	implicante	implicante	ADJ	ADJ	_	73	amod	_	TokenRange=357:367
75	foi	_	VERB	VERB	_	62	conj	_	TokenRange=368:371
76	muito	muito	ADV	ADV	_	77	advmod	_	TokenRange=372:377
