# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = virou bagunca aluno de universidade publica tira a roupa durante aula e alega estar fazendo arte apos a polemica o queermuseu aquela exposicao de supostas obras de arte que o banco santander patrocinou um aluno da universidade federal de goias ufg decidiu transformar uma aula de arte em atentado ao pudor o caso aconteceu no dia 13/09 durante a aula de arte contemporanea na faculdade de artes visuais fav juliano ribeiro moraes o professor tratou o acontecimento como brincadeira e levou tudo na esportiva faziamos um debate sobre peter thomas o artista que fez a capa do disco sgt peppers dos beatles ele o aluno me perguntou se eu considerava a tal capa como arte eu respondi que sim entao ele me questionou se tudo pode ser considerado arte respondi que tudo depende do artista contou o professor o aluno entao saiu da sala tirou a camiseta e a saia sim e isso mesmo que voce leu ele estava de saia ate ai tudo bem problema do aluno e retornou para sua cadeira pelado e com um chapeu durante 20 minutos ele permaneceu pelado na sala considerando que sua atitude era arte os demais colegas de sala ignoraram o suposto artista peladao entao ele saiu se vestiu e voltou ostentando a camiseta e saia com que havia chegado na faculdade sera que esse mesmo aluno tem o costume de fazer arte dentro da casa de seus pais sera que ele almoca ou janta pelado na presenca de seus avos sera que ele teria coragem de fazer arte dentro de uma delegacia de policia sinceramente transformaram as faculdades publicas em verdadeiros antros de promiscuidade a questao nao e ser ou nao ser conservador ou liberal o fato e que sua liberdade termina onde comeca a dos outros vamos deixar de ser hipocritas esse cidadao merecia no minimo uma supensao da faculdade
1	virou	virar	VERB	VERB	_	0	root	_	TokenRange=0:5
2	bagunca	bagunco	NOUN	NOUN	_	1	xcomp	_	TokenRange=6:13
3	aluno	aluno	NOUN	NOUN	_	1	nsubj	_	TokenRange=14:19
4	de	de	ADP	ADP	_	5	case	_	TokenRange=20:22
5	universidade	universidade	NOUN	NOUN	_	3	nmod	_	TokenRange=23:35
6	publica	publico	ADJ	ADJ	_	5	amod	_	TokenRange=36:43
7	tira	tirar	VERB	VERB	_	1	parataxis	_	TokenRange=44:48
8	a	o	DET	DET	_	9	det	_	TokenRange=49:50
9	roupa	roupa	NOUN	NOUN	_	7	obj	_	TokenRange=51:56
10	durante	_	ADP	ADP	_	11	case	_	TokenRange=57:64
11	aula	aula	NOUN	NOUN	_	7	nmod	_	TokenRange=65:69
12	e	e	CCONJ	CONJ	_	13	cc	_	TokenRange=70:71
13	alega	alegar	VERB	VERB	_	1	conj	_	TokenRange=72:77
14	estar	estar	AUX	AUX	_	15	aux	_	TokenRange=78:83
15	fazendo	fazer	VERB	VERB	_	13	xcomp	_	TokenRange=84:91
16	arte	arte	NOUN	NOUN	_	15	obj	_	TokenRange=92:96
17	apos	_	ADP	ADP	_	19	case	_	TokenRange=97:101
18	a	o	DET	DET	_	19	det	_	TokenRange=102:103
19	polemica	_	NOUN	NOUN	_	15	nmod	_	TokenRange=104:112
20	o	o	DET	DET	_	21	det	_	TokenRange=113:114
21	queermuseu	_	NOUN	NOUN	_	15	obj	_	TokenRange=115:125
22	aquela	_	DET	DET	_	23	det	_	TokenRange=126:132
23	exposicao	exposicao	NOUN	NOUN	_	21	appos	_	TokenRange=133:142
24	de	de	ADP	ADP	_	26	case	_	TokenRange=143:145
25	supostas	suposto	ADJ	ADJ	_	26	amod	_	TokenRange=146:154
26	obras	obra	NOUN	NOUN	_	23	nmod	_	TokenRange=155:160
27	de	de	ADP	ADP	_	28	case	_	TokenRange=161:163
28	arte	arte	NOUN	NOUN	_	26	nmod	_	TokenRange=164:168
29	que	_	PRON	PRON	_	33	obj	_	TokenRange=169:172
30	o	o	DET	DET	_	31	det	_	TokenRange=173:174
31	banco	banco	NOUN	NOUN	_	33	nsubj	_	TokenRange=175:180
32	santander	santander	NOUN	NOUN	_	31	flat	_	TokenRange=181:190
33	patrocinou	patrocinar	VERB	VERB	_	23	acl:relcl	_	TokenRange=191:201
34	um	um	DET	DET	_	35	det	_	TokenRange=202:204
35	aluno	aluno	NOUN	NOUN	_	33	obj	_	TokenRange=205:210
36-37	da	_	_	_	_	_	_	_	TokenRange=211:213
36	de	de	ADP	ADP	_	38	case	_	_
37	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	38	det	_	_
38	universidade	universidade	NOUN	NOUN	_	35	nmod	_	TokenRange=214:226
39	federal	federal	ADJ	ADJ	_	38	amod	_	TokenRange=227:234
40	de	de	ADP	ADP	_	41	case	_	TokenRange=235:237
41	goias	goia	NOUN	NOUN	_	38	nmod	_	TokenRange=238:243
42	ufg	_	PROPN	PNOUN	_	31	appos	_	TokenRange=244:247
43	decidiu	decidir	VERB	VERB	_	1	parataxis	_	TokenRange=248:255
44	transformar	transformar	VERB	VERB	_	43	xcomp	_	TokenRange=256:267
45	uma	um	DET	DET	_	46	det	_	TokenRange=268:271
46	aula	aula	NOUN	NOUN	_	44	obj	_	TokenRange=272:276
47	de	de	ADP	ADP	_	48	case	_	TokenRange=277:279
48	arte	arte	NOUN	NOUN	_	46	nmod	_	TokenRange=280:284
49	em	em	ADP	ADP	_	50	case	_	TokenRange=285:287
50	atentado	atentado	NOUN	NOUN	_	44	nmod	_	TokenRange=288:296
51-52	ao	_	_	_	_	_	_	_	TokenRange=297:299
51	a	a	ADP	ADP	_	53	case	_	_
52	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	53	det	_	_
53	pudor	pudor	NOUN	NOUN	_	50	nmod	_	TokenRange=300:305
54	o	o	DET	DET	_	55	det	_	TokenRange=306:307
55	caso	caso	NOUN	NOUN	_	56	nsubj	_	TokenRange=308:312
56	aconteceu	acontecer	VERB	VERB	_	1	parataxis	_	TokenRange=313:322
57-58	no	_	_	_	_	_	_	_	TokenRange=323:325
57	em	em	ADP	ADP	_	59	case	_	_
58	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	59	det	_	_
59	dia	dia	NOUN	NOUN	_	56	nmod	_	TokenRange=326:329
60	13/09	_	NUM	NUM	NumType=Card	59	nmod	_	TokenRange=330:335
61	durante	_	ADP	ADP	_	63	case	_	TokenRange=336:343
62	a	o	DET	DET	_	63	det	_	TokenRange=344:345
63	aula	aula	NOUN	NOUN	_	56	nmod	_	TokenRange=346:350
64	de	de	ADP	ADP	_	65	case	_	TokenRange=351:353
65	arte	arte	NOUN	NOUN	_	63	nmod	_	TokenRange=354:358
66	contemporanea	contemporaneo	ADJ	ADJ	_	65	amod	_	TokenRange=359:372
67-68	na	_	_	_	_	_	_	_	TokenRange=373:375
67	em	em	ADP	ADP	_	69	case	_	_
68	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	69	det	_	_
69	faculdade	faculdade	NOUN	NOUN	_	221	nmod	_	TokenRange=376:385
70	de	de	ADP	ADP	_	71	case	_	TokenRange=386:388
71	artes	arte	NOUN	NOUN	_	69	nmod	_	TokenRange=389:394
72	visuais	visual	ADJ	ADJ	_	71	amod	_	TokenRange=395:402
73	fav	_	NOUN	NOUN	_	69	appos	_	TokenRange=403:406
74	juliano	_	NOUN	NOUN	_	73	appos	_	TokenRange=407:414
75	ribeiro	ribeiro	ADJ	ADJ	_	74	flat	_	TokenRange=415:422
76	moraes	_	ADJ	ADJ	_	74	flat	_	TokenRange=423:429
77	o	o	DET	DET	_	78	det	_	TokenRange=430:431
78	professor	professor	NOUN	NOUN	_	43	nsubj	_	TokenRange=432:441
79	tratou	tratar	VERB	VERB	_	1	parataxis	_	TokenRange=442:448
80	o	o	DET	DET	_	81	det	_	TokenRange=449:450
81	acontecimento	acontecimento	NOUN	NOUN	_	79	obj	_	TokenRange=451:464
82	como	como	ADP	ADP	_	83	case	_	TokenRange=465:469
83	brincadeira	brincadeira	NOUN	NOUN	_	79	nmod	_	TokenRange=470:481
84	e	e	CCONJ	CONJ	_	85	cc	_	TokenRange=482:483
