# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = olha ele ai de novo filho de lula nao trabalhou mas recebeu r 500 mil do clube corinthians a denuncia foi feita por bela megale e camila mattoso para o jornal folha/sp alvo da operacao zelotes o filho do expresidente lula recebeu cerca de r 500 mil entre 2011 e 2013 do clube corinthians sem ter prestados servicos nao me lembro de nenhuma tarefa que ele tenha sido convocado para desenvolver ou que ele tenha realizado algo o responsavel pelo marketing do corinthians o economista luis paulo rosenberg afirmou que nao se lembra de nenhuma atividade que ele tenha sido convocado para desenvolver no clube outras pessoas que tem ou tiveram relacao o marketing do corinthians tambem garantiram que nunca houve servicos realizados pelo filho prodigio de lula abaixo trecho da folha/sp os pagamentos do corinthians para luis claudio ocorridos entre 2011 e 2013 coincidem parcialmente com o periodo da construcao com emprestimos federais do estadio do clube em sao paulo de 2011 a 2014 a coincidencia de datas abrira uma nova frente de investigacao da policia federal na zelotes segundo investigadores o corinthians time de lula o foi o primeiro cliente da carreira de empresario de marketing esportivo de luis claudio iniciada com a criacao da empresa lft em 2011 em novembro de 2015 a revista epoca que teve acesso ao depoimento de luis claudio a pf revelou que o filho de lula afirmou ter recebido ao menos r 300 mil por ano do corinthians neste periodo
1	olha	olhar	VERB	VERB	_	0	root	_	TokenRange=0:4
2	ele	_	PRON	PRON	_	1	nsubj	_	TokenRange=5:8
3	ai	ai	ADV	ADV	_	1	advmod	_	TokenRange=9:11
4	de	_	ADP	ADP	_	6	case	_	TokenRange=12:14
5	novo	novo	ADJ	ADJ	_	6	amod	_	TokenRange=15:19
6	filho	filho	NOUN	NOUN	_	3	nmod	_	TokenRange=20:25
7	de	de	ADP	ADP	_	8	case	_	TokenRange=26:28
8	lula	lula	NOUN	NOUN	_	6	nmod	_	TokenRange=29:33
9	nao	nao	ADV	ADV	Polarity=Neg	10	advmod	_	TokenRange=34:37
10	trabalhou	trabalhar	VERB	VERB	_	1	ccomp	_	TokenRange=38:47
11	mas	mas	CCONJ	CONJ	_	12	cc	_	TokenRange=48:51
12	recebeu	receber	VERB	VERB	_	10	conj	_	TokenRange=52:59
13	r	r	NOUN	NOUN	_	12	obj	_	TokenRange=60:61
14	500	_	NUM	NUM	NumType=Card	15	nummod	_	TokenRange=62:65
15	mil	_	NUM	NUM	NumType=Card	13	nummod	_	TokenRange=66:69
16-17	do	_	_	_	_	_	_	_	TokenRange=70:72
16	de	de	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	clube	clube	NOUN	NOUN	_	12	nmod	_	TokenRange=73:78
19	corinthians	_	ADJ	ADJ	_	18	amod	_	TokenRange=79:90
20	a	o	DET	DET	_	21	det	_	TokenRange=91:92
21	denuncia	denuncia	NOUN	NOUN	_	23	nsubj:pass	_	TokenRange=93:101
22	foi	_	AUX	AUX	_	23	aux:pass	_	TokenRange=102:105
23	feita	_	VERB	VERB	_	1	conj	_	TokenRange=106:111
24	por	por	ADP	ADP	_	25	case	_	TokenRange=112:115
25	bela	bela	NOUN	NOUN	_	23	nmod	_	TokenRange=116:120
26	megale	_	NOUN	NOUN	_	25	flat	_	TokenRange=121:127
27	e	e	CCONJ	CONJ	_	28	cc	_	TokenRange=128:129
28	camila	camila	NOUN	NOUN	_	25	conj	_	TokenRange=130:136
29	mattoso	mattoso	ADJ	ADJ	_	28	amod	_	TokenRange=137:144
