# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acredite se quiser aeronave que transportava ministro do stf nao possuia caixa preta a informacao foi passada a veja atraves da assessoria de imprensa da forca aerea brasileira a aeronave era do modelo king air c90gt da fabricante hawker beechcraft modelo 2007 de acordo com especialistas era um aviao praticamente novo o king air c90gt e considerado uma aeronave segura e confiavel o piloto luis guilherme andrade dono de uma escola de aviacao disse e uma aviao muito seguro consegue voar com um so motor oito acidentes foram registrados com esse tipo de aeronave desde 2010 resultando em onze mortes leia tambem
1	acredite	acreditar	VERB	VERB	_	0	root	_	TokenRange=0:8
2	se	_	CCONJ	CONJ	_	3	mark	_	TokenRange=9:11
3	quiser	querer	VERB	VERB	_	1	ccomp	_	TokenRange=12:18
4	aeronave	aeronave	NOUN	NOUN	_	3	obj	_	TokenRange=19:27
5	que	_	PRON	PRON	_	6	nsubj	_	TokenRange=28:31
6	transportava	transportar	VERB	VERB	_	4	acl:relcl	_	TokenRange=32:44
7	ministro	ministro	NOUN	NOUN	_	6	obj	_	TokenRange=45:53
8-9	do	_	_	_	_	_	_	_	TokenRange=54:56
8	de	de	ADP	ADP	_	10	case	_	_
9	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	10	det	_	_
10	stf	_	NOUN	NOUN	_	7	nmod	_	TokenRange=57:60
11	nao	nao	ADV	ADV	Polarity=Neg	12	advmod	_	TokenRange=61:64
12	possuia	possuir	VERB	VERB	_	1	ccomp	_	TokenRange=65:72
13	caixa	caixa	NOUN	NOUN	_	12	obj	_	TokenRange=73:78
14	preta	preto	ADJ	ADJ	_	13	amod	_	TokenRange=79:84
15	a	o	DET	DET	_	16	det	_	TokenRange=85:86
16	informacao	informacao	NOUN	NOUN	_	18	nsubj:pass	_	TokenRange=87:97
17	foi	_	AUX	AUX	_	18	aux:pass	_	TokenRange=98:101
18	passada	passar	VERB	VERB	_	1	ccomp	_	TokenRange=102:109
19	a	_	ADP	ADP	_	20	mark	_	TokenRange=110:111
20	veja	ver	VERB	VERB	_	18	nmod	_	TokenRange=112:116
21	atraves	atraves	ADV	ADV	_	20	advmod	_	TokenRange=117:124
22-23	da	_	_	_	_	_	_	_	TokenRange=125:127
22	de	de	ADP	ADP	_	24	case	_	_
23	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	24	det	_	_
24	assessoria	assessoria	NOUN	NOUN	_	21	nmod	_	TokenRange=128:138
25	de	de	ADP	ADP	_	26	case	_	TokenRange=139:141
26	imprensa	imprensa	NOUN	NOUN	_	24	nmod	_	TokenRange=142:150
27-28	da	_	_	_	_	_	_	_	TokenRange=151:153
27	de	de	ADP	ADP	_	29	case	_	_
28	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	29	det	_	_
29	forca	forca	NOUN	NOUN	_	24	nmod	_	TokenRange=154:159
30	aerea	aereo	ADJ	ADJ	_	29	amod	_	TokenRange=160:165
31	brasileira	brasileiro	ADJ	ADJ	_	29	amod	_	TokenRange=166:176
32	a	o	DET	DET	_	33	det	_	TokenRange=177:178
33	aeronave	aeronave	NOUN	NOUN	_	34	nsubj	_	TokenRange=179:187
34	era	_	VERB	VERB	_	1	ccomp	_	TokenRange=188:191
35-36	do	_	_	_	_	_	_	_	TokenRange=192:194
35	de	de	ADP	ADP	_	37	case	_	_
36	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	37	det	_	_
37	modelo	modelo	NOUN	NOUN	_	34	nmod	_	TokenRange=195:201
38	king	_	NOUN	NOUN	_	37	appos	_	TokenRange=202:206
39	air	_	NOUN	NOUN	_	38	flat	_	TokenRange=207:210
40	c90gt	_	NOUN	NOUN	_	38	flat	_	TokenRange=211:216
41-42	da	_	_	_	_	_	_	_	TokenRange=217:219
41	de	de	ADP	ADP	_	43	case	_	_
42	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	43	det	_	_
43	fabricante	fabricante	NOUN	NOUN	_	37	nmod	_	TokenRange=220:230
44	hawker	_	NOUN	NOUN	_	43	appos	_	TokenRange=231:237
45	beechcraft	_	NOUN	NOUN	_	44	flat	_	TokenRange=238:248
46	modelo	modelo	NOUN	NOUN	_	44	appos	_	TokenRange=249:255
47	2007	_	NUM	NUM	NumType=Card	46	appos	_	TokenRange=256:260
48	de	de	ADP	ADP	_	49	case	_	TokenRange=261:263
49	acordo	acordo	NOUN	NOUN	_	34	nmod	_	TokenRange=264:270
50	com	com	ADP	ADP	_	51	case	_	TokenRange=271:274
51	especialistas	especialista	NOUN	NOUN	_	49	nmod	_	TokenRange=275:288
52	era	_	AUX	AUX	_	54	cop	_	TokenRange=289:292
53	um	um	DET	DET	_	54	det	_	TokenRange=293:295
54	aviao	aviao	NOUN	NOUN	_	1	ccomp	_	TokenRange=296:301
55	praticamente	praticamente	ADV	ADV	_	56	advmod	_	TokenRange=302:314
56	novo	novo	ADJ	ADJ	_	54	amod	_	TokenRange=315:319
57	o	o	DET	DET	_	58	det	_	TokenRange=320:321
58	king	_	NOUN	NOUN	_	54	nsubj	_	TokenRange=322:326
59	air	_	NOUN	NOUN	_	58	flat	_	TokenRange=327:330
60	c90gt	_	NUM	NUM	_	58	flat	_	TokenRange=331:336
61	e	e	CCONJ	CONJ	_	64	cc	_	TokenRange=337:338
62	considerado	considerar	AUX	AUX	_	64	cop	_	TokenRange=339:350
63	uma	um	DET	DET	_	64	det	_	TokenRange=351:354
