# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = pediram para nao citar o nome do presidente no microfone a que ponto chegou o brasil aos 76 anos de idade ele ostenta o cargo maximo da nacao brasileira e tem que se esconder por domenico goncalves garcia de braganca/portugal nasci em portugal e me naturalizei brazuca ao casar com o amor de minha vida com quem estou ha 28 anos hoje presenciei minha patria irma sofrendo com o velorio das criancas da chapecoense durante meus 68 anos de vida jamais presenciei um pais tao unido por uma causa unica foi lindo e uma pena que essa uniao tenha sido causada por uma tragedia acompanhei pela tv a cabo todo o sofrimento de um povo por varias horas eu pude me sentir um verdadeiro brasileiro nunca tinha ouvido falar da cidade de chapeco ate acontecer uma tragedia de proporcoes mundiais a dor do brasil me doeu na alma orei pelos jovens que se foram tao cedo me emocionei com a voz do famoso cid moreira citando versos da biblia durante a cerimonia de despedida dos herois da chapecoense de todas as cenas que presenciei diante da tv a que mais me chamou a atencao foi assistir um presidente da republica encolhido em um canto como se fosse um nada um ze ninguem todo povo carece de um lider conversei com minha esposa e fiquei desolado ao ver o que fizeram com o brasil de imediato peguei meu celular e liguei para alguns contatos pessoais ja que minha companheira e uma exfuncionaria do itamaraty a resposta que obtive leia abaixo amigo quando o cerimonial da presidencia da republica chegou na cidade de chapeco a primeira coisa que fizeram foi procurar as autoridades locais e exigir uma unica coisa nao mencionem o nome do presidente da republica em hipotese alguma a tristeza tomou conta de mim e choramos eu e minha esposa o que fizeram com o brasil
1	pediram	pedir	VERB	VERB	_	0	root	_	TokenRange=0:7
2	para	_	ADP	ADP	_	4	mark	_	TokenRange=8:12
3	nao	nao	ADV	ADV	Polarity=Neg	4	advmod	_	TokenRange=13:16
4	citar	citar	VERB	VERB	_	1	nmod	_	TokenRange=17:22
5	o	o	DET	DET	_	6	det	_	TokenRange=23:24
6	nome	nome	NOUN	NOUN	_	4	obj	_	TokenRange=25:29
7-8	do	_	_	_	_	_	_	_	TokenRange=30:32
7	de	de	ADP	ADP	_	9	case	_	_
8	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	9	det	_	_
9	presidente	presidente	NOUN	NOUN	_	6	nmod	_	TokenRange=33:43
10-11	no	_	_	_	_	_	_	_	TokenRange=44:46
10	em	em	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	microfone	microfone	NOUN	NOUN	_	4	nmod	_	TokenRange=47:56
13	a	_	ADP	ADP	_	15	case	_	TokenRange=57:58
14	que	_	DET	DET	_	15	det	_	TokenRange=59:62
15	ponto	ponto	NOUN	NOUN	_	16	nmod	_	TokenRange=63:68
16	chegou	chegar	VERB	VERB	_	1	advcl	_	TokenRange=69:75
17	o	o	DET	DET	_	18	det	_	TokenRange=76:77
18	brasil	brasil	NOUN	NOUN	_	16	nsubj	_	TokenRange=78:84
19-20	aos	_	_	_	_	_	_	_	TokenRange=85:88
19	a	a	ADP	ADP	_	22	case	_	_
20	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	22	det	_	_
21	76	_	NUM	NUM	NumType=Card	22	nummod	_	TokenRange=89:91
