# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = emocionante jovem de 27 anos morre de cancer e deixa licao de vida divulgada na internet
1	emocionante	emocionante	ADJ	ADJ	_	2	amod	_	TokenRange=0:11
2	jovem	jovem	NOUN	NOUN	_	6	nsubj	_	TokenRange=12:17
3	de	de	ADP	ADP	_	5	case	_	TokenRange=18:20
4	27	_	NUM	NUM	NumType=Card	5	nummod	_	TokenRange=21:23
5	anos	ano	NOUN	NOUN	_	2	nmod	_	TokenRange=24:28
6	morre	morrer	VERB	VERB	_	0	root	_	TokenRange=29:34
7	de	de	ADP	ADP	_	8	case	_	TokenRange=35:37
8	cancer	cancer	NOUN	NOUN	_	6	nmod	_	TokenRange=38:44
9	e	e	CCONJ	CONJ	_	10	cc	_	TokenRange=45:46
10	deixa	deixar	VERB	VERB	_	6	conj	_	TokenRange=47:52
11	licao	licao	NOUN	NOUN	_	10	obj	_	TokenRange=53:58
12	de	de	ADP	ADP	_	13	case	_	TokenRange=59:61
13	vida	vida	NOUN	NOUN	_	11	nmod	_	TokenRange=62:66
14	divulgada	divulgar	VERB	VERB	_	11	acl	_	TokenRange=67:76
15-16	na	_	_	_	_	_	_	_	TokenRange=77:79
15	em	em	ADP	ADP	_	17	case	_	_
16	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	17	det	_	_
17	internet	_	PROPN	PNOUN	_	14	nmod	_	SpacesAfter=\s\s|TokenRange=80:88

