# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acredite se quiser deputado cria projeto para cobrar imposto sobre o vento parece piada de mau gosto mas nao e quando se trata de criar taxas o brasil e profissional nesse quesito o deputado heraclito fortes o famoso boca mole que aparece nas planilhas de propina da odebrecht quer cobrar impostos sobre o vento e isso mesmo que voce leu imposto sobre o vento a pec 97/2015 propoe que o vento seja estatizado passe para o dominio do governo e haja pagamento de impostos sobre o seu uso segundo a proposta os ventos sao um recurso que pertence a todo o povo brasileiro e portanto os parques eolicos que produzem energia eletrica a partir dos ventos devem gerar compensacao financeira a uniao o projeto insano do deputado transforma o potencial energetico dos ventos em patrimonio da uniao ensejando o pagamento de royalties pela sua exploracao realmente o brasil e a terra oficial dos politicos malandros e sem visao de futuro
1	acredite	acreditar	VERB	VERB	_	13	parataxis	_	TokenRange=0:8
2	se	_	CCONJ	CONJ	_	3	mark	_	TokenRange=9:11
3	quiser	querer	VERB	VERB	_	5	csubj	_	TokenRange=12:18
4	deputado	deputado	NOUN	NOUN	_	3	obj	_	TokenRange=19:27
5	cria	_	VERB	VERB	_	1	ccomp	_	TokenRange=28:32
6	projeto	projeto	NOUN	NOUN	_	5	obj	_	TokenRange=33:40
7	para	_	ADP	ADP	_	8	mark	_	TokenRange=41:45
8	cobrar	cobrar	VERB	VERB	_	6	nmod	_	TokenRange=46:52
9	imposto	imposto	NOUN	NOUN	_	8	obj	_	TokenRange=53:60
10	sobre	_	ADP	ADP	_	12	case	_	TokenRange=61:66
11	o	o	DET	DET	_	12	det	_	TokenRange=67:68
12	vento	vento	NOUN	NOUN	_	9	nmod	_	TokenRange=69:74
13	parece	parecer	VERB	VERB	_	0	root	_	TokenRange=75:81
14	piada	piada	NOUN	NOUN	_	13	nsubj	_	TokenRange=82:87
15	de	de	ADP	ADP	_	17	case	_	TokenRange=88:90
16	mau	mau	ADJ	ADJ	_	17	amod	_	TokenRange=91:94
17	gosto	gosto	NOUN	NOUN	_	14	nmod	_	TokenRange=95:100
18	mas	mas	CCONJ	CONJ	_	51	cc	_	TokenRange=101:104
19	nao	nao	ADV	ADV	_	51	advmod	_	TokenRange=105:108
20	e	e	CCONJ	CONJ	_	51	cc	_	TokenRange=109:110
21	quando	_	CCONJ	CONJ	_	23	mark	_	TokenRange=111:117
22	se	_	PRON	PRON	_	23	expl:pv	_	TokenRange=118:120
23	trata	tratar	VERB	VERB	_	51	advcl	_	TokenRange=121:126
24	de	_	ADP	ADP	_	25	mark	_	TokenRange=127:129
25	criar	criar	VERB	VERB	_	23	nmod	_	TokenRange=130:135
26	taxas	taxa	NOUN	NOUN	_	25	obj	_	TokenRange=136:141
27	o	o	DET	DET	_	28	det	_	TokenRange=142:143
28	brasil	brasil	NOUN	NOUN	_	5	nsubj	_	TokenRange=144:150
29	e	e	CCONJ	CONJ	_	30	cc	_	TokenRange=151:152
