# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = cidadao que chamou petistas de meliantes e condenado a pagar indenizacao de r 100 um real um corretor de imoveis de piracicaba interior de sp foi condenado a indenizar o pt em r 1 hum real bruno prata fez uma publicacao em um jornal da cidade e usou a expressao meliantes para se referir aos petistas o diretorio do pt local abriu um processo contra o corretor que acabou condenado pelo juiz na sentenca o juiz eduardo velho neto da 1 vara civel local estabeleceu r 100 a indenizacao a ser paga por bruno o juiz ainda destacou na sentenca ouso dizer que o pt e o unico partido quer em ambito nacional ou internacional que tem dentre seus filiados a unica alma pura existente na face da terra abaixo um print da sentenca
1	cidadao	cidadao	NOUN	NOUN	_	27	nsubj:pass	_	TokenRange=0:7
2	que	_	PRON	PRON	_	3	nsubj	_	TokenRange=8:11
3	chamou	chamar	VERB	VERB	_	1	acl:relcl	_	TokenRange=12:18
4	petistas	petista	NOUN	NOUN	_	3	obj	_	TokenRange=19:27
5	de	de	ADP	ADP	_	6	case	_	TokenRange=28:30
6	meliantes	meliante	NOUN	NOUN	_	4	nmod	_	TokenRange=31:40
7	e	e	CCONJ	CONJ	_	8	cc	_	TokenRange=41:42
8	condenado	condenar	VERB	VERB	_	3	conj	_	TokenRange=43:52
9	a	_	ADP	ADP	_	10	mark	_	TokenRange=53:54
10	pagar	pagar	VERB	VERB	_	8	nmod	_	TokenRange=55:60
11	indenizacao	_	NOUN	NOUN	_	10	obj	_	TokenRange=61:72
12	de	de	ADP	ADP	_	13	case	_	TokenRange=73:75
13	r	r	NOUN	NOUN	_	11	nmod	_	TokenRange=76:77
14	100	_	NUM	NUM	NumType=Card	13	appos	_	TokenRange=78:81
15	um	um	DET	DET	_	16	det	_	TokenRange=82:84
16	real	real	NOUN	NOUN	_	8	obj	_	TokenRange=85:89
17	um	um	DET	DET	_	18	det	_	TokenRange=90:92
18	corretor	corretor	NOUN	NOUN	_	39	nsubj	_	TokenRange=93:101
19	de	de	ADP	ADP	_	20	case	_	TokenRange=102:104
20	imoveis	imovel	NOUN	NOUN	_	18	nmod	_	TokenRange=105:112
21	de	de	ADP	ADP	_	22	case	_	TokenRange=113:115
22	piracicaba	piracicaba	NOUN	NOUN	_	18	nmod	_	TokenRange=116:126
23	interior	interior	ADJ	ADJ	_	22	amod	_	TokenRange=127:135
24	de	de	ADP	ADP	_	25	case	_	TokenRange=136:138
25	sp	_	NOUN	NOUN	_	22	nmod	_	TokenRange=139:141
26	foi	_	AUX	AUX	_	27	aux:pass	_	TokenRange=142:145
27	condenado	condenar	VERB	VERB	_	0	root	_	TokenRange=146:155
28	a	_	ADP	ADP	_	29	mark	_	TokenRange=156:157
29	indenizar	indenizar	VERB	VERB	_	27	nmod	_	TokenRange=158:167
30	o	o	DET	DET	_	31	det	_	TokenRange=168:169
31	pt	_	NOUN	NOUN	_	29	obj	_	TokenRange=170:172
32	em	em	ADP	ADP	_	33	case	_	TokenRange=173:175
33	r	r	NOUN	NOUN	_	29	nmod	_	TokenRange=176:177
34	1	_	NUM	NUM	NumType=Card	33	appos	_	TokenRange=178:179
35	hum	hum	NOUN	NOUN	_	39	obj	_	TokenRange=180:183
36	real	real	ADJ	ADJ	_	35	amod	_	TokenRange=184:188
