# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = imagina esse cara no debate em 2018 cadeia e lugar para tirar o canalha da sociedade e nao para recuperalo cadeia e igual coracao de mae sempre cabe mais bolsonaro a violencia esta ai o povo fica com pena de marginais esse pessoal nao tem recuperacao tem gente que fica com pena de presidiario la na cadeia e o lugar deles pagarem seus pecados o objetivo da cadeia e tirar o canalha da sociedade e nao recuperalo e quem acha que tem recuperacao que de exemplo leve o cara pra trabalhar na sua casa e deixa ele dirigir o carro da tua esposa ou da tua filha
1	imagina	imaginar	VERB	VERB	_	0	root	_	TokenRange=0:7
2	esse	_	DET	DET	_	3	det	_	TokenRange=8:12
3	cara	cara	NOUN	NOUN	_	1	obj	_	TokenRange=13:17
4-5	no	_	_	_	_	_	_	_	TokenRange=18:20
4	em	em	ADP	ADP	_	6	case	_	_
5	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	6	det	_	_
6	debate	debate	NOUN	NOUN	_	1	nmod	_	TokenRange=21:27
7	em	em	ADP	ADP	_	8	case	_	TokenRange=28:30
8	2018	_	NUM	NUM	NumType=Card	1	nmod	_	TokenRange=31:35
9	cadeia	cadeia	NOUN	NOUN	_	1	nsubj	_	TokenRange=36:42
10	e	e	CCONJ	CONJ	_	11	cc	_	TokenRange=43:44
11	lugar	lugar	NOUN	NOUN	_	9	conj	_	TokenRange=45:50
12	para	_	ADP	ADP	_	13	mark	_	TokenRange=51:55
13	tirar	tirar	VERB	VERB	_	11	nmod	_	TokenRange=56:61
14	o	o	DET	DET	_	15	det	_	TokenRange=62:63
15	canalha	canalha	NOUN	NOUN	_	13	obj	_	TokenRange=64:71
16-17	da	_	_	_	_	_	_	_	TokenRange=72:74
16	de	de	ADP	ADP	_	18	case	_	_
17	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	18	det	_	_
18	sociedade	sociedade	NOUN	NOUN	_	15	nmod	_	TokenRange=75:84
19	e	e	CCONJ	CONJ	_	22	cc	_	TokenRange=85:86
20	nao	nao	ADV	ADV	Polarity=Neg	22	advmod	_	TokenRange=87:90
21	para	_	ADP	ADP	_	22	mark	_	TokenRange=91:95
22	recuperalo	recuperalo	VERB	VERB	_	13	conj	_	TokenRange=96:106
23	cadeia	cadeia	NOUN	NOUN	_	22	obj	_	TokenRange=107:113
24	e	e	CCONJ	CONJ	_	26	cc	_	TokenRange=114:115
25	igual	igual	ADJ	ADJ	_	26	amod	_	TokenRange=116:121
26	coracao	coracao	NOUN	NOUN	_	23	conj	_	TokenRange=122:129
27	de	de	ADP	ADP	_	28	case	_	TokenRange=130:132
28	mae	mae	NOUN	NOUN	_	26	nmod	_	TokenRange=133:136
29	sempre	sempre	ADV	ADV	_	30	advmod	_	TokenRange=137:143
30	cabe	caber	VERB	VERB	_	26	acl:relcl	_	TokenRange=144:148
31	mais	mais	ADV	ADV	_	32	advmod	_	TokenRange=149:153
32	bolsonaro	bolsonaro	ADJ	ADJ	_	30	xcomp	_	TokenRange=154:163
33	a	o	DET	DET	_	34	det	_	TokenRange=164:165
34	violencia	violencia	NOUN	NOUN	_	30	nsubj	_	TokenRange=166:175
35	esta	_	PRON	PRON	_	34	appos	_	TokenRange=176:180
36	ai	_	ADV	ADV	_	39	advmod	_	TokenRange=181:183
37	o	o	DET	DET	_	38	det	_	TokenRange=184:185
38	povo	povo	NOUN	NOUN	_	39	nsubj	_	TokenRange=186:190
39	fica	ficar	VERB	VERB	_	30	parataxis	_	TokenRange=191:195
40	com	com	ADP	ADP	_	41	case	_	TokenRange=196:199
41	pena	_	NOUN	NOUN	_	39	nmod	_	TokenRange=200:204
