# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ta explicado deputado que tentou anular impeachment esta atolado em dividas o politico que protagonizou um espetaculo circense a mando de dilma e lula esta atolado em dividas de campanha o deputado waldir maranhao pp esta prestes a perder sua propria casa num bairro nobre de sao luis ma materia do estado diz que o presidente em exercicio da camara deu um calote na grafica quality de r 1 3 milhao durante sua campanha para deputado federal em 2010 o tribunal da justica do maranhao ja penhorou 4 imoveis do parlamentar que provavelmente irao a leilao seria por esse motivo que maranhao se vendeu para o pt para quitar dividas
1	ta	_	AUX	AUX	_	2	aux	_	TokenRange=0:2
2	explicado	explicar	VERB	VERB	_	0	root	_	TokenRange=3:12
3	deputado	deputado	NOUN	NOUN	_	2	nsubj	_	TokenRange=13:21
4	que	_	PRON	PRON	_	5	nsubj	_	TokenRange=22:25
5	tentou	tentar	VERB	VERB	_	3	acl:relcl	_	TokenRange=26:32
6	anular	anular	VERB	VERB	_	5	xcomp	_	TokenRange=33:39
7	impeachment	impeachment	NOUN	NOUN	_	6	obj	_	TokenRange=40:51
8	esta	_	PRON	PRON	_	9	nsubj	_	TokenRange=52:56
9	atolado	_	ADJ	ADJ	_	5	xcomp	_	TokenRange=57:64
10	em	em	ADP	ADP	_	11	case	_	TokenRange=65:67
11	dividas	divida	NOUN	NOUN	_	9	nmod	_	TokenRange=68:75
12	o	o	DET	DET	_	13	det	_	TokenRange=76:77
13	politico	politico	NOUN	NOUN	_	25	nsubj	_	TokenRange=78:86
14	que	_	PRON	PRON	_	15	nsubj	_	TokenRange=87:90
15	protagonizou	protagonizar	VERB	VERB	_	13	acl:relcl	_	TokenRange=91:103
16	um	um	DET	DET	_	17	det	_	TokenRange=104:106
17	espetaculo	espetaculo	NOUN	NOUN	_	15	obj	_	TokenRange=107:117
18	circense	circense	ADJ	ADJ	_	17	amod	_	TokenRange=118:126
19	a	_	ADP	ADP	_	20	case	_	TokenRange=127:128
20	mando	mando	NOUN	NOUN	_	17	nmod	_	TokenRange=129:134
21	de	de	ADP	ADP	_	22	case	_	TokenRange=135:137
22	dilma	dilma	NOUN	NOUN	_	20	nmod	_	TokenRange=138:143
23	e	e	CCONJ	CONJ	_	24	cc	_	TokenRange=144:145
24	lula	_	NOUN	NOUN	_	22	conj	_	TokenRange=146:150
25	esta	_	PRON	PRON	_	2	conj	_	TokenRange=151:155
26	atolado	atolado	ADJ	ADJ	_	25	xcomp	_	TokenRange=156:163
27	em	em	ADP	ADP	_	28	case	_	TokenRange=164:166
28	dividas	divida	NOUN	NOUN	_	26	nmod	_	TokenRange=167:174
29	de	de	ADP	ADP	_	30	case	_	TokenRange=175:177
30	campanha	campanha	NOUN	NOUN	_	28	nmod	_	TokenRange=178:186
31	o	o	DET	DET	_	32	det	_	TokenRange=187:188
32	deputado	deputado	NOUN	NOUN	_	36	nsubj	_	TokenRange=189:197
33	waldir	_	NOUN	NOUN	_	32	appos	_	TokenRange=198:204
34	maranhao	maranhao	NOUN	NOUN	_	33	flat	_	TokenRange=205:213
35	pp	_	NOUN	NOUN	_	33	flat	_	TokenRange=214:216
36	esta	_	VERB	VERB	_	55	ccomp	_	TokenRange=217:221
37	prestes	_	ADJ	ADJ	_	36	xcomp	_	TokenRange=222:229
38	a	_	ADP	ADP	_	39	mark	_	TokenRange=230:231
39	perder	perder	VERB	VERB	_	37	nmod	_	TokenRange=232:238
40	sua	_	DET	DET	_	42	det:poss	_	TokenRange=239:242
41	propria	proprio	ADJ	ADJ	_	42	amod	_	TokenRange=243:250
42	casa	casa	NOUN	NOUN	_	39	obj	_	TokenRange=251:255
43-44	num	_	_	_	_	_	_	_	TokenRange=256:259
43	em	em	ADP	ADP	_	45	case	_	_
44	um	um	DET	DET	_	45	det	_	_
45	bairro	bairro	NOUN	NOUN	_	39	nmod	_	TokenRange=260:266
46	nobre	nobre	ADJ	ADJ	_	45	amod	_	TokenRange=267:272
47	de	de	ADP	ADP	_	48	case	_	TokenRange=273:275
48	sao	sao	NOUN	NOUN	_	45	nmod	_	TokenRange=276:279
49	luis	_	NOUN	NOUN	_	48	flat	_	TokenRange=280:284
50	ma	_	DET	DET	_	51	cc	_	TokenRange=285:287
51	materia	materia	NOUN	NOUN	_	55	nsubj	_	TokenRange=288:295
52-53	do	_	_	_	_	_	_	_	TokenRange=296:298
52	de	de	ADP	ADP	_	54	case	_	_
53	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	54	det	_	_
54	estado	estado	NOUN	NOUN	_	51	nmod	_	TokenRange=299:305
55	diz	dizer	VERB	VERB	_	2	conj	_	TokenRange=306:309
56	que	que	CCONJ	CONJ	_	64	mark	_	TokenRange=310:313
57	o	o	DET	DET	_	58	det	_	TokenRange=314:315
58	presidente	presidente	NOUN	NOUN	_	64	nsubj	_	TokenRange=316:326
59	em	em	ADP	ADP	_	60	case	_	TokenRange=327:329
60	exercicio	exercicio	NOUN	NOUN	_	58	nmod	_	TokenRange=330:339
61-62	da	_	_	_	_	_	_	_	TokenRange=340:342
61	de	de	ADP	ADP	_	63	case	_	_
