# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = mais um registro do fascismo petista deputados black blocs do pt quebram dez urnas no congresso o jornal estadao denunciou um total de dez urnas eletronicas quebradas por deputados do pt e aliados na camara
1	mais	mais	ADV	ADV	_	2	advmod	_	TokenRange=0:4
2	um	_	NUM	NUM	NumType=Card	3	nummod	_	TokenRange=5:7
3	registro	registro	NOUN	NOUN	_	14	nsubj	_	TokenRange=8:16
4-5	do	_	_	_	_	_	_	_	TokenRange=17:19
4	de	de	ADP	ADP	_	6	case	_	_
5	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	6	det	_	_
6	fascismo	fascismo	NOUN	NOUN	_	3	nmod	_	TokenRange=20:28
7	petista	petista	ADJ	ADJ	_	3	amod	_	TokenRange=29:36
8	deputados	deputado	NOUN	NOUN	_	14	nsubj	_	TokenRange=37:46
9	black	_	ADJ	ADJ	_	10	amod	_	TokenRange=47:52
10	blocs	_	NOUN	NOUN	_	8	appos	_	TokenRange=53:58
11-12	do	_	_	_	_	_	_	_	TokenRange=59:61
11	de	de	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	pt	_	PROPN	PNOUN	_	8	nmod	_	TokenRange=62:64
14	quebram	quebrar	VERB	VERB	_	0	root	_	TokenRange=65:72
15	dez	_	NUM	NUM	NumType=Card	16	nummod	_	TokenRange=73:76
16	urnas	urna	NOUN	NOUN	_	14	obj	_	TokenRange=77:82
17-18	no	_	_	_	_	_	_	_	TokenRange=83:85
17	em	em	ADP	ADP	_	19	case	_	_
18	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	19	det	_	_
19	congresso	congresso	NOUN	NOUN	_	14	nmod	_	TokenRange=86:95
20	o	o	DET	DET	_	21	det	_	TokenRange=96:97
21	jornal	jornal	NOUN	NOUN	_	23	nsubj	_	TokenRange=98:104
22	estadao	estadao	NOUN	NOUN	_	21	appos	_	TokenRange=105:112
23	denunciou	denunciar	VERB	VERB	_	14	parataxis	_	TokenRange=113:122
24	um	um	DET	DET	_	25	det	_	TokenRange=123:125
25	total	total	NOUN	NOUN	_	23	obj	_	TokenRange=126:131
26	de	de	ADP	ADP	_	28	case	_	TokenRange=132:134
27	dez	_	NUM	NUM	NumType=Card	28	nummod	_	TokenRange=135:138
28	urnas	urna	NOUN	NOUN	_	25	nmod	_	TokenRange=139:144
29	eletronicas	eletronico	ADJ	ADJ	_	28	amod	_	TokenRange=145:156
30	quebradas	quebrar	VERB	VERB	_	28	acl	_	TokenRange=157:166
31	por	por	ADP	ADP	_	32	case	_	TokenRange=167:170
32	deputados	deputado	NOUN	NOUN	_	30	nmod	_	TokenRange=171:180
33-34	do	_	_	_	_	_	_	_	TokenRange=181:183
33	de	de	ADP	ADP	_	35	case	_	_
34	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	35	det	_	_
35	pt	_	NOUN	NOUN	_	32	nmod	_	TokenRange=184:186
36	e	e	CCONJ	CONJ	_	37	cc	_	TokenRange=187:188
37	aliados	aliado	NOUN	NOUN	_	32	conj	_	TokenRange=189:196
38-39	na	_	_	_	_	_	_	_	TokenRange=197:199
38	em	em	ADP	ADP	_	40	case	_	_
39	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	40	det	_	_
40	camara	camara	NOUN	NOUN	_	30	nmod	_	TokenRange=200:206

