# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = morre marisa leticia familia de lula autoriza doacao de orgaos da exprimeira dama a exprimeiradama 66 anos teve morte cerebral confirmada 2 devido a complicacoes causadas poe um avc a pagina do expresidente lula no facebook postou um texto em que autoriza a doacao de orgaos de dona marisa a familia lula da silva agradece todas as manifestacoes de carinho e solidariedade recebidas nesses ultimos 10 dias pela recuperacao da exprimeiradama dona marisa leticia lula da silva a familia autorizou os procedimentos preparativos para a doacao dos orgaos nascida em uma familia de imigrantes italianos marisa viveu com outros 10 irmaos em um sitio ate completar 5 anos de idade a familia se mudou para sao bernardo do campo em 1955 quando completou 13 anos marisa precisou da autorizacao de seu pai para trabalhar em uma fabrica de chocolates como embaladora aos 19 anos se casou com o taxista marcos claudio com quem teve um filho com apenas 3 meses de matrimonio em 1970 ela perdeu o marido que foi assassinado a tiros em um campo de futebol em 1974 a viuva conheceu lula no sindicato dos metalurgicos de sao bernardo meses depois no mesmo ano eles se casaram e o relacionamento gerou tres filhos fabio sandro e luis claudio em 1980 quando lula estava preso marisa liderou a passeata das mulheres a favor da liberdade dos sindicalistas no ultimo dia 24 a exprimeira dama foi internada na uti do hospital siriolibanes apos sofrer um avc
1	morre	morrer	VERB	VERB	_	0	root	_	TokenRange=0:5
2	marisa	marisa	NOUN	NOUN	_	1	nsubj	_	TokenRange=6:12
3	leticia	leticia	NOUN	NOUN	_	2	flat	_	TokenRange=13:20
4	familia	familia	NOUN	NOUN	_	7	nsubj	_	TokenRange=21:28
5	de	de	ADP	ADP	_	6	case	_	TokenRange=29:31
6	lula	lula	NOUN	NOUN	_	4	nmod	_	TokenRange=32:36
7	autoriza	autorizar	VERB	VERB	_	1	parataxis	_	TokenRange=37:45
8	doacao	doacao	NOUN	NOUN	_	7	obj	_	TokenRange=46:52
9	de	de	ADP	ADP	_	10	case	_	TokenRange=53:55
10	orgaos	orgao	NOUN	NOUN	_	8	nmod	_	TokenRange=56:62
11-12	da	_	_	_	_	_	_	_	TokenRange=63:65
11	de	de	ADP	ADP	_	14	case	_	_
12	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	14	det	_	_
13	exprimeira	exprimeiro	ADJ	ADJ	_	14	amod	_	TokenRange=66:76
14	dama	dama	NOUN	NOUN	_	8	nmod	_	TokenRange=77:81
15	a	_	DET	DET	_	16	det	_	TokenRange=82:83
16	exprimeiradama	exprimeiradama	NOUN	NOUN	_	19	nsubj	_	TokenRange=84:98
17	66	_	NUM	NUM	NumType=Card	18	nummod	_	TokenRange=99:101
18	anos	ano	NOUN	NOUN	_	19	nsubj	_	TokenRange=102:106
19	teve	ter	VERB	VERB	_	1	parataxis	_	TokenRange=107:111
20	morte	morte	NOUN	NOUN	_	19	obj	_	TokenRange=112:117
21	cerebral	cerebral	ADJ	ADJ	_	20	amod	_	TokenRange=118:126
22	confirmada	confirmar	VERB	VERB	_	20	acl	_	TokenRange=127:137
23	2	_	NUM	NUM	NumType=Card	22	appos	_	TokenRange=138:139
24	devido	dever	VERB	VERB	_	26	case	_	TokenRange=140:146
25	a	_	ADP	ADP	_	24	fixed	_	TokenRange=147:148
26	complicacoes	complicacoe	NOUN	NOUN	_	19	nmod	_	TokenRange=149:161
27	causadas	causar	VERB	VERB	_	26	acl	_	TokenRange=162:170
28	poe	_	ADP	ADP	_	30	case	_	TokenRange=171:174
29	um	um	DET	DET	_	30	det	_	TokenRange=175:177
30	avc	avc	NOUN	NOUN	_	27	nmod	_	TokenRange=178:181
31	a	o	DET	DET	_	32	det	_	TokenRange=182:183
32	pagina	pagina	NOUN	NOUN	_	194	nsubj	_	TokenRange=184:190
33-34	do	_	_	_	_	_	_	_	TokenRange=191:193
33	de	de	ADP	ADP	_	35	case	_	_
34	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	35	det	_	_
35	expresidente	expresidente	NOUN	NOUN	_	32	nmod	_	TokenRange=194:206
36	lula	lula	ADJ	ADJ	_	35	amod	_	TokenRange=207:211
37-38	no	_	_	_	_	_	_	_	TokenRange=212:214
37	em	em	ADP	ADP	_	39	case	_	_
38	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	39	det	_	_
39	facebook	_	PROPN	PNOUN	_	32	nmod	_	TokenRange=215:223
40	postou	postar	VERB	VERB	_	1	parataxis	_	TokenRange=224:230
41	um	um	DET	DET	_	42	det	_	TokenRange=231:233
42	texto	texto	NOUN	NOUN	_	40	obj	_	TokenRange=234:239
43	em	em	ADP	ADP	_	44	case	_	TokenRange=240:242
44	que	_	PRON	PRON	_	45	nmod	_	TokenRange=243:246
45	autoriza	autorizar	VERB	VERB	_	42	acl:relcl	_	TokenRange=247:255
46	a	o	DET	DET	_	47	det	_	TokenRange=256:257
47	doacao	doacao	NOUN	NOUN	_	45	obj	_	TokenRange=258:264
48	de	de	ADP	ADP	_	49	case	_	TokenRange=265:267
49	orgaos	orgao	NOUN	NOUN	_	47	nmod	_	TokenRange=268:274
50	de	de	ADP	ADP	_	51	case	_	TokenRange=275:277
51	dona	_	NOUN	NOUN	_	47	nmod	_	TokenRange=278:282
52	marisa	marisa	NOUN	NOUN	_	203	flat	_	TokenRange=283:289
53	a	o	DET	DET	_	54	det	_	TokenRange=290:291
54	familia	familia	NOUN	NOUN	_	59	nsubj	_	TokenRange=292:299
55	lula	_	ADJ	ADJ	_	54	appos	_	TokenRange=300:304
56-57	da	_	_	_	_	_	_	_	TokenRange=305:307
56	de	de	ADP	ADP	_	58	case	_	_
57	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	58	det	_	_
58	silva	silva	NOUN	NOUN	_	55	nmod	_	TokenRange=308:313
59	agradece	agradecer	VERB	VERB	_	40	ccomp	_	TokenRange=314:322
60	todas	_	DET	DET	_	62	det	_	TokenRange=323:328
61	as	o	DET	DET	_	62	det	_	TokenRange=329:331
62	manifestacoes	manifestacoe	NOUN	NOUN	_	59	obj	_	TokenRange=332:345
63	de	de	ADP	ADP	_	64	case	_	TokenRange=346:348
64	carinho	carinho	NOUN	NOUN	_	62	nmod	_	TokenRange=349:356
65	e	e	CCONJ	CONJ	_	66	cc	_	TokenRange=357:358
66	solidariedade	solidariedade	NOUN	NOUN	_	64	conj	_	TokenRange=359:372
67	recebidas	receber	VERB	VERB	_	62	acl	_	TokenRange=373:382
68	nesses	_	ADP	ADP	_	71	case	_	TokenRange=383:389
69	ultimos	ultimo	ADJ	ADJ	_	71	amod	_	TokenRange=390:397
70	10	_	NUM	NUM	NumType=Card	71	nummod	_	TokenRange=398:400
71	dias	dia	NOUN	NOUN	_	67	nmod	_	TokenRange=401:405
72-73	pela	_	_	_	_	_	_	_	TokenRange=406:410
72	por	por	ADP	ADP	_	74	case	_	_
73	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	74	det	_	_
74	recuperacao	recuperacao	NOUN	NOUN	_	67	nmod	_	TokenRange=411:422
75-76	da	_	_	_	_	_	_	_	TokenRange=423:425
75	de	de	ADP	ADP	_	77	case	_	_
76	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	77	det	_	_
77	exprimeiradama	exprimeiradama	NOUN	NOUN	_	74	nmod	_	TokenRange=426:440
78	dona	_	NOUN	NOUN	_	255	nsubj:pass	_	TokenRange=441:445
79	marisa	_	NOUN	NOUN	_	78	appos	_	TokenRange=446:452
80	leticia	leticia	NOUN	NOUN	_	78	flat	_	TokenRange=453:460
81	lula	_	PROPN	NOUN	_	78	appos	_	TokenRange=461:465
82-83	da	_	_	_	_	_	_	_	TokenRange=466:468
82	de	de	ADP	ADP	_	84	case	_	_
83	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	84	det	_	_
84	silva	silva	NOUN	NOUN	_	81	nmod	_	TokenRange=469:474
85	a	o	DET	DET	_	86	det	_	TokenRange=475:476
86	familia	familia	NOUN	NOUN	_	87	nsubj	_	TokenRange=477:484
87	autorizou	autorizar	VERB	VERB	_	1	parataxis	_	TokenRange=485:494
88	os	o	DET	DET	_	89	det	_	TokenRange=495:497
89	procedimentos	procedimento	NOUN	NOUN	_	157	obj	_	TokenRange=498:511
90	preparativos	preparativo	ADJ	ADJ	_	89	amod	_	TokenRange=512:524
91	para	para	ADP	ADP	_	93	case	_	TokenRange=525:529
92	a	o	DET	DET	_	93	det	_	TokenRange=530:531
93	doacao	doacao	NOUN	NOUN	_	89	nmod	_	TokenRange=532:538
94-95	dos	_	_	_	_	_	_	_	TokenRange=539:542
94	de	de	ADP	ADP	_	96	case	_	_
95	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	96	det	_	_
96	orgaos	orgao	NOUN	NOUN	_	93	nmod	_	TokenRange=543:549
97	nascida	nascer	VERB	VERB	_	96	acl	_	TokenRange=550:557
98	em	em	ADP	ADP	_	100	case	_	TokenRange=558:560
99	uma	um	DET	DET	_	100	det	_	TokenRange=561:564
100	familia	familia	NOUN	NOUN	_	97	nmod	_	TokenRange=565:572
101	de	de	ADP	ADP	_	102	case	_	TokenRange=573:575
102	imigrantes	imigrante	NOUN	NOUN	_	100	nmod	_	TokenRange=576:586
103	italianos	italiano	ADJ	ADJ	_	102	amod	_	TokenRange=587:596
104	marisa	_	NOUN	NOUN	_	193	appos	_	TokenRange=597:603
105	viveu	viver	VERB	VERB	_	1	parataxis	_	TokenRange=604:609
106	com	com	ADP	ADP	_	109	case	_	TokenRange=610:613
107	outros	_	DET	DET	_	109	det	_	TokenRange=614:620
108	10	_	NUM	NUM	NumType=Card	109	nummod	_	TokenRange=621:623
109	irmaos	irmao	NOUN	NOUN	_	105	nmod	_	TokenRange=624:630
110	em	em	ADP	ADP	_	112	case	_	TokenRange=631:633
111	um	um	DET	DET	_	112	det	_	TokenRange=634:636
