# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = urgente policia se prepara para invadir penitenciaria de alcacuz no rio grande do norte o batalhao de choque da policia militar do rio grande do norte esta se preparando para invadir o presidio de alcacuz em natal o objetivo da invasao e entrar no presidio e dominar toda a area que foi literalmente destruida pelos presos homens da forca nacional de seguranca estao posicionados ao redor da penitenciaria e tambem nos quarteiroes proximos ao complexo atiradores de elite estao posicionados nas guaritas com o objetivo de evitar uma possivel fuga em massa a informacao e da globo news
1	urgente	urgente	ADJ	ADJ	_	2	amod	_	TokenRange=0:7
2	policia	policia	NOUN	NOUN	_	4	nsubj	_	TokenRange=8:15
3	se	_	PRON	PRON	_	4	expl:pv	_	TokenRange=16:18
4	prepara	preparar	VERB	VERB	_	0	root	_	TokenRange=19:26
5	para	_	ADP	ADP	_	6	mark	_	TokenRange=27:31
6	invadir	invadir	VERB	VERB	_	4	nmod	_	TokenRange=32:39
7	penitenciaria	penitenciaria	NOUN	NOUN	_	6	obj	_	TokenRange=40:53
8	de	de	ADP	ADP	_	9	case	_	TokenRange=54:56
9	alcacuz	alcacuz	NOUN	NOUN	_	7	nmod	_	TokenRange=57:64
10-11	no	_	_	_	_	_	_	_	TokenRange=65:67
10	em	em	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	rio	rio	NOUN	NOUN	_	6	nmod	_	TokenRange=68:71
13	grande	grande	ADJ	ADJ	_	12	amod	_	TokenRange=72:78
14-15	do	_	_	_	_	_	_	_	TokenRange=79:81
14	de	de	ADP	ADP	_	16	case	_	_
15	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	16	det	_	_
16	norte	norte	NOUN	NOUN	_	12	nmod	_	TokenRange=82:87
17	o	o	DET	DET	_	18	det	_	TokenRange=88:89
18	batalhao	batalhao	NOUN	NOUN	_	34	nsubj	_	TokenRange=90:98
19	de	de	ADP	ADP	_	20	case	_	TokenRange=99:101
20	choque	choque	NOUN	NOUN	_	18	nmod	_	TokenRange=102:108
21-22	da	_	_	_	_	_	_	_	TokenRange=109:111
