# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = baixou a dilma no homem temos que apoiar a reforma da previdencia em pouco tempo o homem vivera 140 anos ahhh agora sim ta explicado senhor presidento se tivesse falado isso antes a populacao teria apoiado vosmice desde o inicio da reforma da previdencia em sao paulo temer declarou que o pagamento de pensoes e aposentadorias gera um deficit extraordinario e que em algumas decadas e muito provavel que o ser humano viva ate os 140 anos temos que fazer a reforma da previdencia porque e evidente os dados geram um deficit extraordinario havia um periodo em que o homem vivia ate os 60 65 anos hoje ele vive 80 ou mais anos daqui a pouco vivera 140 anos entao e preciso fazer reformulacoes permanentes no sistema previdenciario
1	baixou	baixar	VERB	VERB	_	0	root	_	TokenRange=0:6
2	a	o	DET	DET	_	3	det	_	TokenRange=7:8
3	dilma	dilma	NOUN	NOUN	_	1	obj	_	TokenRange=9:14
4-5	no	_	_	_	_	_	_	_	TokenRange=15:17
4	em	em	ADP	ADP	_	6	case	_	_
5	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	6	det	_	_
6	homem	homem	NOUN	NOUN	_	1	nmod	_	TokenRange=18:23
7	temos	ter	AUX	AUX	_	9	aux	_	TokenRange=24:29
8	que	que	CCONJ	CONJ	_	9	mark	_	TokenRange=30:33
9	apoiar	apoiar	VERB	VERB	_	1	ccomp	_	TokenRange=34:40
10	a	o	DET	DET	_	11	det	_	TokenRange=41:42
11	reforma	reforma	NOUN	NOUN	_	9	obj	_	TokenRange=43:50
12-13	da	_	_	_	_	_	_	_	TokenRange=51:53
12	de	de	ADP	ADP	_	14	case	_	_
13	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	14	det	_	_
14	previdencia	previdencia	NOUN	NOUN	_	11	nmod	_	TokenRange=54:65
15	em	em	ADP	ADP	_	17	case	_	TokenRange=66:68
16	pouco	_	DET	DET	_	17	det	_	TokenRange=69:74
17	tempo	tempo	NOUN	NOUN	_	9	nmod	_	TokenRange=75:80
18	o	o	DET	DET	_	19	det	_	TokenRange=81:82
19	homem	homem	NOUN	NOUN	_	20	nsubj	_	TokenRange=83:88
20	vivera	_	VERB	VERB	_	1	conj	_	TokenRange=89:95
21	140	_	NUM	NUM	NumType=Card	22	nummod	_	TokenRange=96:99
22	anos	ano	NOUN	NOUN	_	20	nmod	_	TokenRange=100:104
23	ahhh	_	VERB	VERB	_	20	parataxis	_	TokenRange=105:109
24	agora	agora	ADV	ADV	_	27	advmod	_	TokenRange=110:115
25	sim	sim	ADV	ADV	_	27	advmod	_	TokenRange=116:119
26	ta	_	AUX	AUX	_	27	aux	_	TokenRange=120:122
27	explicado	explicar	VERB	VERB	_	1	conj	_	TokenRange=123:132
28	senhor	senhor	NOUN	NOUN	_	27	nsubj	_	TokenRange=133:139
29	presidento	presidento	ADJ	NOUN	_	28	flat	_	TokenRange=140:150
30	se	_	CCONJ	CONJ	_	32	mark	_	TokenRange=151:153
31	tivesse	ter	AUX	AUX	_	32	aux	_	TokenRange=154:161
32	falado	falar	VERB	VERB	_	27	advcl	_	TokenRange=162:168
33	isso	_	PRON	PRON	_	32	obj	_	TokenRange=169:173
34	antes	antes	ADV	ADV	_	32	advmod	_	TokenRange=174:179
35	a	o	DET	DET	_	36	det	_	TokenRange=180:181
36	populacao	populacao	NOUN	NOUN	_	38	nsubj	_	TokenRange=182:191
37	teria	ter	AUX	AUX	_	38	aux	_	TokenRange=192:197
38	apoiado	apoiar	VERB	VERB	_	32	ccomp	_	TokenRange=198:205
39	vosmice	vosmice	NOUN	NOUN	_	38	obj	_	TokenRange=206:213
40	desde	_	ADP	ADP	_	42	case	_	TokenRange=214:219
41	o	o	DET	DET	_	42	det	_	TokenRange=220:221
42	inicio	_	NOUN	NOUN	_	38	nmod	_	TokenRange=222:228
43-44	da	_	_	_	_	_	_	_	TokenRange=229:231
43	de	de	ADP	ADP	_	45	case	_	_
44	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	45	det	_	_
45	reforma	reforma	NOUN	NOUN	_	42	nmod	_	TokenRange=232:239
46-47	da	_	_	_	_	_	_	_	TokenRange=240:242
46	de	de	ADP	ADP	_	48	case	_	_
47	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	48	det	_	_
48	previdencia	previdencia	NOUN	NOUN	_	45	nmod	_	TokenRange=243:254
49	em	em	ADP	ADP	_	50	case	_	TokenRange=255:257
50	sao	sao	PROPN	PNOUN	_	53	nmod	_	TokenRange=258:261
51	paulo	paulo	NOUN	NOUN	_	50	flat	_	TokenRange=262:267
52	temer	temer	NOUN	NOUN	_	53	nsubj	_	TokenRange=268:273
53	declarou	declarar	VERB	VERB	_	1	parataxis	_	TokenRange=274:282
54	que	que	CCONJ	CONJ	_	61	mark	_	TokenRange=283:286
55	o	o	DET	DET	_	56	det	_	TokenRange=287:288
56	pagamento	pagamento	NOUN	NOUN	_	38	nsubj	_	TokenRange=289:298
57	de	de	ADP	ADP	_	58	case	_	TokenRange=299:301
58	pensoes	pensoe	NOUN	NOUN	_	56	nmod	_	TokenRange=302:309
59	e	e	CCONJ	CONJ	_	60	cc	_	TokenRange=310:311
60	aposentadorias	aposentadoria	NOUN	NOUN	_	58	conj	_	TokenRange=312:326
61	gera	gerar	VERB	VERB	_	53	ccomp	_	TokenRange=327:331
62	um	um	DET	DET	_	63	det	_	TokenRange=332:334
63	deficit	deficit	NOUN	NOUN	_	61	obj	_	TokenRange=335:342
64	extraordinario	extraordinario	ADJ	ADJ	_	63	amod	_	TokenRange=343:357
65	e	e	CCONJ	CONJ	_	84	cc	_	TokenRange=358:359
66	que	que	CCONJ	CONJ	_	84	mark	_	TokenRange=360:363
67	em	em	ADP	ADP	_	69	case	_	TokenRange=364:366
68	algumas	_	DET	DET	_	69	det	_	TokenRange=367:374
69	decadas	decada	NOUN	NOUN	_	84	nmod	_	TokenRange=375:382
70	e	e	VERB	CONJ	_	84	conj	_	TokenRange=383:384
71	muito	muito	ADV	ADV	_	72	advmod	_	TokenRange=385:390
72	provavel	provavel	ADJ	ADJ	_	70	xcomp	_	TokenRange=391:399
73	que	que	CCONJ	CONJ	_	77	mark	_	TokenRange=400:403
74	o	o	DET	DET	_	75	det	_	TokenRange=404:405
75	ser	ser	NOUN	NOUN	_	77	nsubj	_	TokenRange=406:409
76	humano	humano	ADJ	ADJ	_	75	amod	_	TokenRange=410:416
77	viva	viver	VERB	VERB	_	84	ccomp	_	TokenRange=417:421
78	ate	_	ADP	ADP	_	81	case	_	TokenRange=422:425
79	os	o	DET	DET	_	81	det	_	TokenRange=426:428
80	140	_	NUM	NUM	NumType=Card	81	nummod	_	TokenRange=429:432
81	anos	ano	NOUN	NOUN	_	77	nmod	_	TokenRange=433:437
82	temos	ter	AUX	AUX	_	84	aux	_	TokenRange=438:443
83	que	que	CCONJ	CONJ	_	84	mark	_	TokenRange=444:447
84	fazer	fazer	VERB	VERB	_	61	conj	_	TokenRange=448:453
85	a	o	DET	DET	_	86	det	_	TokenRange=454:455
86	reforma	reforma	NOUN	NOUN	_	84	obj	_	TokenRange=456:463
87-88	da	_	_	_	_	_	_	_	TokenRange=464:466
87	de	de	ADP	ADP	_	89	case	_	_
88	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	89	det	_	_
89	previdencia	previdencia	NOUN	NOUN	_	86	nmod	_	TokenRange=467:478
90	porque	_	CCONJ	CONJ	_	95	mark	_	TokenRange=479:485
91	e	_	CCONJ	CONJ	_	92	cc	_	TokenRange=486:487
92	evidente	evidente	ADJ	ADJ	_	95	xcomp	_	TokenRange=488:496
93	os	o	DET	DET	_	94	det	_	TokenRange=497:499
94	dados	dado	NOUN	NOUN	_	95	nsubj	_	TokenRange=500:505
95	geram	gerar	VERB	VERB	_	84	advcl	_	TokenRange=506:511
96	um	um	DET	DET	_	97	det	_	TokenRange=512:514
97	deficit	deficit	NOUN	NOUN	_	95	obj	_	TokenRange=515:522
98	extraordinario	extraordinario	ADJ	ADJ	_	97	amod	_	TokenRange=523:537
99	havia	haver	VERB	VERB	_	84	advcl	_	TokenRange=538:543
100	um	um	DET	DET	_	101	det	_	TokenRange=544:546
101	periodo	periodo	NOUN	NOUN	_	99	obj	_	TokenRange=547:554
102	em	em	ADP	ADP	_	103	case	_	TokenRange=555:557
103	que	_	PRON	PRON	_	106	nmod	_	TokenRange=558:561
104	o	o	DET	DET	_	105	det	_	TokenRange=562:563
105	homem	homem	NOUN	NOUN	_	106	nsubj	_	TokenRange=564:569
106	vivia	viver	VERB	VERB	_	101	acl:relcl	_	TokenRange=570:575
107	ate	_	ADP	ADP	_	111	case	_	TokenRange=576:579
108	os	o	DET	DET	_	111	det	_	TokenRange=580:582
109	60	_	NUM	NUM	NumType=Card	111	nummod	_	TokenRange=583:585
110	65	_	NUM	NUM	NumType=Card	111	nummod	_	TokenRange=586:588
111	anos	ano	NOUN	NOUN	_	106	nmod	_	TokenRange=589:593
112	hoje	hoje	ADV	ADV	_	114	advmod	_	TokenRange=594:598
113	ele	_	PRON	PRON	_	114	nsubj	_	TokenRange=599:602
114	vive	_	VERB	VERB	_	106	conj	_	TokenRange=603:607
115	80	_	NUM	NUM	NumType=Card	118	nummod	_	TokenRange=608:610
116	ou	ou	CCONJ	CONJ	_	117	cc	_	TokenRange=611:613
117	mais	_	DET	DET	_	115	conj	_	TokenRange=614:618
118	anos	ano	NOUN	NOUN	_	114	nmod	_	TokenRange=619:623
119	daqui	_	ADP	ADP	_	114	nmod	_	TokenRange=624:629
120	a	_	ADP	ADP	_	121	mark	_	TokenRange=630:631
121	pouco	pouco	ADV	ADV	_	119	nmod	_	TokenRange=632:637
122	vivera	viver	VERB	VERB	_	114	conj	_	TokenRange=638:644
123	140	_	NUM	NUM	NumType=Card	124	nummod	_	TokenRange=645:648
124	anos	ano	NOUN	NOUN	_	122	nmod	_	TokenRange=649:653
125	entao	entao	ADV	ADV	_	122	advmod	_	TokenRange=654:659
126	e	e	CCONJ	CONJ	_	127	cc	_	TokenRange=660:661
127	preciso	preciso	ADJ	ADJ	_	122	conj	_	TokenRange=662:669
128	fazer	fazer	VERB	VERB	_	122	csubj	_	TokenRange=670:675
129	reformulacoes	reformulacoe	NOUN	NOUN	_	128	obj	_	TokenRange=676:689
130	permanentes	permanente	ADJ	ADJ	_	129	amod	_	TokenRange=690:701
131-132	no	_	_	_	_	_	_	_	TokenRange=702:704
131	em	em	ADP	ADP	_	133	case	_	_
132	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	133	det	_	_
133	sistema	sistema	NOUN	NOUN	_	128	nmod	_	TokenRange=705:712
134	previdenciario	previdenciario	ADJ	ADJ	_	133	amod	_	TokenRange=713:727

