# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = dezenas de tanques nortecoreanos disparam misseis em direcao a frota naval dos eua o reino eremita disparou misseis em resposta a frota de guerra comandada pelo navio americano carl vinson que chegou a peninsula demonstrando que o poder de fogo dos tanques podem atingir tranquilamente os navios estrangeiros o portaavioes carl vinson aguarda a chegada das frotas do japao e da coreia do sul para se juntarem aos exercicios militares leiase prontidao para a guerra um submarino nuclear dos eua armado com misseis de cruzeiro tomahawk tambem desembarcou no porto da marinha de busan coreia do sul kim jongun reagiu furiosamente e ameacou explodir a frota da agua com um unico missil especialistas militares acreditam que o tirano esta se preparando para seu proximo lancamento de missil nuclear de longo alcance o que pode acontecer nesta semana estamos observando de perto os movimentos dos militares nortecoreanos em torno de wonsan mantendo uma firme disposicao disseram os militares sulcoreanos em comunicado
1	dezenas	_	NUM	NUM	NumType=Card	3	nummod	_	TokenRange=0:7
2	de	de	ADP	ADP	_	3	case	_	TokenRange=8:10
3	tanques	tanque	NOUN	NOUN	_	5	nsubj	_	TokenRange=11:18
4	nortecoreanos	nortecoreano	ADJ	ADJ	_	3	amod	_	TokenRange=19:32
5	disparam	disparar	VERB	VERB	_	0	root	_	TokenRange=33:41
6	misseis	missil	NOUN	NOUN	_	5	obj	_	TokenRange=42:49
7	em	em	ADP	ADP	_	8	case	_	TokenRange=50:52
8	direcao	direcao	NOUN	NOUN	_	5	nmod	_	TokenRange=53:60
9	a	_	ADP	ADP	_	10	case	_	TokenRange=61:62
10	frota	frota	NOUN	NOUN	_	8	nmod	_	TokenRange=63:68
11	naval	naval	ADJ	ADJ	_	10	amod	_	TokenRange=69:74
12-13	dos	_	_	_	_	_	_	_	TokenRange=75:78
12	de	de	ADP	ADP	_	14	case	_	_
13	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	14	det	_	_
14	eua	_	NOUN	NOUN	_	10	nmod	_	TokenRange=79:82
15	o	o	DET	DET	_	16	det	_	TokenRange=83:84
16	reino	reino	NOUN	NOUN	_	18	nsubj	_	TokenRange=85:90
17	eremita	eremito	ADJ	ADJ	_	16	amod	_	TokenRange=91:98
18	disparou	disparar	VERB	VERB	_	5	parataxis	_	TokenRange=99:107
19	misseis	missil	NOUN	NOUN	_	18	obj	_	TokenRange=108:115
20	em	em	ADP	ADP	_	21	case	_	TokenRange=116:118
21	resposta	resposta	NOUN	NOUN	_	18	nmod	_	TokenRange=119:127
22	a	_	ADP	ADP	_	23	case	_	TokenRange=128:129
23	frota	frota	NOUN	NOUN	_	21	nmod	_	TokenRange=130:135
24	de	de	ADP	ADP	_	25	case	_	TokenRange=136:138
25	guerra	guerra	NOUN	NOUN	_	23	nmod	_	TokenRange=139:145
26	comandada	comandar	VERB	VERB	_	23	acl	_	TokenRange=146:155
27-28	pelo	_	_	_	_	_	_	_	TokenRange=156:160
27	por	por	ADP	ADP	_	29	case	_	_
28	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	29	det	_	_
