# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = delcidio da entrevista e confirma quem sao os chefoes agi a mando de lula e dilma fui chamado de mentiroso po um lider de governo chamado de mentiroso eu fui lider dela
1	delcidio	delcidio	NOUN	NOUN	_	0	root	_	TokenRange=0:8
2-3	da	_	_	_	_	_	_	_	TokenRange=9:11
2	de	de	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	entrevista	entrevista	NOUN	NOUN	_	1	nmod	_	TokenRange=12:22
5	e	e	CCONJ	CONJ	_	6	cc	_	TokenRange=23:24
6	confirma	confirmar	VERB	VERB	_	1	conj	_	TokenRange=25:33
7	quem	_	PRON	PRON	_	6	ccomp	_	TokenRange=34:38
8	sao	_	AUX	AUX	_	7	cop	_	TokenRange=39:42
9	os	o	DET	DET	_	10	det	_	TokenRange=43:45
10	chefoes	chefoe	NOUN	NOUN	_	11	nsubj	_	TokenRange=46:53
11	agi	agir	VERB	VERB	_	6	ccomp	_	TokenRange=54:57
12	a	_	ADP	ADP	_	13	case	_	TokenRange=58:59
13	mando	mando	NOUN	NOUN	_	11	nmod	_	TokenRange=60:65
14	de	de	ADP	ADP	_	15	case	_	TokenRange=66:68
15	lula	lula	NOUN	NOUN	_	13	nmod	_	TokenRange=69:73
16	e	e	CCONJ	CONJ	_	19	cc	_	TokenRange=74:75
17	dilma	dilma	NOUN	NOUN	_	19	nsubj:pass	_	TokenRange=76:81
18	fui	_	AUX	AUX	_	19	aux:pass	_	TokenRange=82:85
19	chamado	chamar	VERB	VERB	_	11	conj	_	TokenRange=86:93
20	de	de	ADP	ADP	_	21	case	_	TokenRange=94:96
21	mentiroso	mentiroso	NOUN	NOUN	_	19	nmod	_	TokenRange=97:106
22	po	_	CCONJ	CONJ	_	32	cc	_	TokenRange=107:109
23	um	um	DET	DET	_	24	det	_	TokenRange=110:112
24	lider	lider	NOUN	NOUN	_	32	nsubj	_	TokenRange=113:118
25	de	de	ADP	ADP	_	26	case	_	TokenRange=119:121
26	governo	governo	NOUN	NOUN	_	24	nmod	_	TokenRange=122:129
27	chamado	chamar	VERB	VERB	_	24	acl	_	TokenRange=130:137
28	de	de	ADP	ADP	_	29	case	_	TokenRange=138:140
29	mentiroso	mentiroso	ADJ	ADJ	_	27	nmod	_	TokenRange=141:150
30	eu	_	PRON	PRON	_	32	nsubj	_	TokenRange=151:153
31	fui	_	AUX	AUX	_	32	cop	_	TokenRange=154:157
32	lider	lider	NOUN	NOUN	_	1	conj	_	TokenRange=158:163
33	dela	_	X	ADPPRON	_	32	det:poss	_	SpacesAfter=\s\s|TokenRange=164:168

