# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = hugo chaves elogia dilma e uma grande companheira inclusive sequestrou um embaixador americano dilma rousseff e o sequestro do embaixador americano e assassinato do capitao chandler e bom lembrar para os esquecidos que a atual presidente dilma roussef tambem atuava na subversaoela talvez possa contar muito bem como por exemplo foi o atentado terrorista ao cmdo do entao ii ex hoje cmse quando investiram com um caminhao contra a guarita do corpo da guarda matando um sentinela sd koessel e ferindo outros assista o video por orion alencastro outubro de 2011 o empenho do governo tupiniquim pela criacao da comissao da verdade abre uma esperanca para a casa branca e o departamento de estado receber a visita da sra rousseff com o pedido de desculpas ao presidente barack obama pelo sequestro do embaixador americano charles albright e assassinato do capitao charles chandler em 12 de outubro de 1968 o seu antecessor mr lula da silva com sua habitual magnanimidade pediu desculpas aos africanos pelo escravagismo que os negros sofreram no brasil a comissao da verdade tera como relator o senador aluisio nunes ferreira filho veterano terrorista da alianca de libertacao nacional que tambem se envolveu nas operacoes do sequestro do embaixador e fuzilamento do capitao chandler entre outros crimes hoje desfrutando dos louros da anistia com saudades das tardes em paris
1	hugo	hugo	ADJ	ADJ	_	2	amod	_	TokenRange=0:4
2	chaves	chave	NOUN	NOUN	_	3	nsubj	_	TokenRange=5:11
3	elogia	elogiar	VERB	VERB	_	0	root	_	TokenRange=12:18
4	dilma	dilma	NOUN	NOUN	_	3	obj	_	TokenRange=19:24
5	e	e	CCONJ	CONJ	_	8	cc	_	TokenRange=25:26
6	uma	um	DET	DET	_	8	det	_	TokenRange=27:30
7	grande	grande	ADJ	ADJ	_	8	amod	_	TokenRange=31:37
8	companheira	companheiro	NOUN	NOUN	_	4	conj	_	TokenRange=38:49
9	inclusive	inclusive	ADV	ADV	_	10	advmod	_	TokenRange=50:59
10	sequestrou	sequestrar	VERB	VERB	_	3	conj	_	TokenRange=60:70
11	um	um	DET	DET	_	12	det	_	TokenRange=71:73
12	embaixador	embaixador	NOUN	NOUN	_	10	obj	_	TokenRange=74:84
13	americano	americano	ADJ	ADJ	_	12	amod	_	TokenRange=85:94
14	dilma	dilma	NOUN	NOUN	_	12	appos	_	TokenRange=95:100
15	rousseff	rousseff	NOUN	NOUN	_	14	flat	_	TokenRange=101:109
16	e	e	CCONJ	CONJ	_	18	cc	_	TokenRange=110:111
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	TokenRange=112:113
18	sequestro	sequestro	NOUN	NOUN	_	12	conj	_	TokenRange=114:123
19-20	do	_	_	_	_	_	_	_	TokenRange=124:126
19	de	de	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	embaixador	embaixador	NOUN	NOUN	_	18	nmod	_	TokenRange=127:137
22	americano	americano	ADJ	ADJ	_	21	amod	_	TokenRange=138:147
23	e	e	CCONJ	CONJ	_	24	cc	_	TokenRange=148:149
24	assassinato	assassinato	NOUN	NOUN	_	21	conj	_	TokenRange=150:161
25-26	do	_	_	_	_	_	_	_	TokenRange=162:164
25	de	de	ADP	ADP	_	27	case	_	_
