# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quebrapau no senado parlamentar chama colega para briga vamos la fora a baixaria teve inicio agora pouco quando o senador ronaldo caiado afirmou que havia uma reportagem informando que dilma iria destruir documentos e apagar registros dos computadores do governo antes de ser afastada do cargo inconformado com a fala de caiado o senador petista lindbergh farias disse o senador oposicionista e mentiroso e propaga informacao falsa imagina isso e crime o senador caiado esta mentindo a essa hora disse lindbergh caiado nao gostou da fala e xingou o petista vamos falar la fora seu mer lindbergh retrucou o senhor nao esta falando com os funcionarios das suas fazendas a sessao da comissao do impeachment foi interrompida para que os senadores se acalmassem
1	quebrapau	quebrapar	VERB	VERB	_	0	root	_	TokenRange=0:9
2-3	no	_	_	_	_	_	_	_	TokenRange=10:12
2	em	em	ADP	ADP	_	4	case	_	_
3	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	4	det	_	_
4	senado	senado	NOUN	NOUN	_	1	nmod	_	TokenRange=13:19
5	parlamentar	parlamentar	ADJ	ADJ	_	4	amod	_	TokenRange=20:31
6	chama	chamar	VERB	VERB	_	1	parataxis	_	TokenRange=32:37
7	colega	colega	NOUN	NOUN	_	6	obj	_	TokenRange=38:44
8	para	para	ADP	ADP	_	9	case	_	TokenRange=45:49
9	briga	briga	NOUN	NOUN	_	7	nmod	_	TokenRange=50:55
10	vamos	ir	AUX	AUX	_	6	parataxis	_	TokenRange=56:61
11	la	_	PRON	PRON	_	12	mark	_	TokenRange=62:64
12	fora	fora	ADV	ADV	_	10	advmod	_	TokenRange=65:69
13	a	o	DET	DET	_	14	det	_	TokenRange=70:71
14	baixaria	baixaria	NOUN	NOUN	_	15	nsubj	_	TokenRange=72:80
15	teve	ter	VERB	VERB	_	1	conj	_	TokenRange=81:85
16	inicio	_	NOUN	NOUN	_	15	obj	_	TokenRange=86:92
