# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = conheca o jovem delator que esta causando panico no pmdb figuroes corruptos nao escaparao da cadeia mesmo com o foro privilegiado muitos congressistas estao sob a expectativa de ter suas prisoes decretadas a qualquer momento pelo ministro edson fachin relator da lavajato no stf a pgr procuradoria geral da republica ja solicitou a prisao de alguns investigados do pmdb informacoes do jornalista claudio humberto confirmaram que fachin estaria buscando apoio dos colegas do stf para concretizar sua decisao fontes proximas a pgr garantem que ha muito a ser revelado e de teor ainda mais grave contra michel temer o acordo de delacao premiada de expedito esta causando panico na cupula do pmdb alguns figuroes ja sabem que nao escaparao da cadeia did que e filho do delator sergio machado ofereceu aos investigadores da operacao lava jato o caminho do dinheiro roubado da transpetro subsidiaria da petrobras a transpetro foi presidida pelo pai de did pelo periodo de 11 anos o relator da lava jato no stf e o responsavel por homologar a delacao de pai e filho que inclui tambem a devolucao dos recursos desviados por expedito e seu pai sergio os numeros poderao chegar a centenas de milhoes
1	conheca	conhecar	VERB	VERB	_	0	root	_	TokenRange=0:7
2	o	o	DET	DET	_	4	det	_	TokenRange=8:9
3	jovem	jovem	ADJ	ADJ	_	4	amod	_	TokenRange=10:15
4	delator	delator	NOUN	NOUN	_	1	obj	_	TokenRange=16:23
5	que	_	PRON	PRON	_	7	nsubj	_	TokenRange=24:27
6	esta	_	AUX	AUX	_	7	aux	_	TokenRange=28:32
7	causando	causar	VERB	VERB	_	4	acl:relcl	_	TokenRange=33:41
8	panico	panico	NOUN	NOUN	_	7	obj	_	TokenRange=42:48
9-10	no	_	_	_	_	_	_	_	TokenRange=49:51
9	em	em	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	pmdb	_	NOUN	NOUN	_	7	nmod	_	TokenRange=52:56
12	figuroes	figuroe	NOUN	NOUN	_	15	nsubj	_	TokenRange=57:65
13	corruptos	corrupto	ADJ	ADJ	_	12	amod	_	TokenRange=66:75
14	nao	nao	ADV	ADV	Polarity=Neg	15	advmod	_	TokenRange=76:79
15	escaparao	escapar	VERB	VERB	_	1	ccomp	_	TokenRange=80:89
16-17	da	_	_	_	_	_	_	_	TokenRange=90:92
16	de	de	ADP	ADP	_	18	case	_	_
17	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	18	det	_	_
18	cadeia	cadeia	NOUN	NOUN	_	15	nmod	_	TokenRange=93:99
19	mesmo	mesmo	ADV	ADV	_	22	advmod	_	TokenRange=100:105
20	com	com	ADP	ADP	_	22	case	_	TokenRange=106:109
21	o	o	DET	DET	_	22	det	_	TokenRange=110:111
22	foro	foro	NOUN	NOUN	_	15	nmod	_	TokenRange=112:116
23	privilegiado	privilegiado	ADJ	ADJ	_	22	amod	_	TokenRange=117:129
24	muitos	_	DET	DET	_	25	det	_	TokenRange=130:136
25	congressistas	congressista	NOUN	NOUN	_	26	nsubj	_	TokenRange=137:150
26	estao	_	VERB	VERB	_	1	conj	_	TokenRange=151:156
27	sob	_	ADP	ADP	_	29	case	_	TokenRange=157:160
28	a	o	DET	DET	_	29	det	_	TokenRange=161:162
29	expectativa	expectativa	NOUN	NOUN	_	26	nmod	_	TokenRange=163:174
30	de	_	ADP	ADP	_	31	mark	_	TokenRange=175:177
31	ter	ter	VERB	VERB	_	29	nmod	_	TokenRange=178:181
32	suas	_	DET	DET	_	33	det:poss	_	TokenRange=182:186
33	prisoes	_	NOUN	NOUN	_	31	obj	_	TokenRange=187:194
34	decretadas	decretar	VERB	VERB	_	31	xcomp	_	TokenRange=195:205
35	a	_	ADP	ADP	_	37	case	_	TokenRange=206:207
36	qualquer	_	DET	DET	_	37	det	_	TokenRange=208:216
37	momento	momento	NOUN	NOUN	_	34	nmod	_	TokenRange=217:224
38-39	pelo	_	_	_	_	_	_	_	TokenRange=225:229
38	por	por	ADP	ADP	_	40	case	_	_
39	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	40	det	_	_
40	ministro	ministro	NOUN	NOUN	_	34	nmod	_	TokenRange=230:238
41	edson	_	NOUN	NOUN	_	40	appos	_	TokenRange=239:244
42	fachin	_	NOUN	NOUN	_	41	flat	_	TokenRange=245:251
43	relator	relator	NOUN	NOUN	_	40	appos	_	TokenRange=252:259
44-45	da	_	_	_	_	_	_	_	TokenRange=260:262
44	de	de	ADP	ADP	_	46	case	_	_
45	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	46	det	_	_
46	lavajato	lavajato	NOUN	NOUN	_	43	nmod	_	TokenRange=263:271
47-48	no	_	_	_	_	_	_	_	TokenRange=272:274
47	em	em	ADP	ADP	_	49	case	_	_
48	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	49	det	_	_
49	stf	_	NOUN	NOUN	_	46	nmod	_	TokenRange=275:278
50	a	o	DET	DET	_	51	det	_	TokenRange=279:280
51	pgr	_	NOUN	NOUN	_	58	nsubj	_	TokenRange=281:284
52	procuradoria	procuradoria	NOUN	NOUN	_	51	appos	_	TokenRange=285:297
53	geral	geral	ADJ	ADJ	_	52	amod	_	TokenRange=298:303
54-55	da	_	_	_	_	_	_	_	TokenRange=304:306
