# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba o que anda tirando o sono de lula processos estao a um passo de curitiba teori zavascki ministro do stf esta providenciando a remessa dos inqueritos de lula para a republica de curitiba os processos cairao nas maos implacaveis do juiz sergio moro revelou o site giba um lula e seus advogados estao acompanhando de perto o encaminhamento o que aumenta ao extremo seu grau de preocupacao sobre uma possivel prisao o expresidente esta abatido e muito preocupado outros processos envolvendo seus familiares tambem serao julgados pela 13a vara federal de curitiba a cupula do partido nao confirmou a retomada do cancer mas afirma que lula tem dores e forte depressao o instituto lula disse que a doenca nao voltou a atacar o expresidente
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
2	o	_	PRON	PRON	_	1	obj	_	TokenRange=6:7
3	que	_	PRON	PRON	_	5	nsubj	_	TokenRange=8:11
4	anda	andar	AUX	AUX	_	5	aux	_	TokenRange=12:16
5	tirando	tirar	VERB	VERB	_	2	acl:relcl	_	TokenRange=17:24
6	o	o	DET	DET	_	7	det	_	TokenRange=25:26
7	sono	sono	NOUN	NOUN	_	5	obj	_	TokenRange=27:31
8	de	de	ADP	ADP	_	9	case	_	TokenRange=32:34
9	lula	lula	NOUN	NOUN	_	7	nmod	_	TokenRange=35:39
10	processos	processo	NOUN	NOUN	_	5	nsubj	_	TokenRange=40:49
11	estao	_	VERB	VERB	_	2	acl:relcl	_	TokenRange=50:55
12	a	_	ADP	ADP	_	14	case	_	TokenRange=56:57
13	um	um	DET	DET	_	14	det	_	TokenRange=58:60
14	passo	passo	NOUN	NOUN	_	11	nmod	_	TokenRange=61:66
15	de	de	ADP	ADP	_	16	case	_	TokenRange=67:69
16	curitiba	curitiba	NOUN	NOUN	_	14	nmod	_	TokenRange=70:78
17	teori	_	NOUN	NOUN	_	24	nsubj	_	TokenRange=79:84
18	zavascki	_	NOUN	NOUN	_	17	flat	_	TokenRange=85:93
19	ministro	ministro	NOUN	NOUN	_	17	flat	_	TokenRange=94:102
20-21	do	_	_	_	_	_	_	_	TokenRange=103:105
20	de	de	ADP	ADP	_	22	case	_	_
21	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	22	det	_	_
22	stf	_	NOUN	NOUN	_	19	nmod	_	TokenRange=106:109
23	esta	_	AUX	AUX	_	24	aux	_	TokenRange=110:114
24	providenciando	providenciar	VERB	VERB	_	1	parataxis	_	TokenRange=115:129
25	a	o	DET	DET	_	26	det	_	TokenRange=130:131
26	remessa	remessa	NOUN	NOUN	_	24	obj	_	TokenRange=132:139
27-28	dos	_	_	_	_	_	_	_	TokenRange=140:143
27	de	de	ADP	ADP	_	29	case	_	_
28	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	29	det	_	_
29	inqueritos	inquerito	NOUN	NOUN	_	26	nmod	_	TokenRange=144:154
30	de	de	ADP	ADP	_	31	case	_	TokenRange=155:157
31	lula	lula	NOUN	NOUN	_	29	nmod	_	TokenRange=158:162
32	para	para	ADP	ADP	_	34	case	_	TokenRange=163:167
33	a	o	DET	DET	_	34	det	_	TokenRange=168:169
