# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = no parana presos explodem muro de penitenciaria e fogem a fuga aconteceu durante a madrugada de hoje 15 detentos abriram um buraco em um dos muros da penitenciaria estadual de piraquara i regiao metropolitana de curitiba apos a explosao vinte e tres detentos fugiram dois deles foram mortos durante a fuga equipes da pm e da pf usam um helicoptero para tentar localizar os fugitivos o depen do parana departamento penitenciario informou que um grupo de bandidos criou um tumulto para desviar a atencao da policia e dos agentes penitenciarios do outro lado do presidio um grupo diferente explodiu um dos muros do complexo pelo lado de fora luiz alberto cartaxo moura delegadodiretor do depen informou que o presidio opera dentro da capacidade 640 presos
1-2	no	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	3	det	_	_
3	parana	parana	NOUN	NOUN	_	5	nmod	_	TokenRange=3:9
4	presos	preso	NOUN	NOUN	_	5	nsubj	_	TokenRange=10:16
5	explodem	exploder	VERB	VERB	_	0	root	_	TokenRange=17:25
6	muro	muro	NOUN	NOUN	_	5	obj	_	TokenRange=26:30
7	de	de	ADP	ADP	_	8	case	_	TokenRange=31:33
8	penitenciaria	penitenciaria	NOUN	NOUN	_	6	nmod	_	TokenRange=34:47
9	e	e	CCONJ	CONJ	_	10	cc	_	TokenRange=48:49
10	fogem	fougir	VERB	VERB	_	5	conj	_	TokenRange=50:55
11	a	o	DET	DET	_	12	det	_	TokenRange=56:57
12	fuga	fuga	NOUN	NOUN	_	13	nsubj	_	TokenRange=58:62
13	aconteceu	acontecer	VERB	VERB	_	5	conj	_	TokenRange=63:72
14	durante	_	ADP	ADP	_	16	case	_	TokenRange=73:80
15	a	o	DET	DET	_	16	det	_	TokenRange=81:82
16	madrugada	madrugada	NOUN	NOUN	_	13	nmod	_	TokenRange=83:92
17	de	_	ADP	ADP	_	18	mark	_	TokenRange=93:95
