# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tirando onda mesmo que eu perca na camara nao serei condenado pelo stf nao e novidade para ninguem que apenas 1 dos reus que possuem foro privilegiado sao condenados pelo stf vamos descrever de maneira diferente de cada 100 processos de reus com foro que chegam ao stf apenas 1 e condenado e essa condenacao nao significa necessariamente prisao nao bastasse essa estatistica absurda eis que aparece nosso dignissimo vicepresidente opspresidente michel temer e escancara tudo de vez as vesperas de viajar para a alemanha onde teoricamente fara parte do g20 o presidente da republica se reuniu com 22 ministros do governo e declarou que mesmo que sofra uma derrota na camara ela tem absoluta certeza de que o supremo nao o condenara as informacoes foram divulgadas na folha de s paulo um desses ministros que estava na reuniao disse a folha que temer esta confiante de que nao sera condenado pelo stf o presidente da republica insinuou ainda que podera punir aqueles que nao trabalharem a seu favor dilma era incompetente temer e um monstro
1	tirando	tirar	VERB	VERB	_	18	acl	_	TokenRange=0:7
2	onda	onda	NOUN	NOUN	_	1	obj	_	TokenRange=8:12
3	mesmo	mesmo	ADV	ADV	_	6	mark	_	TokenRange=13:18
4	que	_	CCONJ	CONJ	_	6	mark	_	TokenRange=19:22
5	eu	_	PRON	PRON	_	6	nsubj	_	TokenRange=23:25
6	perca	perder	VERB	VERB	_	1	advcl	_	TokenRange=26:31
7-8	na	_	_	_	_	_	_	_	TokenRange=32:34
7	em	em	ADP	ADP	_	9	case	_	_
8	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	9	det	_	_
9	camara	camara	NOUN	NOUN	_	6	nmod	_	TokenRange=35:41
10	nao	nao	ADV	ADV	Polarity=Neg	12	advmod	_	TokenRange=42:45
11	serei	ser	AUX	AUX	_	12	aux:pass	_	TokenRange=46:51
12	condenado	condenar	VERB	VERB	_	1	ccomp	_	TokenRange=52:61
13-14	pelo	_	_	_	_	_	_	_	TokenRange=62:66
13	por	por	ADP	ADP	_	15	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	15	det	_	_
15	stf	stf	NOUN	NOUN	_	12	nmod	_	TokenRange=67:70
16	nao	nao	ADV	ADV	Polarity=Neg	18	advmod	_	TokenRange=71:74
17	e	e	CCONJ	CONJ	_	18	cc	_	TokenRange=75:76
18	novidade	novidade	NOUN	NOUN	_	0	root	_	TokenRange=77:85
19	para	para	ADP	ADP	_	20	case	_	TokenRange=86:90
20	ninguem	_	PRON	NOUN	_	18	nmod	_	TokenRange=91:98
21	que	que	CCONJ	CONJ	_	37	mark	_	TokenRange=99:102
22	apenas	apenas	ADV	ADV	_	23	advmod	_	TokenRange=103:109
23	1	_	NUM	NUM	NumType=Card	37	nsubj	_	TokenRange=110:111
24-25	dos	_	_	_	_	_	_	_	TokenRange=112:115
24	de	de	ADP	ADP	_	26	case	_	_
25	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	26	det	_	_
26	reus	reu	NOUN	NOUN	_	23	nmod	_	TokenRange=116:120
27	que	_	PRON	PRON	_	28	nsubj	_	TokenRange=121:124
28	possuem	possuir	VERB	VERB	_	26	acl:relcl	_	TokenRange=125:132
29	foro	foro	NOUN	NOUN	_	28	obj	_	TokenRange=133:137
30	privilegiado	privilegiado	ADJ	ADJ	_	29	amod	_	TokenRange=138:150
31	sao	_	AUX	AUX	_	32	aux:pass	_	TokenRange=151:154
32	condenados	condenar	VERB	VERB	_	26	acl:relcl	_	TokenRange=155:165
33-34	pelo	_	_	_	_	_	_	_	TokenRange=166:170
33	por	por	ADP	ADP	_	35	case	_	_
34	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	35	det	_	_
35	stf	stf	NOUN	NOUN	_	32	nmod	_	TokenRange=171:174
36	vamos	ir	AUX	AUX	_	37	aux	_	TokenRange=175:180
37	descrever	descrever	VERB	VERB	_	18	csubj	_	TokenRange=181:190
38	de	de	ADP	ADP	_	39	case	_	TokenRange=191:193
39	maneira	maneira	NOUN	NOUN	_	37	nmod	_	TokenRange=194:201
40	diferente	diferente	ADJ	ADJ	_	39	amod	_	TokenRange=202:211
41	de	de	ADP	ADP	_	44	case	_	TokenRange=212:214
42	cada	_	DET	DET	_	44	det	_	TokenRange=215:219
