# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = suprema corte julga renan calheiros assista ao vivo comecou a sessao que julgara o afastamento de renan no supremo assista
1	suprema	supremo	ADJ	ADJ	_	2	amod	_	TokenRange=0:7
2	corte	corte	NOUN	NOUN	_	3	nsubj	_	TokenRange=8:13
3	julga	julgar	VERB	VERB	_	0	root	_	TokenRange=14:19
4	renan	_	NOUN	NOUN	_	3	obj	_	TokenRange=20:25
5	calheiros	calheiro	NOUN	NOUN	_	4	flat	_	TokenRange=26:35
6	assista	assistir	VERB	VERB	_	4	appos	_	TokenRange=36:43
7-8	ao	_	_	_	_	_	_	_	TokenRange=44:46
7	a	a	ADP	ADP	_	9	case	_	_
8	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	9	det	_	_
9	vivo	vivo	NOUN	NOUN	_	6	nmod	_	TokenRange=47:51
10	comecou	comecar	VERB	VERB	_	3	conj	_	TokenRange=52:59
11	a	o	DET	DET	_	12	det	_	TokenRange=60:61
12	sessao	sessao	NOUN	NOUN	_	10	nsubj	_	TokenRange=62:68
13	que	_	PRON	PRON	_	14	nsubj	_	TokenRange=69:72
14	julgara	julgar	VERB	VERB	_	12	acl:relcl	_	TokenRange=73:80
15	o	o	DET	DET	_	16	det	_	TokenRange=81:82
16	afastamento	afastamento	NOUN	NOUN	_	14	obj	_	TokenRange=83:94
17	de	de	ADP	ADP	_	18	case	_	TokenRange=95:97
18	renan	renan	NOUN	NOUN	_	16	nmod	_	TokenRange=98:103
19-20	no	_	_	_	_	_	_	_	TokenRange=104:106
19	em	em	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	supremo	supremo	NOUN	NOUN	_	16	nmod	_	TokenRange=107:114
22	assista	assistir	VERB	VERB	_	10	ccomp	_	TokenRange=115:122

