# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = barco do apostolo valdemiro fica a deriva no litoral norte de sp o apostolo valdemiro e outras duas pessoas foram resgatados na madrugada de hoje 18 depois de ficarem mais de 16 horas a deriva
1	barco	barco	NOUN	NOUN	_	6	nsubj	_	TokenRange=0:5
2-3	do	_	_	_	_	_	_	_	TokenRange=6:8
2	de	de	ADP	ADP	_	4	case	_	_
3	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	4	det	_	_
4	apostolo	apostolo	NOUN	NOUN	_	1	nmod	_	TokenRange=9:17
5	valdemiro	_	NOUN	NOUN	_	4	flat	_	TokenRange=18:27
6	fica	ficar	VERB	VERB	_	0	root	_	TokenRange=28:32
7	a	_	ADP	ADP	_	8	case	_	TokenRange=33:34
8	deriva	deriva	NOUN	NOUN	_	6	nmod	_	TokenRange=35:41
9-10	no	_	_	_	_	_	_	_	TokenRange=42:44
9	em	em	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	litoral	litoral	NOUN	NOUN	_	6	nmod	_	TokenRange=45:52
12	norte	norte	ADJ	ADJ	_	11	amod	_	TokenRange=53:58
13	de	de	ADP	ADP	_	14	case	_	TokenRange=59:61
14	sp	sp	NOUN	NOUN	_	11	nmod	_	TokenRange=62:64
15	o	o	DET	DET	_	16	det	_	TokenRange=65:66
16	apostolo	apostolo	NOUN	NOUN	_	23	nsubj:pass	_	TokenRange=67:75
17	valdemiro	valdemiro	ADJ	ADJ	_	16	appos	_	TokenRange=76:85
18	e	e	CCONJ	CONJ	_	21	cc	_	TokenRange=86:87
19	outras	_	DET	DET	_	21	det	_	TokenRange=88:94
20	duas	_	NUM	NUM	NumType=Card	21	nummod	_	TokenRange=95:99
21	pessoas	pessoa	NOUN	NOUN	_	16	conj	_	TokenRange=100:107
22	foram	_	AUX	AUX	_	23	aux:pass	_	TokenRange=108:113
23	resgatados	resgatar	VERB	VERB	_	6	conj	_	TokenRange=114:124
24-25	na	_	_	_	_	_	_	_	TokenRange=125:127
24	em	em	ADP	ADP	_	26	case	_	_
25	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	26	det	_	_
26	madrugada	madrugada	NOUN	NOUN	_	23	nmod	_	TokenRange=128:137
27	de	_	ADP	ADP	_	28	mark	_	TokenRange=138:140
28	hoje	hoje	ADV	ADV	_	26	nmod	_	TokenRange=141:145
29	18	_	NUM	NUM	NumType=Card	28	nmod	_	TokenRange=146:148
30	depois	depois	ADV	ADV	_	32	mark	_	TokenRange=149:155
31	de	_	ADP	ADP	_	30	fixed	_	TokenRange=156:158
32	ficarem	ficar	VERB	VERB	_	23	advcl	_	TokenRange=159:166
33	mais	mais	ADV	ADV	_	35	advmod	_	TokenRange=167:171
34	de	de	ADP	ADP	_	33	case	_	TokenRange=172:174
35	16	_	NUM	NUM	NumType=Card	36	nummod	_	TokenRange=175:177
36	horas	hora	NOUN	NOUN	_	32	nmod	_	TokenRange=178:183
37	a	_	ADP	ADP	_	38	case	_	TokenRange=184:185
38	deriva	deriva	NOUN	NOUN	_	32	nmod	_	SpacesAfter=\s\s|TokenRange=186:192

