# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = pressupor que lula nao sera preso seria como contar com a continuacao da impunidade no pais o mandado de conducao coercitiva emitido pelo juiz moro contra o expresidente lula na ultima sexta 04 foi apenas um procedimento padrao que antecede novas etapas de um processo de investigacao as provas obtidas na residencia de lula de seus familiares e amigos incluindo computadores celulares e outros arquivos serao confrontadas com outros elementos que ja se encontram em poder dos peritos da forcatarefa em curitiba patricia carvalho de brasilia para o diario do brasil a policia federal sabia exatamente o que procurar quando cumpriu os mandados de busca e apreensao em varios enderecos ligados a lula o ministerio publico federal esta reunindo documentos para comprovar que lula sabia de tudo e se beneficiou de todas as operacoes criminosas e nao foi somente o expresidente familiares amigos e membros do partido dos trabalhadores poderao ser incriminados em uma proxima fase da operacao lavajato o mp foi enfatico no documento divulgado durante a deflagracao da 24 fase da lava jato o material detalha uma serie suspeitas que pesam contra o expresidente lula hoje nos estamos analisando evidencias de que o expresidente e sua familia receberam vantagens para eventualmente consecucao de atos dentro do governo diz carlos fernando lima procurador da republica para os procuradores da lava jato o expresidente lula alem de lider partidario era o responsavel pela decisao de quem seriam os diretores da petrobras e foi um dos principais beneficiarios dos delitos de acordo com o mp surgiram evidencias de que os crimes o enriqueceram e financiaram campanhas eleitorais e o caixa de sua agremiacao politica e a oposicao que nao faca festa novas fases da lavajato virao e ninguem escapara das delacoes premiadas quando grande parte do pt estiver atras das grades
1	pressupor	pressupor	VERB	VERB	_	7	csubj	_	TokenRange=0:9
2	que	que	CCONJ	CONJ	_	6	mark	_	TokenRange=10:13
3	lula	_	NOUN	NOUN	_	6	nsubj:pass	_	TokenRange=14:18
4	nao	nao	ADV	ADV	Polarity=Neg	6	advmod	_	TokenRange=19:22
5	sera	_	AUX	AUX	_	6	aux:pass	_	TokenRange=23:27
6	preso	_	VERB	VERB	_	1	ccomp	_	TokenRange=28:33
7	seria	_	VERB	VERB	_	0	root	_	TokenRange=34:39
8	como	_	CCONJ	CONJ	_	9	mark	_	TokenRange=40:44
9	contar	contar	VERB	VERB	_	7	advcl	_	TokenRange=45:51
10	com	com	ADP	ADP	_	12	case	_	TokenRange=52:55
11	a	o	DET	DET	_	12	det	_	TokenRange=56:57
12	continuacao	continuacao	NOUN	NOUN	_	9	nmod	_	TokenRange=58:69
13-14	da	_	_	_	_	_	_	_	TokenRange=70:72
13	de	de	ADP	ADP	_	15	case	_	_
14	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	15	det	_	_
15	impunidade	impunidade	NOUN	NOUN	_	12	nmod	_	TokenRange=73:83
16-17	no	_	_	_	_	_	_	_	TokenRange=84:86
16	em	em	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	pais	_	NOUN	NOUN	_	15	nmod	_	TokenRange=87:91
19	o	o	DET	DET	_	20	det	_	TokenRange=92:93
20	mandado	mandado	NOUN	NOUN	_	9	nsubj	_	TokenRange=94:101
21	de	de	ADP	ADP	_	22	case	_	TokenRange=102:104
22	conducao	conducao	NOUN	NOUN	_	20	nmod	_	TokenRange=105:113
23	coercitiva	coercitivo	ADJ	ADJ	_	22	amod	_	TokenRange=114:124
24	emitido	emitir	VERB	VERB	_	20	acl	_	TokenRange=125:132
25-26	pelo	_	_	_	_	_	_	_	TokenRange=133:137
25	por	por	ADP	ADP	_	27	case	_	_
26	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	27	det	_	_
27	juiz	juiz	NOUN	NOUN	_	24	nmod	_	TokenRange=138:142
28	moro	moro	NOUN	NOUN	_	27	flat	_	TokenRange=143:147
29	contra	_	ADP	ADP	_	31	case	_	TokenRange=148:154
30	o	o	DET	DET	_	31	det	_	TokenRange=155:156
31	expresidente	expresidente	NOUN	NOUN	_	24	nmod	_	TokenRange=157:169
32	lula	lula	ADJ	ADJ	_	31	amod	_	TokenRange=170:174
33-34	na	_	_	_	_	_	_	_	TokenRange=175:177
33	em	em	ADP	ADP	_	36	case	_	_
34	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	36	det	_	_
