# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = perguntaram para o silvio o que ele acha do impeachment tenho medo que paguemos caro o mega apresentador silvio santos nao da pitacos sobre politica e ainda proibe que seus colaboradores facam comentarios nos ambientes de trabalho do sbt durante esta semana silvio 86 anos abriu uma excecao quando foi abordado na rua por um reporter que o questionou sobre o impeachment da presidente afastada dilma rousseff em poucas palavras o apresentador disse por passarmos em cima da democracia tenho medo que paguemos caro na sequencia ele fechou a porta do carro e se foi
1	perguntaram	perguntar	VERB	VERB	_	0	root	_	TokenRange=0:11
2	para	para	ADP	ADP	_	4	case	_	TokenRange=12:16
3	o	o	DET	DET	_	4	det	_	TokenRange=17:18
4	silvio	silvio	NOUN	NOUN	_	1	nmod	_	TokenRange=19:25
5	o	_	PRON	PRON	_	1	obj	_	TokenRange=26:27
6	que	_	PRON	PRON	_	8	obj	_	TokenRange=28:31
7	ele	_	PRON	PRON	_	8	nsubj	_	TokenRange=32:35
8	acha	achar	VERB	VERB	_	5	acl:relcl	_	TokenRange=36:40
9-10	do	_	_	_	_	_	_	_	TokenRange=41:43
9	de	de	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	impeachment	impeachment	NOUN	NOUN	_	8	nmod	_	TokenRange=44:55
12	tenho	ter	VERB	VERB	_	1	parataxis	_	TokenRange=56:61
13	medo	medo	NOUN	NOUN	_	12	obj	_	TokenRange=62:66
14	que	que	CCONJ	CONJ	_	15	mark	_	TokenRange=67:70
15	paguemos	_	VERB	VERB	_	12	ccomp	_	TokenRange=71:79
16	caro	caro	ADJ	ADJ	_	15	xcomp	_	TokenRange=80:84
17	o	o	DET	DET	_	19	det	_	TokenRange=85:86
18	mega	mego	ADJ	ADJ	_	19	amod	_	TokenRange=87:91
19	apresentador	apresentador	NOUN	NOUN	_	15	nsubj	_	TokenRange=92:104
20	silvio	silvio	ADJ	ADJ	_	19	appos	_	TokenRange=105:111
21	santos	santo	ADJ	ADJ	_	20	flat	_	TokenRange=112:118
22	nao	nao	ADV	ADV	_	19	advmod	_	TokenRange=119:122
23-24	da	_	_	_	_	_	_	_	TokenRange=123:125
23	de	de	ADP	ADP	_	25	case	_	_
24	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	25	det	_	_
25	pitacos	_	NOUN	NOUN	_	22	nmod	_	TokenRange=126:133
26	sobre	_	ADP	ADP	_	27	case	_	TokenRange=134:139
27	politica	_	NOUN	NOUN	_	25	nmod	_	TokenRange=140:148
28	e	e	CCONJ	CONJ	_	30	cc	_	TokenRange=149:150
29	ainda	ainda	ADV	ADV	_	30	advmod	_	TokenRange=151:156
30	proibe	proibar	VERB	VERB	_	1	conj	_	TokenRange=157:163
31	que	que	CCONJ	CONJ	_	34	mark	_	TokenRange=164:167
32	seus	_	DET	DET	_	33	det:poss	_	TokenRange=168:172
33	colaboradores	colaborador	NOUN	NOUN	_	34	nsubj	_	TokenRange=173:186
34	facam	facar	VERB	VERB	_	30	ccomp	_	TokenRange=187:192
35	comentarios	comentario	NOUN	NOUN	_	34	obj	_	TokenRange=193:204
36-37	nos	_	_	_	_	_	_	_	TokenRange=205:208
36	em	em	ADP	ADP	_	38	case	_	_
37	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	38	det	_	_
38	ambientes	ambiente	NOUN	NOUN	_	34	nmod	_	TokenRange=209:218
39	de	de	ADP	ADP	_	40	case	_	TokenRange=219:221
40	trabalho	trabalho	NOUN	NOUN	_	38	nmod	_	TokenRange=222:230
41-42	do	_	_	_	_	_	_	_	TokenRange=231:233
41	de	de	ADP	ADP	_	43	case	_	_
42	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	43	det	_	_
43	sbt	sbt	NOUN	NOUN	_	38	nmod	_	TokenRange=234:237
44	durante	_	ADP	ADP	_	46	case	_	TokenRange=238:245
45	esta	_	DET	DET	_	46	det	_	TokenRange=246:250
46	semana	semana	NOUN	NOUN	_	34	nmod	_	TokenRange=251:257
47	silvio	silvio	ADJ	ADJ	_	50	nsubj	_	TokenRange=258:264
48	86	_	NUM	NUM	NumType=Card	49	nummod	_	TokenRange=265:267
49	anos	ano	NOUN	NOUN	_	50	nsubj	_	TokenRange=268:272
50	abriu	abrir	VERB	VERB	_	30	ccomp	_	TokenRange=273:278
51	uma	um	DET	DET	_	52	det	_	TokenRange=279:282
52	excecao	excecao	NOUN	NOUN	_	50	obj	_	TokenRange=283:290
53	quando	_	CCONJ	CONJ	_	55	mark	_	TokenRange=291:297
54	foi	_	AUX	AUX	_	55	aux:pass	_	TokenRange=298:301
55	abordado	abordar	VERB	VERB	_	50	advcl	_	TokenRange=302:310
56-57	na	_	_	_	_	_	_	_	TokenRange=311:313
56	em	em	ADP	ADP	_	58	case	_	_
57	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	58	det	_	_
58	rua	rua	NOUN	NOUN	_	55	nmod	_	TokenRange=314:317
59	por	por	ADP	ADP	_	61	case	_	TokenRange=318:321
60	um	um	DET	DET	_	61	det	_	TokenRange=322:324
61	reporter	reporter	NOUN	NOUN	_	55	nmod	_	TokenRange=325:333
62	que	_	PRON	PRON	_	64	nsubj	_	TokenRange=334:337
63	o	_	PRON	PRON	_	64	obj	_	TokenRange=338:339
