# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acabou maior consultoria dos eua afirma que michel temer estara na presidencia em maio com o agravamento da crise as chances de dilma permanecer no poder sao minimas a consultoria apontou que a unica opcao agora e o pt lula e dilma tentarem politizar as investigacoes desmoralizando o juiz sergio moro e a operacao lava jato a eurasia group consultoria especializada em cenarios politicos sediada nos eua aumentou de 65 para 75 as chances de impeachment da presidente dilma rousseff para barrar o impeachment na camara dos deputados dilma precisaria de 170 votos hoje ela so tem 30 votos
1	acabou	acabar	VERB	VERB	_	0	root	_	TokenRange=0:6
2	maior	maior	ADJ	ADJ	_	3	amod	_	TokenRange=7:12
3	consultoria	consultoria	NOUN	NOUN	_	1	nsubj	_	TokenRange=13:24
4-5	dos	_	_	_	_	_	_	_	TokenRange=25:28
4	de	de	ADP	ADP	_	6	case	_	_
5	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	6	det	_	_
6	eua	_	NOUN	NOUN	_	3	nmod	_	TokenRange=29:32
7	afirma	afirmar	VERB	VERB	_	1	parataxis	_	TokenRange=33:39
8	que	que	CCONJ	CONJ	_	11	mark	_	TokenRange=40:43
9	michel	_	DET	DET	_	10	amod	_	TokenRange=44:50
10	temer	temer	NOUN	NOUN	_	11	nsubj	_	TokenRange=51:56
11	estara	estar	VERB	VERB	_	7	ccomp	_	TokenRange=57:63
12-13	na	_	_	_	_	_	_	_	TokenRange=64:66
12	em	em	ADP	ADP	_	14	case	_	_
13	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	14	det	_	_
14	presidencia	presidencia	NOUN	NOUN	_	11	nmod	_	TokenRange=67:78
15	em	em	ADP	ADP	_	16	case	_	TokenRange=79:81
16	maio	_	PROPN	PNOUN	_	11	nmod	_	TokenRange=82:86
17	com	com	ADP	ADP	_	19	case	_	TokenRange=87:90
18	o	o	DET	DET	_	19	det	_	TokenRange=91:92
19	agravamento	agravamento	NOUN	NOUN	_	11	nmod	_	TokenRange=93:104
20-21	da	_	_	_	_	_	_	_	TokenRange=105:107
20	de	de	ADP	ADP	_	22	case	_	_
21	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	22	det	_	_
22	crise	crise	NOUN	NOUN	_	19	nmod	_	TokenRange=108:113
23	as	o	DET	DET	_	24	det	_	TokenRange=114:116
24	chances	chance	NOUN	NOUN	_	31	nsubj	_	TokenRange=117:124
25	de	_	ADP	ADP	_	27	mark	_	TokenRange=125:127
26	dilma	dilma	NOUN	NOUN	_	27	nsubj	_	TokenRange=128:133
27	permanecer	permanecer	VERB	VERB	_	24	nmod	_	TokenRange=134:144
28-29	no	_	_	_	_	_	_	_	TokenRange=145:147
28	em	em	ADP	ADP	_	30	case	_	_
29	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	30	det	_	_
30	poder	poder	NOUN	NOUN	_	27	nmod	_	TokenRange=148:153
31	sao	_	VERB	VERB	_	7	ccomp	_	TokenRange=154:157
32	minimas	minimo	ADJ	ADJ	_	31	xcomp	_	TokenRange=158:165
33	a	o	DET	DET	_	34	det	_	TokenRange=166:167
34	consultoria	consultoria	NOUN	NOUN	_	35	nsubj	_	TokenRange=168:179
35	apontou	apontar	VERB	VERB	_	7	ccomp	_	TokenRange=180:187
36	que	que	CCONJ	CONJ	_	47	mark	_	TokenRange=188:191
37	a	o	DET	DET	_	39	det	_	TokenRange=192:193
38	unica	unico	ADJ	ADJ	_	39	amod	_	TokenRange=194:199
39	opcao	opcao	NOUN	NOUN	_	35	ccomp	_	TokenRange=200:205
40	agora	agora	ADV	ADV	_	47	advmod	_	TokenRange=206:211
41	e	e	CCONJ	CONJ	_	47	cc	_	TokenRange=212:213
42	o	o	DET	DET	_	43	det	_	TokenRange=214:215
43	pt	_	NOUN	NOUN	_	47	nsubj	_	TokenRange=216:218
44	lula	_	NOUN	NOUN	_	43	flat	_	TokenRange=219:223
45	e	e	CCONJ	CONJ	_	46	cc	_	TokenRange=224:225
46	dilma	dilma	NOUN	NOUN	_	43	conj	_	TokenRange=226:231
47	tentarem	tentar	VERB	VERB	_	39	csubj	_	TokenRange=232:240
48	politizar	politizar	VERB	VERB	_	47	xcomp	_	TokenRange=241:250
