# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acabou lula e condenado por unanimidade em segunda instancia victor laus encerrou seu voto e seguiu gebran neto e leandro paulsen no julgamento do recurso de lula os 3 desembargadores aumentaram a pena determinada pelo juiz sergio moro que passa de 9 anos e meio para 12 anos e 1 mes de prisao com inicio de cumprimento em regime fechado o petista foi condenado pelos crimes de corrupcao e lavagem de dinheiro no caso do apartamento do guaruja a decisao unanime diminui a possibilidade de recursos do expresidente que podera ir para a cadeia em questao de meses
1	acabou	acabar	VERB	VERB	_	0	root	_	TokenRange=0:6
2	lula	_	NOUN	NOUN	_	1	nsubj	_	TokenRange=7:11
3	e	e	CCONJ	CONJ	_	4	cc	_	TokenRange=12:13
4	condenado	condenar	VERB	VERB	_	1	conj	_	TokenRange=14:23
5	por	por	ADP	ADP	_	6	case	_	TokenRange=24:27
6	unanimidade	unanimidade	NOUN	NOUN	_	4	nmod	_	TokenRange=28:39
7	em	em	ADP	ADP	_	9	case	_	TokenRange=40:42
8	segunda	segundo	ADJ	ADJ	_	9	amod	_	TokenRange=43:50
9	instancia	instancia	NOUN	NOUN	_	4	nmod	_	TokenRange=51:60
10	victor	victor	NOUN	NOUN	_	12	nsubj	_	TokenRange=61:67
11	laus	_	NOUN	NOUN	_	10	flat	_	TokenRange=68:72
12	encerrou	encerrar	VERB	VERB	_	1	conj	_	TokenRange=73:81
13	seu	_	DET	DET	_	14	det:poss	_	TokenRange=82:85
14	voto	voto	NOUN	NOUN	_	12	obj	_	TokenRange=86:90
15	e	e	CCONJ	CONJ	_	16	cc	_	TokenRange=91:92
16	seguiu	seguir	VERB	VERB	_	12	conj	_	TokenRange=93:99
17	gebran	_	NOUN	NOUN	_	16	obj	_	TokenRange=100:106
18	neto	neto	NOUN	NOUN	_	17	flat	_	TokenRange=107:111
19	e	e	CCONJ	CONJ	_	20	cc	_	TokenRange=112:113
20	leandro	leandro	NOUN	NOUN	_	17	conj	_	TokenRange=114:121
21	paulsen	_	NOUN	NOUN	_	20	flat	_	TokenRange=122:129
22-23	no	_	_	_	_	_	_	_	TokenRange=130:132
22	em	em	ADP	ADP	_	24	case	_	_
