# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quebra pau na camara durante a madrugada petista ameaca colega vou lhe dar uma surra os parlamentares vitor valim pmdbce e siba machado ptac protagonizaram um empurraempurra e troca de ofensas na madrugada de domingo o deputado gilberto nascimento pscsp que presidia a sessao no momento pediu para que todos mantivessem a calma porem ele nao foi ouvido e decidiu chamar a seguranca para intervir na rinha politica siba pegou o colega pelo braco e disse voce vai estar aqui embaixo quando eu falar vou lhe dar um pau o que e isso chamar de bandido e safado afirmou o petista confira via noticias politicas
1	quebra	quebrar	VERB	VERB	_	0	root	_	TokenRange=0:6
2	pau	pau	NOUN	NOUN	_	1	obj	_	TokenRange=7:10
3-4	na	_	_	_	_	_	_	_	TokenRange=11:13
3	em	em	ADP	ADP	_	5	case	_	_
4	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	5	det	_	_
5	camara	camara	NOUN	NOUN	_	1	nmod	_	TokenRange=14:20
6	durante	_	ADP	ADP	_	8	case	_	TokenRange=21:28
7	a	o	DET	DET	_	8	det	_	TokenRange=29:30
8	madrugada	madrugada	NOUN	NOUN	_	1	nmod	_	TokenRange=31:40
9	petista	petista	ADJ	NOUN	_	10	nsubj	_	TokenRange=41:48
10	ameaca	ameacar	VERB	VERB	_	1	conj	_	TokenRange=49:55
11	colega	colega	NOUN	NOUN	_	10	obj	_	TokenRange=56:62
12	vou	ir	AUX	AUX	_	14	aux	_	TokenRange=63:66
13	lhe	_	PRON	PRON	_	14	iobj	_	TokenRange=67:70
14	dar	dar	VERB	VERB	_	10	ccomp	_	TokenRange=71:74
15	uma	um	DET	DET	_	16	det	_	TokenRange=75:78
16	surra	surra	NOUN	NOUN	_	14	obj	_	TokenRange=79:84
17	os	o	DET	DET	_	18	det	_	TokenRange=85:87
