# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = mexeu com gente errada magistrados mandam recado para renano povo nao acredita nas suas intencoes o recado para renan o presidente do senado renan calheiros investigado pela lava jato e alvo de mais de doze inqueritos no stf desengavetou uma proposta perniciosa que preve a punicao de agentes publicos que trabalham em prol de investigar e punir parlamentares o senador quer acelerar a tramitacao de um projeto de 2009 feito sob medida para proteger parlamentares incluindo o proprio renan que sao alvos de investigacoes na justica o projeto peconhento preve punicoes a crimes de abuso de autoridades de agentes da administracao publica e membros de judiciario ministerio publico e legislativo no exercicio de suas atribuicoes legais a intencao clara da proposta e blindar parlamentares de eventuais acoes da policia federal mpf e da lava jato joao ricardo costa presidente da amb associacao dos magistrados brasileiros emitiu uma nota criticando a postura de renan calheiros que ultimamente vem tentando causar constrangimentos ao trabalho da justica
1	mexeu	mexer	VERB	VERB	_	0	root	_	TokenRange=0:5
2	com	com	ADP	ADP	_	3	case	_	TokenRange=6:9
3	gente	gente	NOUN	NOUN	_	1	nmod	_	TokenRange=10:15
4	errada	errado	ADJ	ADJ	_	3	amod	_	TokenRange=16:22
5	magistrados	magistrado	NOUN	NOUN	_	6	nsubj	_	TokenRange=23:34
6	mandam	mandar	VERB	VERB	_	1	parataxis	_	TokenRange=35:41
7	recado	recado	NOUN	NOUN	_	6	obj	_	TokenRange=42:48
8	para	para	ADP	ADP	_	9	case	_	TokenRange=49:53
9	renano	renano	NOUN	NOUN	_	6	nmod	_	TokenRange=54:60
10	povo	povo	NOUN	NOUN	_	9	flat	_	TokenRange=61:65
11	nao	nao	ADV	ADV	Polarity=Neg	12	advmod	_	TokenRange=66:69
12	acredita	acreditar	VERB	VERB	_	1	conj	_	TokenRange=70:78
13-14	nas	_	_	_	_	_	_	_	TokenRange=79:82
13	em	em	ADP	ADP	_	16	case	_	_
14	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	16	det	_	_
15	suas	_	DET	DET	_	16	det:poss	_	TokenRange=83:87
16	intencoes	_	NOUN	NOUN	_	12	nmod	_	TokenRange=88:97
17	o	o	DET	DET	_	18	det	_	TokenRange=98:99
18	recado	recado	NOUN	NOUN	_	12	obj	_	TokenRange=100:106
19	para	para	ADP	ADP	_	20	case	_	TokenRange=107:111
