# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na bahia adolescente de 14 anos preve a propria morte e avisa amiga pelo whatsapp uma jovem de 14 anos foi encontrada morta no ultimo dia 20 no municipio de nova fatima na bahia segundo relatos o pai teria saido de casa e ao voltar encontrou a adolescente caida no quintal o jornal o dia informou que um dia antes de morrer a garota enviou algumas mensagens confusas para uma amiga atraves do whatsapp na conversa a jovem regina afirmava que temia por sua vida to sentindo que vou morrer hoje escreveu a policia civil de nova fatima disse que regina chegou a ser levada para o hospital mas nao resistiu e morreu o corpo foi encaminhado para o iml e passara por pericia medica para determinar as causas reais da morte veja o recado que regina enviou via whatsapp to sentindo que vou morrer hoje por que tomei um choque do cabo usb fazendo bati meu braco na pia fez um buraquinho e a panela quase explodiu no cabo usb
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	bahia	bahia	NOUN	NOUN	_	8	nmod	_	TokenRange=3:8
4	adolescente	adolescente	NOUN	NOUN	_	3	amod	_	TokenRange=9:20
5	de	de	ADP	ADP	_	7	case	_	TokenRange=21:23
6	14	_	NUM	NUM	NumType=Card	7	nummod	_	TokenRange=24:26
7	anos	ano	NOUN	NOUN	_	4	nmod	_	TokenRange=27:31
8	preve	prever	VERB	VERB	_	0	root	_	TokenRange=32:37
9	a	o	DET	DET	_	11	det	_	TokenRange=38:39
10	propria	proprio	ADJ	ADJ	_	11	amod	_	TokenRange=40:47
11	morte	morte	NOUN	NOUN	_	8	obj	_	TokenRange=48:53
12	e	e	CCONJ	CONJ	_	13	cc	_	TokenRange=54:55
13	avisa	avisar	VERB	VERB	_	8	conj	_	TokenRange=56:61
14	amiga	amigo	NOUN	NOUN	_	13	obj	_	TokenRange=62:67
15-16	pelo	_	_	_	_	_	_	_	TokenRange=68:72
15	por	por	ADP	ADP	_	17	case	_	_
16	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	17	det	_	_
17	whatsapp	_	NOUN	NOUN	_	13	nmod	_	TokenRange=73:81
18	uma	um	DET	DET	_	19	det	_	TokenRange=82:85
19	jovem	jovem	NOUN	NOUN	_	24	nsubj:pass	_	TokenRange=86:91
20	de	de	ADP	ADP	_	22	case	_	TokenRange=92:94
21	14	_	NUM	NUM	NumType=Card	22	nummod	_	TokenRange=95:97
22	anos	ano	NOUN	NOUN	_	19	nmod	_	TokenRange=98:102
23	foi	_	AUX	AUX	_	24	aux:pass	_	TokenRange=103:106
24	encontrada	encontrar	VERB	VERB	_	8	parataxis	_	TokenRange=107:117
25	morta	morto	ADJ	ADJ	_	24	xcomp	_	TokenRange=118:123
26-27	no	_	_	_	_	_	_	_	TokenRange=124:126
26	em	em	ADP	ADP	_	29	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	29	det	_	_
28	ultimo	_	ADJ	ADJ	_	29	amod	_	TokenRange=127:133
29	dia	dia	NOUN	NOUN	_	24	nmod	_	TokenRange=134:137
