# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = lacrou medica de mg manda reposta para plantonista que debochou de paciente semianalfabeto um medico da cidade turistica de serra negra interior de sp foi demitido do trabalho apos debochar de um paciente semianalfabeto o plantonista do hospital santa rosa de lima publicou uma imagem em seu facebook tirando sarro da falta de estudo de um paciente uma imagem fala mais que mil palavras na foto o doutor preconceito mostra o receituario medico e comenta nao existe peleumonia e nem raoxis leia mais aqui a medica mineira julia rocha postou em sua pagina que e necessario ouvir os pacientes entendendo a linguagem popular ela escreveu existe peleumonia eu mesma ja vi varias incrusive com febre interna que o termometro num mostra disintiria quebranto mal olhado impingi cobreiro vento virado ispinhela caida eu to aqui pra mode atesta quem sabe o que tem e quem sente e eu quero ouvir oce desse jeitinho mode a gente se entende por que pra mim foi dada a chance de conhece as letra e os livro pra voce so deram chance de dize pode dize eu quero ouvir a postagem de julia ja ultrapassou os 151 mil compartilhamentos e mais de 69 mil comentarios alem do medico foram desligadas do hospital santa rosa de lima em sao paulo a enfermeira renata rodrigues e a recepcionista adrielli conti
1	lacrou	lacrar	VERB	VERB	_	0	root	_	TokenRange=0:6
2	medica	medico	NOUN	NOUN	_	1	nsubj	_	TokenRange=7:13
3	de	de	ADP	ADP	_	4	case	_	TokenRange=14:16
4	mg	mg	NOUN	NOUN	_	2	nmod	_	TokenRange=17:19
5	manda	mandar	VERB	VERB	_	1	parataxis	_	TokenRange=20:25
6	reposta	reposta	NOUN	NOUN	_	5	obj	_	TokenRange=26:33
7	para	para	ADP	ADP	_	8	case	_	TokenRange=34:38
8	plantonista	plantonista	NOUN	NOUN	_	5	nmod	_	TokenRange=39:50
9	que	_	PRON	PRON	_	10	nsubj	_	TokenRange=51:54
10	debochou	debochar	VERB	VERB	_	8	acl:relcl	_	TokenRange=55:63
11	de	de	ADP	ADP	_	12	case	_	TokenRange=64:66
12	paciente	paciente	NOUN	NOUN	_	10	nmod	_	TokenRange=67:75
13	semianalfabeto	semianalfabeto	ADJ	ADJ	_	12	amod	_	TokenRange=76:90
14	um	um	DET	DET	_	15	det	_	TokenRange=91:93
15	medico	medico	NOUN	NOUN	_	27	nsubj:pass	_	TokenRange=94:100
16-17	da	_	_	_	_	_	_	_	TokenRange=101:103
16	de	de	ADP	ADP	_	18	case	_	_
17	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	18	det	_	_
18	cidade	cidade	NOUN	NOUN	_	15	nmod	_	TokenRange=104:110
19	turistica	turistico	ADJ	ADJ	_	18	amod	_	TokenRange=111:120
20	de	de	ADP	ADP	_	21	case	_	TokenRange=121:123
21	serra	serra	NOUN	NOUN	_	18	nmod	_	TokenRange=124:129
22	negra	negro	ADJ	ADJ	_	21	amod	_	TokenRange=130:135
23	interior	interior	NOUN	NOUN	_	21	appos	_	TokenRange=136:144
24	de	de	ADP	ADP	_	25	case	_	TokenRange=145:147
25	sp	sp	NOUN	NOUN	_	23	nmod	_	TokenRange=148:150
26	foi	_	AUX	AUX	_	27	aux:pass	_	TokenRange=151:154
27	demitido	demitir	VERB	VERB	_	1	parataxis	_	TokenRange=155:163
28-29	do	_	_	_	_	_	_	_	TokenRange=164:166
28	de	de	ADP	ADP	_	30	case	_	_
29	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	30	det	_	_
30	trabalho	trabalho	NOUN	NOUN	_	27	nmod	_	TokenRange=167:175
31	apos	_	ADP	ADP	_	32	mark	_	TokenRange=176:180
32	debochar	debochar	VERB	VERB	_	27	advcl	_	TokenRange=181:189
33	de	de	ADP	ADP	_	35	case	_	TokenRange=190:192
34	um	um	DET	DET	_	35	det	_	TokenRange=193:195
35	paciente	paciente	NOUN	NOUN	_	32	nmod	_	TokenRange=196:204
36	semianalfabeto	semianalfabeto	ADJ	ADJ	_	35	amod	_	TokenRange=205:219
37	o	o	DET	DET	_	38	det	_	TokenRange=220:221
38	plantonista	plantonista	NOUN	NOUN	_	46	nsubj	_	TokenRange=222:233
39-40	do	_	_	_	_	_	_	_	TokenRange=234:236
39	de	de	ADP	ADP	_	41	case	_	_
40	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	41	det	_	_
41	hospital	hospital	NOUN	NOUN	_	38	nmod	_	TokenRange=237:245
42	santa	santo	ADJ	ADJ	_	41	amod	_	TokenRange=246:251
43	rosa	rosa	NOUN	NOUN	_	41	appos	_	TokenRange=252:256
44	de	de	ADP	ADP	_	45	case	_	TokenRange=257:259
45	lima	lima	NOUN	NOUN	_	43	nmod	_	TokenRange=260:264
46	publicou	publicar	VERB	VERB	_	1	parataxis	_	TokenRange=265:273
47	uma	um	DET	DET	_	48	det	_	TokenRange=274:277
48	imagem	imagem	NOUN	NOUN	_	46	obj	_	TokenRange=278:284
49	em	em	ADP	ADP	_	51	case	_	TokenRange=285:287
50	seu	_	DET	DET	_	51	det:poss	_	TokenRange=288:291
51	facebook	_	NOUN	NOUN	_	46	nmod	_	TokenRange=292:300
52	tirando	tirar	VERB	VERB	_	46	acl	_	TokenRange=301:308
53	sarro	sarro	NOUN	NOUN	_	52	obj	_	TokenRange=309:314
54-55	da	_	_	_	_	_	_	_	TokenRange=315:317
54	de	de	ADP	ADP	_	56	case	_	_
55	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	56	det	_	_
56	falta	_	NOUN	NOUN	_	155	nmod	_	TokenRange=318:323
57	de	de	ADP	ADP	_	58	case	_	TokenRange=324:326
58	estudo	estudo	NOUN	NOUN	_	56	nmod	_	TokenRange=327:333
59	de	de	ADP	ADP	_	61	case	_	TokenRange=334:336
60	um	um	DET	DET	_	61	det	_	TokenRange=337:339
61	paciente	paciente	NOUN	NOUN	_	56	nmod	_	TokenRange=340:348
62	uma	um	DET	DET	_	63	det	_	TokenRange=349:352
63	imagem	imagem	NOUN	NOUN	_	64	nsubj	_	TokenRange=353:359
