# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = lembra do junior o marido que deu uns sopapos no pastor safado apareceu mais um video do pastor xavequeiro um segundo video caiu na internet nesta semana o diario do brasil mostrou na ultima semana imagens de um suposto pastor de uma igreja evangelica que teria marcado um encontro com uma fiel em um lugar reservado o resultado voce ja sabe a moca marcou o tal encontro em um shopping de belo horizonte e mandou o marido em seu lugar o marido que e um negao 2x2 apareceu e encheu o homem de deus de sopapos na verdade tratase da primeira parte da historia contada acima o marido e um amigo filmaram de longe toda a acao do pastorzinho xavequeiro repare na cara de pau do pastor ao abracar a fiel casada leia tambem
1	lembra	lembrar	VERB	VERB	_	0	root	_	TokenRange=0:6
2-3	do	_	_	_	_	_	_	_	TokenRange=7:9
2	de	de	ADP	ADP	_	4	case	_	_
3	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	4	det	_	_
4	junior	_	NOUN	NOUN	_	1	nmod	_	TokenRange=10:16
5	o	o	DET	DET	_	6	det	_	TokenRange=17:18
6	marido	marido	NOUN	NOUN	_	1	nsubj	_	TokenRange=19:25
7	que	_	PRON	PRON	_	8	nsubj	_	TokenRange=26:29
8	deu	dar	VERB	VERB	_	6	acl:relcl	_	TokenRange=30:33
9	uns	_	DET	DET	_	10	det	_	TokenRange=34:37
10	sopapos	sopapo	NOUN	NOUN	_	8	obj	_	TokenRange=38:45
11-12	no	_	_	_	_	_	_	_	TokenRange=46:48
11	em	em	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	pastor	pastor	NOUN	NOUN	_	8	nmod	_	TokenRange=49:55
14	safado	safado	ADJ	ADJ	_	13	amod	_	TokenRange=56:62
15	apareceu	aparecer	VERB	VERB	_	1	conj	_	TokenRange=63:71
16	mais	mais	ADV	ADV	_	17	advmod	_	TokenRange=72:76
17	um	_	NUM	NUM	NumType=Card	18	nummod	_	TokenRange=77:79
18	video	video	NOUN	NOUN	_	15	nsubj	_	TokenRange=80:85
19-20	do	_	_	_	_	_	_	_	TokenRange=86:88
