# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ninguem melhor que o proprio lula para explicar como funciona o bolsa familia e por isso que se distribui tanto tiquete de leite porque isso na verdade e uma peca de troca em epoca de eleicao e assim o processo eleitoral e despolitizado tratando o povo mais pobre da mesma forma que cabral tratou os indios quando chegou ao brasil em que ele distribuia bijuterias para ganhar a confianca dos indios assim os governos distribuem alimento para manter a politica de dominacao lula se referia a usar a distribuicao de alimentos como moeda de troca de votos e promover a eternizacao no poder o tempo passou o pt assumiu o poder e nao e que a chamada politica de dominacao nao so permaneceu como foi revigorada em seu governo o que sera que houve o poder corrompe ou o poder revela o verdadeiro carater da pessoa ps nao somos contra o bolsafamilia e sim contra a utilizacao deste programa social para angariar votos assista o video e tire suas conclusoes
1	ninguem	ninguir	VERB	VERB	_	0	root	_	TokenRange=0:7
2	melhor	melhor	ADJ	ADJ	_	1	xcomp	_	TokenRange=8:14
3	que	_	ADP	ADP	_	6	case	_	TokenRange=15:18
4	o	o	DET	DET	_	6	det	_	TokenRange=19:20
5	proprio	proprio	ADJ	ADJ	_	6	amod	_	TokenRange=21:28
6	lula	lula	NOUN	NOUN	_	2	nmod	_	TokenRange=29:33
7	para	_	ADP	ADP	_	8	mark	_	TokenRange=34:38
8	explicar	explicar	VERB	VERB	_	1	advcl	_	TokenRange=39:47
9	como	como	ADV	ADV	_	10	advmod	_	TokenRange=48:52
10	funciona	funcionar	VERB	VERB	_	8	ccomp	_	TokenRange=53:61
11	o	o	DET	DET	_	12	det	_	TokenRange=62:63
12	bolsa	bolsa	NOUN	NOUN	_	10	nsubj	_	TokenRange=64:69
13	familia	familia	NOUN	NOUN	_	12	flat	_	TokenRange=70:77
14	e	e	CCONJ	CONJ	_	19	cc	_	TokenRange=78:79
15	por	por	ADP	ADP	_	16	case	_	TokenRange=80:83
16	isso	_	PRON	PRON	_	19	nmod	_	TokenRange=84:88
17	que	_	PRON	PRON	_	19	mark	_	TokenRange=89:92
18	se	_	PART	PRT	_	19	expl:pv	_	TokenRange=93:95
19	distribui	distribuir	VERB	VERB	_	8	conj	_	TokenRange=96:105
20	tanto	_	DET	DET	_	21	det	_	TokenRange=106:111
21	tiquete	tiquete	NOUN	NOUN	_	19	obj	_	TokenRange=112:119
22	de	de	ADP	ADP	_	23	case	_	TokenRange=120:122
23	leite	leite	NOUN	NOUN	_	21	nmod	_	TokenRange=123:128
24	porque	_	CCONJ	CONJ	_	31	mark	_	TokenRange=129:135
25	isso	_	PRON	PRON	_	31	nsubj	_	TokenRange=136:140
26-27	na	_	_	_	_	_	_	_	TokenRange=141:143
26	em	em	ADP	ADP	_	28	case	_	_
27	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	28	det	_	_
28	verdade	verdade	NOUN	NOUN	_	31	nmod	_	TokenRange=144:151
29	e	e	AUX	AUX	_	31	cop	_	TokenRange=152:153
30	uma	um	DET	DET	_	31	det	_	TokenRange=154:157
31	peca	peca	NOUN	NOUN	_	19	advcl	_	TokenRange=158:162
32	de	de	ADP	ADP	_	33	case	_	TokenRange=163:165
33	troca	_	NOUN	NOUN	_	31	nmod	_	TokenRange=166:171
34	em	em	ADP	ADP	_	35	case	_	TokenRange=172:174
35	epoca	epoca	NOUN	NOUN	_	31	nmod	_	TokenRange=175:180
36	de	de	ADP	ADP	_	37	case	_	TokenRange=181:183
37	eleicao	eleicao	NOUN	NOUN	_	35	nmod	_	TokenRange=184:191
38	e	e	CCONJ	CONJ	_	128	cc	_	TokenRange=192:193
39	assim	assim	ADV	ADV	_	128	advmod	_	TokenRange=194:199
40	o	o	DET	DET	_	41	det	_	TokenRange=200:201
41	processo	processo	NOUN	NOUN	_	128	nsubj	_	TokenRange=202:210
42	eleitoral	eleitoral	ADJ	ADJ	_	41	amod	_	TokenRange=211:220
43	e	_	AUX	AUX	_	44	aux:pass	_	TokenRange=221:222
44	despolitizado	despolitizar	VERB	VERB	_	114	conj	_	TokenRange=223:236
45	tratando	tratar	VERB	VERB	_	128	acl	_	TokenRange=237:245
46	o	o	DET	DET	_	47	det	_	TokenRange=246:247
47	povo	povo	NOUN	NOUN	_	45	obj	_	TokenRange=248:252
48	mais	mais	ADV	ADV	_	49	advmod	_	TokenRange=253:257
49	pobre	pobre	ADJ	ADJ	_	47	amod	_	TokenRange=258:263
50-51	da	_	_	_	_	_	_	_	TokenRange=264:266
50	de	de	ADP	ADP	_	53	case	_	_
51	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	53	det	_	_
52	mesma	mesmo	ADJ	ADJ	_	53	amod	_	TokenRange=267:272
53	forma	forma	NOUN	NOUN	_	45	nmod	_	TokenRange=273:278
54	que	_	PRON	PRON	_	56	obj	_	TokenRange=279:282
55	cabral	cabral	NOUN	NOUN	_	56	nsubj	_	TokenRange=283:289
56	tratou	tratar	VERB	VERB	_	53	acl:relcl	_	TokenRange=290:296
57	os	o	DET	DET	_	58	det	_	TokenRange=297:299
58	indios	indio	NOUN	NOUN	_	56	obj	_	TokenRange=300:306
59	quando	_	CCONJ	CONJ	_	60	mark	_	TokenRange=307:313
60	chegou	chegar	VERB	VERB	_	56	advcl	_	TokenRange=314:320
61-62	ao	_	_	_	_	_	_	_	TokenRange=321:323
61	a	a	ADP	ADP	_	63	case	_	_
62	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	63	det	_	_
63	brasil	brasil	NOUN	NOUN	_	60	nmod	_	TokenRange=324:330
64	em	em	ADP	ADP	_	65	case	_	TokenRange=331:333
65	que	_	PRON	PRON	_	67	nmod	_	TokenRange=334:337
66	ele	_	PRON	PRON	_	67	nsubj	_	TokenRange=338:341
67	distribuia	distribuir	VERB	VERB	_	163	acl:relcl	_	TokenRange=342:352
68	bijuterias	bijuteria	NOUN	NOUN	_	67	obj	_	TokenRange=353:363
69	para	_	ADP	ADP	_	70	mark	_	TokenRange=364:368
70	ganhar	ganhar	VERB	VERB	_	67	advcl	_	TokenRange=369:375
71	a	o	DET	DET	_	72	det	_	TokenRange=376:377
72	confianca	confianca	NOUN	NOUN	_	70	obj	_	TokenRange=378:387
73-74	dos	_	_	_	_	_	_	_	TokenRange=388:391
73	de	de	ADP	ADP	_	75	case	_	_
74	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	75	det	_	_
75	indios	indio	NOUN	NOUN	_	72	nmod	_	TokenRange=392:398
76	assim	assim	ADV	ADV	_	79	advmod	_	TokenRange=399:404
77	os	o	DET	DET	_	78	det	_	TokenRange=405:407
78	governos	governo	NOUN	NOUN	_	79	nsubj	_	TokenRange=408:416
79	distribuem	distribuir	VERB	VERB	_	170	ccomp	_	TokenRange=417:427
80	alimento	alimento	NOUN	NOUN	_	79	obj	_	TokenRange=428:436
81	para	_	ADP	ADP	_	82	mark	_	TokenRange=437:441
82	manter	manter	VERB	VERB	_	79	advcl	_	TokenRange=442:448
83	a	o	DET	DET	_	84	det	_	TokenRange=449:450
84	politica	_	NOUN	NOUN	_	82	obj	_	TokenRange=451:459
85	de	de	ADP	ADP	_	86	case	_	TokenRange=460:462
86	dominacao	dominacao	NOUN	NOUN	_	84	nmod	_	TokenRange=463:472
87	lula	lula	NOUN	NOUN	_	89	nsubj	_	TokenRange=473:477
88	se	_	PRON	PRON	_	89	expl:pv	_	TokenRange=478:480
89	referia	referir	VERB	VERB	_	84	acl:relcl	_	TokenRange=481:488
90	a	_	ADP	ADP	_	91	mark	_	TokenRange=489:490
91	usar	usar	VERB	VERB	_	89	nmod	_	TokenRange=491:495
92	a	o	DET	DET	_	93	det	_	TokenRange=496:497
93	distribuicao	distribuicao	NOUN	NOUN	_	91	obj	_	TokenRange=498:510
94	de	de	ADP	ADP	_	95	case	_	TokenRange=511:513
95	alimentos	alimento	NOUN	NOUN	_	93	nmod	_	TokenRange=514:523
96	como	como	ADP	ADP	_	97	case	_	TokenRange=524:528
97	moeda	moeda	NOUN	NOUN	_	91	nmod	_	TokenRange=529:534
98	de	de	ADP	ADP	_	99	case	_	TokenRange=535:537
99	troca	_	NOUN	NOUN	_	97	nmod	_	TokenRange=538:543
100	de	de	ADP	ADP	_	101	case	_	TokenRange=544:546
101	votos	voto	NOUN	NOUN	_	99	nmod	_	TokenRange=547:552
102	e	e	CCONJ	CONJ	_	103	cc	_	TokenRange=553:554
103	promover	promover	VERB	VERB	_	91	conj	_	TokenRange=555:563
104	a	o	DET	DET	_	105	det	_	TokenRange=564:565
105	eternizacao	_	NOUN	NOUN	_	103	obj	_	TokenRange=566:577
106-107	no	_	_	_	_	_	_	_	TokenRange=578:580
106	em	em	ADP	ADP	_	108	case	_	_
107	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	108	det	_	_
108	poder	poder	NOUN	NOUN	_	103	nmod	_	TokenRange=581:586
109	o	o	DET	DET	_	110	det	_	TokenRange=587:588
110	tempo	tempo	NOUN	NOUN	_	103	nmod	_	TokenRange=589:594
111	passou	passar	VERB	VERB	_	110	acl:relcl	_	TokenRange=595:601
112	o	o	DET	DET	_	113	det	_	TokenRange=602:603
113	pt	_	PROPN	PNOUN	_	114	nsubj	_	TokenRange=604:606
114	assumiu	assumir	VERB	VERB	_	1	parataxis	_	TokenRange=607:614
115	o	o	DET	DET	_	116	det	_	TokenRange=615:616
116	poder	poder	NOUN	NOUN	_	114	obj	_	TokenRange=617:622
117	e	e	CCONJ	CONJ	_	128	cc	_	TokenRange=623:624
118	nao	nao	ADV	ADV	Polarity=Neg	114	advmod	_	TokenRange=625:628
119	e	e	CCONJ	CONJ	_	128	cc	_	TokenRange=629:630
120	que	que	CCONJ	CONJ	_	128	mark	_	TokenRange=631:634
121	a	o	DET	DET	_	123	det	_	TokenRange=635:636
122	chamada	chamado	ADJ	ADJ	_	123	amod	_	TokenRange=637:644
123	politica	_	NOUN	NOUN	_	128	nsubj	_	TokenRange=645:653
124	de	de	ADP	ADP	_	125	case	_	TokenRange=654:656
125	dominacao	dominacao	NOUN	NOUN	_	123	nmod	_	TokenRange=657:666
126	nao	nao	ADV	ADV	Polarity=Neg	128	advmod	_	TokenRange=667:670
127	so	so	ADV	ADV	_	128	advmod	_	TokenRange=671:673
128	permaneceu	permanecer	VERB	VERB	_	114	conj	_	TokenRange=674:684
129	como	_	CCONJ	CONJ	_	131	mark	_	TokenRange=685:689
130	foi	_	AUX	AUX	_	131	aux:pass	_	TokenRange=690:693
131	revigorada	revigorar	VERB	VERB	_	128	advcl	_	TokenRange=694:704
132	em	em	ADP	ADP	_	134	case	_	TokenRange=705:707
133	seu	_	DET	DET	_	134	det:poss	_	TokenRange=708:711
134	governo	governo	NOUN	NOUN	_	131	nmod	_	TokenRange=712:719
135	o	_	PRON	PRON	_	45	obj	_	TokenRange=720:721
136	que	_	PRON	PRON	_	137	nsubj	_	TokenRange=722:725
137	sera	_	VERB	VERB	_	135	acl:relcl	_	TokenRange=726:730
138	que	que	CCONJ	CONJ	_	139	mark	_	TokenRange=731:734
139	houve	haver	VERB	VERB	_	56	advcl	_	TokenRange=735:740
140	o	o	DET	DET	_	141	det	_	TokenRange=741:742
141	poder	poder	NOUN	NOUN	_	139	nsubj	_	TokenRange=743:748
142	corrompe	corrompe	VERB	VERB	_	139	ccomp	_	TokenRange=749:757
143	ou	ou	CCONJ	CONJ	_	146	cc	_	TokenRange=758:760
144	o	o	DET	DET	_	145	det	_	TokenRange=761:762
145	poder	poder	NOUN	NOUN	_	146	nsubj	_	TokenRange=763:768
146	revela	revelar	VERB	VERB	_	56	conj	_	TokenRange=769:775
147	o	o	DET	DET	_	149	det	_	TokenRange=776:777
148	verdadeiro	verdadeiro	ADJ	ADJ	_	149	amod	_	TokenRange=778:788
149	carater	carater	NOUN	NOUN	_	146	obj	_	TokenRange=789:796
150-151	da	_	_	_	_	_	_	_	TokenRange=797:799
150	de	de	ADP	ADP	_	152	case	_	_
151	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	152	det	_	_
152	pessoa	pessoa	NOUN	NOUN	_	149	nmod	_	TokenRange=800:806
153	ps	_	PROPN	PNOUN	_	155	dep	_	TokenRange=807:809
154	nao	nao	ADV	ADV	Polarity=Neg	155	advmod	_	TokenRange=810:813
155	somos	ser	VERB	VERB	_	128	parataxis	_	TokenRange=814:819
156	contra	_	ADP	ADP	_	158	case	_	TokenRange=820:826
157	o	o	DET	DET	_	158	det	_	TokenRange=827:828
158	bolsafamilia	_	NOUN	NOUN	_	155	nmod	_	TokenRange=829:841
159	e	e	CCONJ	CONJ	_	163	cc	_	TokenRange=842:843
160	sim	sim	ADV	ADV	_	163	advmod	_	TokenRange=844:847
161	contra	_	ADP	ADP	_	163	case	_	TokenRange=848:854
162	a	o	DET	DET	_	163	det	_	TokenRange=855:856
163	utilizacao	utilizacao	NOUN	NOUN	_	158	conj	_	TokenRange=857:867
164	deste	_	ADP	ADP	_	165	case	_	TokenRange=868:873
165	programa	programa	NOUN	NOUN	_	163	nmod	_	TokenRange=874:882
166	social	social	ADJ	ADJ	_	165	amod	_	TokenRange=883:889
167	para	_	ADP	ADP	_	168	mark	_	TokenRange=890:894
168	angariar	angariar	VERB	VERB	_	163	nmod	_	TokenRange=895:903
169	votos	voto	NOUN	NOUN	_	168	obj	_	TokenRange=904:909
170	assista	assistir	VERB	VERB	_	155	conj	_	TokenRange=910:917
171	o	o	DET	DET	_	172	det	_	TokenRange=918:919
172	video	video	NOUN	NOUN	_	170	obj	_	TokenRange=920:925
173	e	e	CCONJ	CONJ	_	174	cc	_	TokenRange=926:927
174	tire	tirar	VERB	VERB	_	170	conj	_	TokenRange=928:932
175	suas	_	DET	DET	_	176	det:poss	_	TokenRange=933:937
176	conclusoes	conclusoe	NOUN	NOUN	_	174	obj	_	TokenRange=938:948

