# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acorda brasil o texto que pode anistiar os crimes de caixa 2 o jornalista fernando rodrigues do uol divulgou o texto do golpe durante a ultima madrugada lideres partidarios e rodrigo maia presidente da camara articularam um jeitinho de anistiar os crimes de caixa 2 uma emenda sera apresentada em plenario para obter o perdao dos crimes de caixa 2 cometidos antes da publicacao da lei o texto diz claramente que nao sera punivel nas esferas penal civil e eleitoral atos criminosos como o caixa 2 art x nao sera punivel nas esferas penal civil e eleitoral doacao contabilizada nao contabilizada ou nao declarada omitida ou ocultada de bens valores ou servicos para financiamento de atividade politicopartidaria ou eleitoral realizada ate a data da publicacao desta lei
1	acorda	acordar	VERB	VERB	_	0	root	_	TokenRange=0:6
2	brasil	brasil	NOUN	NOUN	_	1	obj	_	TokenRange=7:13
3	o	o	DET	DET	_	4	det	_	TokenRange=14:15
4	texto	texto	NOUN	NOUN	_	1	nsubj	_	TokenRange=16:21
5	que	_	PRON	PRON	_	7	nsubj	_	TokenRange=22:25
6	pode	_	AUX	AUX	_	7	aux	_	TokenRange=26:30
7	anistiar	anistiar	VERB	VERB	_	4	acl:relcl	_	TokenRange=31:39
8	os	o	DET	DET	_	9	det	_	TokenRange=40:42
9	crimes	crime	NOUN	NOUN	_	7	obj	_	TokenRange=43:49
10	de	de	ADP	ADP	_	11	case	_	TokenRange=50:52
11	caixa	caixa	NOUN	NOUN	_	9	nmod	_	TokenRange=53:58
12	2	_	NUM	NUM	NumType=Card	11	appos	_	TokenRange=59:60
13	o	o	DET	DET	_	14	det	_	TokenRange=61:62
14	jornalista	jornalista	NOUN	NOUN	_	39	nsubj	_	TokenRange=63:73
15	fernando	fernando	NOUN	NOUN	_	14	appos	_	TokenRange=74:82
16	rodrigues	_	NOUN	NOUN	_	15	flat	_	TokenRange=83:92
17-18	do	_	_	_	_	_	_	_	TokenRange=93:95
17	de	de	ADP	ADP	_	19	case	_	_
18	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	19	det	_	_
19	uol	_	PROPN	PNOUN	_	14	nmod	_	TokenRange=96:99
20	divulgou	divulgar	VERB	VERB	_	1	parataxis	_	TokenRange=100:108
21	o	o	DET	DET	_	22	det	_	TokenRange=109:110
22	texto	texto	NOUN	NOUN	_	20	obj	_	TokenRange=111:116
23-24	do	_	_	_	_	_	_	_	TokenRange=117:119
23	de	de	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	golpe	golpe	NOUN	NOUN	_	22	nmod	_	TokenRange=120:125
26	durante	_	ADP	ADP	_	29	case	_	TokenRange=126:133
27	a	o	DET	DET	_	29	det	_	TokenRange=134:135
28	ultima	_	ADJ	ADJ	_	29	amod	_	TokenRange=136:142
29	madrugada	madrugada	NOUN	NOUN	_	20	nmod	_	TokenRange=143:152
30	lideres	lider	NOUN	NOUN	_	39	nsubj	_	TokenRange=153:160
31	partidarios	partidario	ADJ	ADJ	_	30	amod	_	TokenRange=161:172
32	e	e	CCONJ	CONJ	_	33	cc	_	TokenRange=173:174
33	rodrigo	rodrigo	NOUN	NOUN	_	39	nsubj	_	TokenRange=175:182
34	maia	maia	ADJ	ADJ	_	33	flat	_	TokenRange=183:187
35	presidente	presidente	NOUN	NOUN	_	33	flat	_	TokenRange=188:198
36-37	da	_	_	_	_	_	_	_	TokenRange=199:201
36	de	de	ADP	ADP	_	38	case	_	_
37	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	38	det	_	_
38	camara	camara	NOUN	NOUN	_	33	nmod	_	TokenRange=202:208
39	articularam	articular	VERB	VERB	_	1	conj	_	TokenRange=209:220
